segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,031_mbc_13598281_20260712100000_seg_00000,031_mbc_13598281_20260712100000,SPEAKER_00,3.12,5.36,2.24,success,皆さんお元気ですか吉本豊茂です。,success,皆さんお元気ですか吉本豊茂です。,True,16,16,0
,031_mbc_13598281_20260712100000_seg_00001,031_mbc_13598281_20260712100000,SPEAKER_01,5.44,6.88,1.44,success,こんにちは浜田純子です。,success,こんにちは浜田淳子です。,False,12,12,0
,031_mbc_13598281_20260712100000_seg_00002,031_mbc_13598281_20260712100000,SPEAKER_01,7.2,8.0,0.8,success,今日はメール言うて。,success,今日はメールを頂きました。,False,10,13,3
,031_mbc_13598281_20260712100000_seg_00003,031_mbc_13598281_20260712100000,SPEAKER_01,9.92,10.96,1.04,success,前も頂いたんですけど。,success,前も頂いたんですけど。,True,11,11,0
,031_mbc_13598281_20260712100000_seg_00004,031_mbc_13598281_20260712100000,SPEAKER_01,11.2,25.36,14.16,success,花丸区のうとんおともおもしろかったですが選者の章で夢の中でプロレスしたかのようなじいさんに枕を巻いてヘッドロックに笑いのツボにはまりました。,success,前も頂いたんですけど鼻歌ばあさんちゃん花丸君のうとんおともおもしろかったですが選者の章で夢の中でプロレスしたかのようなじいさんに枕を巻いてヘッドロックに笑いのツボにはまりました。,False,70,89,19
,031_mbc_13598281_20260712100000_seg_00005,031_mbc_13598281_20260712100000,SPEAKER_01,26.0,27.12,1.12,success,毎週楽しみです。,success,大のツボにはまりました、毎週楽しみです。,False,8,20,12
,031_mbc_13598281_20260712100000_seg_00006,031_mbc_13598281_20260712100000,SPEAKER_01,28.659999,29.36,0.7,success,サルさんの。,success,しみです。,False,6,5,-1
,031_mbc_13598281_20260712100000_seg_00007,031_mbc_13598281_20260712100000,SPEAKER_01,29.68,32.64,2.96,success,寝てて夢の中でじいさんがチョッポーかましてる。,success,猿さんの寝てて夢の中でじいさんがチョッポーをかましてる。,False,23,28,5
,031_mbc_13598281_20260712100000_seg_00008,031_mbc_13598281_20260712100000,SPEAKER_01,34.64,37.68,3.04,success,こんな楽しさでね、皆さんの健康度がどんどん上がるという。,success,こんな楽しさでね皆さんの健康度がどんどん上がるという。,False,28,27,-1
,031_mbc_13598281_20260712100000_seg_00009,031_mbc_13598281_20260712100000,SPEAKER_00,39.2,39.92,0.72,success,見ていただきたいと思います。,success,そうですね、大いに笑っていただきたいと思います。,False,14,24,10
,031_mbc_13598281_20260712100000_seg_00010,031_mbc_13598281_20260712100000,SPEAKER_00,41.04,48.96,7.92,success,今週も薩摩教育学校有地の教えて我言まめんかごんまん昔語りとふるさとたっぷりの薩摩笑い劇場でお楽しみください。,success,今週も薩摩教育学校有地に教えて我言まめんかごんまん昔語りとふるさとたっぷりの薩摩笑い劇場でお楽しみください。,False,54,54,0
,031_mbc_13598281_20260712100000_seg_00011,031_mbc_13598281_20260712100000,SPEAKER_02,68.56,69.260001,0.7,success,ねえ猫ちゃん。,success,芸猫ちゃん。,False,7,6,-1
,031_mbc_13598281_20260712100000_seg_00012,031_mbc_13598281_20260712100000,SPEAKER_03,72.56,74.32,1.76,success,薩摩お笑い劇場。,success,薩摩お笑い劇場。,True,8,8,0
,031_mbc_13598281_20260712100000_seg_00013,031_mbc_13598281_20260712100000,SPEAKER_03,75.12,80.08,4.96,success,この番組は生協品質コープ鹿児島の提供でお送りします。,success,お笑い劇場この番組は盛況品室コープ鹿児島の提供でお送りします。,False,26,31,5
,031_mbc_13598281_20260712100000_seg_00014,031_mbc_13598281_20260712100000,SPEAKER_03,95.380003,96.08,0.7,success,タコト。,success,誠。,False,4,2,-2
,031_mbc_13598281_20260712100000_seg_00015,031_mbc_13598281_20260712100000,SPEAKER_03,96.32,97.12,0.8,success,みんなで。,success,なことみんなで。,False,5,8,3
,031_mbc_13598281_20260712100000_seg_00016,031_mbc_13598281_20260712100000,SPEAKER_03,97.44,98.8,1.36,success,成長品質。,success,琴みんなで生協品質。,False,5,10,5
,031_mbc_13598281_20260712100000_seg_00017,031_mbc_13598281_20260712100000,SPEAKER_03,99.2,100.48,1.28,success,コープ鹿児島。,success,生協品質コープ鹿児島。,False,7,11,4
,031_mbc_13598281_20260712100000_seg_00018,031_mbc_13598281_20260712100000,SPEAKER_00,109.92,114.8,4.88,success,今月の担当選者は猪俣凡司先生です先生よろしくお願いします。,success,まずは薩摩教育学校からです今月の担当選者は猪俣凡司先生です先生よろしくお願いします。,False,29,42,13
,031_mbc_13598281_20260712100000_seg_00019,031_mbc_13598281_20260712100000,SPEAKER_01,115.92,116.64,0.72,success,お願いいたします。,success,先生よろしくお願いいたします。,False,9,15,6
,031_mbc_13598281_20260712100000_seg_00020,031_mbc_13598281_20260712100000,SPEAKER_01,117.28,120.32,3.04,success,さあそれでは早速1句目からご紹介します。,success,さあそれでは早速1句目からご紹介します。,True,20,20,0
,031_mbc_13598281_20260712100000_seg_00021,031_mbc_13598281_20260712100000,SPEAKER_01,120.8,125.36,4.56,success,枕崎市塩谷北町田端へギンガーz山岳です。,success,枕崎市塩谷北町田端へギンガーz3の句です。,False,20,21,1
,031_mbc_13598281_20260712100000_seg_00022,031_mbc_13598281_20260712100000,SPEAKER_01,126.08,140.64,14.56,success,アメフイに、うぜらしかちよ、あっぺ丼、雨が降ったら、うぜらしですから、うるさいと、あっぺ丼、あっぺ丼ですね、どなたでしょうね、アメフィに、うぜらしかちよ、あっぺ丼。,success,ガーゼット山岳です、雨ふいに、うぜらしかちよ、あっぺどん、雨が降ったら、うぜらしですから、うるさいと、あっぺどん、あっぺどんですね、どなたでしょうね、アメフィに、うぜらしかちよあっぺ丼。,False,82,93,11
,031_mbc_13598281_20260712100000_seg_00023,031_mbc_13598281_20260712100000,SPEAKER_00,141.12,146.0,4.88,success,はいこのアッペドンというのはですねカエルのことなんですよね。,success,はいこのアッペドンというのはですねカエルのことなんですよね。,True,30,30,0
,031_mbc_13598281_20260712100000_seg_00024,031_mbc_13598281_20260712100000,SPEAKER_01,147.12,147.76,0.64,success,じゃないんですね。,success,あらドンコじゃないんですね。,False,9,14,5
