segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,019_crk_13570008_20260711063000_seg_00000,019_crk_13570008_20260711063000,SPEAKER_00,6.24,7.34,1.1,success,殿送り自慢。,success,その送り自慢。,False,6,7,1
,019_crk_13570008_20260711063000_seg_00001,019_crk_13570008_20260711063000,SPEAKER_00,15.699999,16.459999,0.76,success,ご紹介しましょう。,success,ご紹介しましょう。,True,9,9,0
,019_crk_13570008_20260711063000_seg_00002,019_crk_13570008_20260711063000,SPEAKER_00,17.619999,18.859999,1.24,success,ラジオネームリン。,success,ラジオネームリン。,True,9,9,0
,019_crk_13570008_20260711063000_seg_00003,019_crk_13570008_20260711063000,SPEAKER_00,26.739999,28.459999,1.72,success,感じることがあります、12月。,success,感じることがあります、12月。,True,15,15,0
,019_crk_13570008_20260711063000_seg_00004,019_crk_13570008_20260711063000,SPEAKER_00,51.28,52.939999,1.66,success,おめえもう念ずれば花が開く。,success,おめえもう念ずれば花が開き。,False,14,14,0
,019_crk_13570008_20260711063000_seg_00005,019_crk_13570008_20260711063000,SPEAKER_00,59.44,60.14,0.7,success,ええもう。,success,えも。,False,5,3,-2
,019_crk_13570008_20260711063000_seg_00006,019_crk_13570008_20260711063000,SPEAKER_00,68.980001,70.220004,1.24,success,ですよね、富山県。,success,ですよね富山県。,False,9,8,-1
,019_crk_13570008_20260711063000_seg_00007,019_crk_13570008_20260711063000,SPEAKER_00,80.020002,81.6,1.58,success,お世話になったときも。,success,でお世話になった時も。,False,11,11,0
,019_crk_13570008_20260711063000_seg_00008,019_crk_13570008_20260711063000,SPEAKER_00,90.16,90.88,0.72,success,ハロー。,success,あの。,False,4,3,-1
,019_crk_13570008_20260711063000_seg_00009,019_crk_13570008_20260711063000,SPEAKER_00,96.4,97.100001,0.7,success,ねえお願いします。,success,でお願いし。,False,9,6,-3
,019_crk_13570008_20260711063000_seg_00010,019_crk_13570008_20260711063000,SPEAKER_00,104.56,106.22,1.66,success,の状態ではありますかね。,success,の状態ではありますがね。,False,12,12,0
,019_crk_13570008_20260711063000_seg_00011,019_crk_13570008_20260711063000,SPEAKER_00,111.76,113.42,1.66,success,メールやがきが採用された方は番組。,success,メールやハガキが採用された方は番組を。,False,17,19,2
,019_crk_13570008_20260711063000_seg_00012,019_crk_13570008_20260711063000,SPEAKER_00,114.64,118.699999,4.06,success,クリアファイルを差し上げますので住所氏名もお忘れなく。,success,クリアファイルを差し上げますので住所氏名もお忘れなく。,True,27,27,0
,019_crk_13570008_20260711063000_seg_00013,019_crk_13570008_20260711063000,SPEAKER_00,119.92,121.100001,1.18,success,5745の。,success,5745の。,True,6,6,0
,019_crk_13570008_20260711063000_seg_00014,019_crk_13570008_20260711063000,SPEAKER_00,122.32,126.859999,4.54,success,放送松村邦洋のお国自慢の係までです。,success,初日放送松村邦洋のお国自慢の係までです。,False,18,20,2
,019_crk_13570008_20260711063000_seg_00015,019_crk_13570008_20260711063000,SPEAKER_00,131.44,134.059996,2.62,success,もう一回言いますよ、kunikkk。,success,もう一回言いますよ、kunimakkry。,False,18,21,3
,019_crk_13570008_20260711063000_seg_00016,019_crk_13570008_20260711063000,SPEAKER_00,136.24,137.899992,1.66,success,山口放送スマホアプリのメッセージ。,success,山口放送スマホアプリのメッセージ。,True,17,17,0
,019_crk_13570008_20260711063000_seg_00017,019_crk_13570008_20260711063000,SPEAKER_00,141.04,142.219992,1.18,success,山口放送禁止。,success,さて山口放送tスト。,False,7,10,3
,019_crk_13570008_20260711063000_seg_00018,019_crk_13570008_20260711063000,SPEAKER_00,147.28,147.979994,0.7,success,このお国。,success,その奥に。,False,5,5,0
,019_crk_13570008_20260711063000_seg_00019,019_crk_13570008_20260711063000,SPEAKER_01,173.84,176.48,2.64,success,ねえママジョンがまっててきたの。,success,ねえママちょんがまっててきたの。,False,16,16,0
,019_crk_13570008_20260711063000_seg_00020,019_crk_13570008_20260711063000,SPEAKER_02,176.88,178.88,2.0,success,あらお利口さんね。,success,あらお利口さんね。,True,9,9,0
,019_crk_13570008_20260711063000_seg_00021,019_crk_13570008_20260711063000,SPEAKER_01,179.28,180.32,1.04,success,すごいでしょ?,success,すごいでしょ?,True,7,7,0
,019_crk_13570008_20260711063000_seg_00022,019_crk_13570008_20260711063000,SPEAKER_01,181.12,183.92,2.8,success,きょうはわたしがじゅんのごはんじゅんびするね。,success,きょうはわたしがじょんのごはんじゅんびするね。,False,23,23,0
,019_crk_13570008_20260711063000_seg_00023,019_crk_13570008_20260711063000,SPEAKER_02,186.24,187.12,0.88,success,この子たち。,success,この子たち。,True,6,6,0
,019_crk_13570008_20260711063000_seg_00024,019_crk_13570008_20260711063000,SPEAKER_02,187.76,189.04,1.28,success,すっかり成長しちゃって。,success,すっかり成長しちゃって。,True,12,12,0
,019_crk_13570008_20260711063000_seg_00025,019_crk_13570008_20260711063000,SPEAKER_03,210.72,213.44,2.72,success,acjapanはこの活動を支援しています。,success,acjapanはこの活動を支援しています。,True,21,21,0
,019_crk_13570008_20260711063000_seg_00026,019_crk_13570008_20260711063000,SPEAKER_03,231.76,234.16,2.4,success,ジャパンはこの活動を支援しています。,success,d−japanはこの活動を支援しています。,False,18,21,3
,019_crk_13570008_20260711063000_seg_00027,019_crk_13570008_20260711063000,SPEAKER_00,245.619989,253.36,7.74,success,今週のゲストは歌謡グループmrトロッドジャパンから嶋悠さん風見の里恒彦さんです。,success,今週のゲストは歌謡グループmrトロッドジャパンから島裕樹さん風見の里恒彦さんです。,False,40,41,1
,019_crk_13570008_20260711063000_seg_00028,019_crk_13570008_20260711063000,SPEAKER_00,254.72,257.68,2.96,success,うわようやくお会いしますよ。,success,うわようやくお会いしますよ。,True,14,14,0
,019_crk_13570008_20260711063000_seg_00029,019_crk_13570008_20260711063000,SPEAKER_00,259.92,263.12,3.2,success,風見の里常幸さんの歌もすごいですよね。,success,かがみの里常彦さんの歌もすごいですよね。,False,19,20,1
,019_crk_13570008_20260711063000_seg_00030,019_crk_13570008_20260711063000,SPEAKER_03,263.28,264.08,0.8,success,ありがとうございます。,success,ありがとうございます。,True,11,11,0
,019_crk_13570008_20260711063000_seg_00031,019_crk_13570008_20260711063000,SPEAKER_00,264.16,266.0,1.84,success,そして志麻佑樹さんはも。,success,そして島裕樹さんはもちろん。,False,12,14,2
,019_crk_13570008_20260711063000_seg_00032,019_crk_13570008_20260711063000,SPEAKER_00,266.48,268.0,1.52,success,群馬出身の19歳だ。,success,群馬出身の19歳だ。,True,10,10,0
,019_crk_13570008_20260711063000_seg_00033,019_crk_13570008_20260711063000,SPEAKER_00,268.8,270.64,1.84,success,だから年齢差もすごいですよね。,success,だから年齢差もすごいですよね。,True,15,15,0
,019_crk_13570008_20260711063000_seg_00034,019_crk_13570008_20260711063000,SPEAKER_03,270.72,274.88,4.16,success,僕と勇気で18歳。,success,そうですね僕と勇気で18歳。,False,9,14,5
,019_crk_13570008_20260711063000_seg_00035,019_crk_13570008_20260711063000,SPEAKER_00,277.2,278.88,1.68,success,キュウでまたかわいらしい。,success,キュウでまたかわいらしいりょうり。,False,13,17,4
,019_crk_13570008_20260711063000_seg_00036,019_crk_13570008_20260711063000,SPEAKER_00,282.24,283.6,1.36,success,もと徳島はどんなとこでした?,success,もっと徳島はどんなとこでした?,False,14,15,1
,019_crk_13570008_20260711063000_seg_00037,019_crk_13570008_20260711063000,SPEAKER_03,284.72,286.96,2.24,success,県はもうすごい人が温かくて。,success,県はすごい人が温かくて。,False,14,12,-2
,019_crk_13570008_20260711063000_seg_00038,019_crk_13570008_20260711063000,SPEAKER_03,287.68,291.2,3.52,success,いい意味で人が少ないっちゃ少ない。,success,いい意味でその人が少ないっちゃ少ない。,False,17,19,2
,019_crk_13570008_20260711063000_seg_00039,019_crk_13570008_20260711063000,SPEAKER_03,292.08,293.6,1.52,success,人との関係性がすごい。,success,何かその人との関係性がすごい。,False,11,15,4
,019_crk_13570008_20260711063000_seg_00040,019_crk_13570008_20260711063000,SPEAKER_03,294.32,294.96,0.64,success,とか。,success,とか。,True,3,3,0
,019_crk_13570008_20260711063000_seg_00041,019_crk_13570008_20260711063000,SPEAKER_03,295.2,297.52,2.32,success,えっ待ってその共通の友達だったりとか。,success,えっ待ってその共通の友達だったりとか。,True,19,19,0
,019_crk_13570008_20260711063000_seg_00042,019_crk_13570008_20260711063000,SPEAKER_03,299.28,304.0,4.72,success,なんかそういう面で、すごい人と、人の温かさを感じてますね。,success,なんかそういう面ですごい人の温かさを感じてますね。,False,29,25,-4
,019_crk_13570008_20260711063000_seg_00043,019_crk_13570008_20260711063000,SPEAKER_00,304.8,306.24,1.44,success,徳島の人ってあったかいです。,success,徳島の人ってあったかいですね。,False,14,15,1
,019_crk_13570008_20260711063000_seg_00044,019_crk_13570008_20260711063000,SPEAKER_00,308.32,310.56,2.24,success,あのちょっと関西弁にちょっと近いとこ。,success,あのちょっと関西弁にちょっと近いとこなんですけど。,False,19,25,6
,019_crk_13570008_20260711063000_seg_00045,019_crk_13570008_20260711063000,SPEAKER_03,312.24,317.6,5.36,success,しっかりあって、ほなけんとか、語尾に剣がついたりとか。,success,しっかりあってほなけんとか語尾に剣がついたりとか。,False,27,25,-2
,019_crk_13570008_20260711063000_seg_00046,019_crk_13570008_20260711063000,SPEAKER_03,318.8,322.0,3.2,success,とかじょとか、そうなんじょ、ほうなんやとか、ほうなんじゃとか。,success,あ!とか情とかそうなんじょほうなんやとかほうなんじゃとか。,False,31,29,-2
,019_crk_13570008_20260711063000_seg_00047,019_crk_13570008_20260711063000,SPEAKER_03,324.88,325.76,0.88,success,のもあって。,success,のもあって。,True,6,6,0
,019_crk_13570008_20260711063000_seg_00048,019_crk_13570008_20260711063000,SPEAKER_03,329.04,331.92,2.88,success,でも標準語にはちょっと染まらないように。,success,でも標準語にはちょっと染まらないように。,True,20,20,0
,019_crk_13570008_20260711063000_seg_00049,019_crk_13570008_20260711063000,SPEAKER_03,332.72,333.52,0.8,success,ベンっていうんですけど。,success,ベンっていうんですけど。,True,12,12,0
,019_crk_13570008_20260711063000_seg_00050,019_crk_13570008_20260711063000,SPEAKER_03,339.2,340.48,1.28,success,貫きたいと思います。,success,はい貫きたいと思います。,False,10,12,2
,019_crk_13570008_20260711063000_seg_00051,019_crk_13570008_20260711063000,SPEAKER_00,344.88,347.6,2.72,success,だって徳島っていうと米津玄師さん。,success,だって徳島っていうと米津玄師さん。,True,17,17,0
,019_crk_13570008_20260711063000_seg_00052,019_crk_13570008_20260711063000,SPEAKER_03,347.92,348.96,1.04,success,そうですねやっぱり。,success,そうですねやっぱり。,True,10,10,0
,019_crk_13570008_20260711063000_seg_00053,019_crk_13570008_20260711063000,SPEAKER_03,349.36,351.36,2.0,success,子孫もアンジェラアキさんとか。,success,子孫もアンジェラアキさんとか。,True,15,15,0
,019_crk_13570008_20260711063000_seg_00054,019_crk_13570008_20260711063000,SPEAKER_03,352.4,354.32,1.92,success,歌手の皆さんもたくさんいらっしゃるので。,success,歌手の皆さんもたくさんいらっしゃるので。,True,20,20,0
,019_crk_13570008_20260711063000_seg_00055,019_crk_13570008_20260711063000,SPEAKER_03,354.64,357.92,3.28,success,自分もその一人に入れるように。,success,自分もその一人に入れるように。,True,15,15,0
,019_crk_13570008_20260711063000_seg_00056,019_crk_13570008_20260711063000,SPEAKER_00,360.32,361.92,1.6,success,これむかっていくのがたのしみだな。,success,これ向かっていくのが楽しみですね。,False,17,17,0
,019_crk_13570008_20260711063000_seg_00057,019_crk_13570008_20260711063000,SPEAKER_00,363.6,364.4,0.8,success,おやじはね。,success,おやじはね。,True,6,6,0
,019_crk_13570008_20260711063000_seg_00058,019_crk_13570008_20260711063000,SPEAKER_03,372.08,373.04,0.96,success,徳島商業。,success,もう徳島商業。,False,5,7,2
,019_crk_13570008_20260711063000_seg_00059,019_crk_13570008_20260711063000,SPEAKER_00,375.44,376.48,1.04,success,キューもつよいし。,success,竜もつよいし。,False,9,7,-2
,019_crk_13570008_20260711063000_seg_00060,019_crk_13570008_20260711063000,SPEAKER_00,377.36,378.96,1.6,success,やっぱ地元飯はなんですか?,success,やっぱ地元飯はなんですか?,True,13,13,0
