segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,009_kbs_13593443_20260712130000_seg_00000,009_kbs_13593443_20260712130000,SPEAKER_00,9.6,10.4,0.8,success,先輩!,success,大先輩!,False,3,4,1
,009_kbs_13593443_20260712130000_seg_00001,009_kbs_13593443_20260712130000,SPEAKER_00,24.339999,27.2,2.86,success,です、音と汗です。,success,イエス音ラセです。,False,9,9,0
,009_kbs_13593443_20260712130000_seg_00002,009_kbs_13593443_20260712130000,SPEAKER_01,27.2,28.939999,1.74,success,言うてやっております。,success,2人合わせて、こせ、汗、汗、こせ言うてやっております。,False,11,27,16
,009_kbs_13593443_20260712130000_seg_00003,009_kbs_13593443_20260712130000,SPEAKER_01,30.16,32.56,2.4,success,なんかもう、その、ジングルなったときに。,success,トイレ行ってきた、なんかもう、ジングルになったときに。,False,20,27,7
,009_kbs_13593443_20260712130000_seg_00004,009_kbs_13593443_20260712130000,SPEAKER_01,35.76,36.56,0.8,success,一体?,success,行ったらよかった。,False,3,9,6
,009_kbs_13593443_20260712130000_seg_00005,009_kbs_13593443_20260712130000,SPEAKER_01,37.76,40.24,2.48,success,全部口出す、その、なんなん、悟られ、お前。,success,一体、なんで全部口出す、その、なんなん、悟られ、お前。,False,21,27,6
,009_kbs_13593443_20260712130000_seg_00006,009_kbs_13593443_20260712130000,SPEAKER_01,41.92,43.52,1.6,success,言ってんの、これ、やっぱり、俺だけに聞こえてるの。,success,言ってんの、これ、やっぱり、俺だけに聞こえてんねん。,False,25,26,1
,009_kbs_13593443_20260712130000_seg_00007,009_kbs_13593443_20260712130000,SPEAKER_00,47.2,48.4,1.2,success,出てくる古い!,success,懐かしい悟られ出てくる古い。,False,7,14,7
,009_kbs_13593443_20260712130000_seg_00008,009_kbs_13593443_20260712130000,SPEAKER_00,57.04,58.16,1.12,success,レトといいますと。,success,で、と、といいますと。,False,9,11,2
,009_kbs_13593443_20260712130000_seg_00009,009_kbs_13593443_20260712130000,SPEAKER_00,59.12,59.659998,0.54,success,じゃあなえ。,success,といいましても、ああ、ちょっと間違えた。,False,6,20,14
,009_kbs_13593443_20260712130000_seg_00010,009_kbs_13593443_20260712130000,SPEAKER_00,60.88,61.84,0.96,success,うん。,success,ちょっと間違えたえっあの。,False,3,13,10
,009_kbs_13593443_20260712130000_seg_00011,009_kbs_13593443_20260712130000,SPEAKER_00,62.16,64.460001,2.3,success,ちょっと先々週、ちらっと、これ、オフエアのときに。,success,ちょっと先々週、ちらっと、これ、オフエアのときに。,True,25,25,0
,009_kbs_13593443_20260712130000_seg_00012,009_kbs_13593443_20260712130000,SPEAKER_00,68.500002,72.16,3.66,success,あれやん、お兄ちゃんが映画のファスト映画紹介。,success,あれやんお兄ちゃんが映画のファスト映画紹介。,False,23,22,-1
,009_kbs_13593443_20260712130000_seg_00013,009_kbs_13593443_20260712130000,SPEAKER_00,72.72,73.6,0.88,success,僕がちょっとあの。,success,ファースト映画紹介するから僕がちょっとあの。,False,9,22,13
,009_kbs_13593443_20260712130000_seg_00014,009_kbs_13593443_20260712130000,SPEAKER_00,74.96,78.0,3.04,success,人間じゃないわ映画なんやったっけ?,success,ちょっとあの、人間じゃないわ、映画、なんやったっけ?,False,17,26,9
,009_kbs_13593443_20260712130000_seg_00015,009_kbs_13593443_20260712130000,SPEAKER_00,78.96,81.2,2.24,success,人格ちゃうわなんやったっけ?,success,映画、なんやったっけ、人格、ちゃうわ、なんやったっけ。,False,14,27,13
,009_kbs_13593443_20260712130000_seg_00016,009_kbs_13593443_20260712130000,SPEAKER_01,81.28,82.4,1.12,success,国宝ですか?,success,国宝ですか?,True,6,6,0
,009_kbs_13593443_20260712130000_seg_00017,009_kbs_13593443_20260712130000,SPEAKER_01,83.44,86.56,3.12,success,どんな間違い、人間、人格。,success,どんな間違い、人間、人格。,True,13,13,0
,009_kbs_13593443_20260712130000_seg_00018,009_kbs_13593443_20260712130000,SPEAKER_00,90.0,90.56,0.56,success,ファスト。,success,ちょっと見てきてファスト。,False,5,13,8
,009_kbs_13593443_20260712130000_seg_00019,009_kbs_13593443_20260712130000,SPEAKER_00,91.76,94.16,2.4,success,すみません、ちょっとワールドカップ期間で、こいつ。,success,ファスト映画すると、すみません、ちょっとワールドカップ期間で、これを。,False,25,35,10
,009_kbs_13593443_20260712130000_seg_00020,009_kbs_13593443_20260712130000,SPEAKER_00,95.6,97.44,1.84,success,宇宙戦争を見てきましたので。,success,国宝は見れませんでしたが宇宙戦争を見てきましたので。,False,14,26,12
,009_kbs_13593443_20260712130000_seg_00021,009_kbs_13593443_20260712130000,SPEAKER_01,99.76,102.48,2.72,success,知ってるよ、そんなん見たって、俺。,success,知ってるよ、そんなん見たって、俺。,True,17,17,0
,009_kbs_13593443_20260712130000_seg_00022,009_kbs_13593443_20260712130000,SPEAKER_00,104.48,106.4,1.92,success,僕も宇宙戦争覚えてないです。,success,いや、でもここも見たでしょ、でも、僕も宇宙戦争、覚えてない。,False,14,30,16
,009_kbs_13593443_20260712130000_seg_00023,009_kbs_13593443_20260712130000,SPEAKER_01,106.56,108.56,2.0,success,覚えてる、なんとなく、もうちょい覚えてるからね。,success,僕も宇宙戦争覚えてない、覚えてる、なんとなく、もうちょい覚えてるからね。,False,24,36,12
,009_kbs_13593443_20260712130000_seg_00024,009_kbs_13593443_20260712130000,SPEAKER_00,111.44,112.48,1.04,success,宇宙戦争を見たので。,success,でも落ちた衝撃的、宇宙戦争を見たので。,False,10,19,9
,009_kbs_13593443_20260712130000_seg_00025,009_kbs_13593443_20260712130000,SPEAKER_00,112.88,113.44,0.56,success,中戦訴訟。,success,衝撃的、宇宙戦争見たので、ファースト宇宙戦争をしよう。,False,5,27,22
,009_kbs_13593443_20260712130000_seg_00026,009_kbs_13593443_20260712130000,SPEAKER_01,113.68,115.76,2.08,success,宇宙戦争、別にな、物語。,success,宇宙戦争見たので、ファースト宇宙戦争しようかと。,False,12,24,12
,009_kbs_13593443_20260712130000_seg_00027,009_kbs_13593443_20260712130000,SPEAKER_00,115.92,121.44,5.52,success,労働者なんですよ、湾岸労働者っていうのは、なんかその港で働くトムクルーズ、最初のシーン、知ってる?,success,戦争、別にな、物語労働者なんですよ、湾岸労働者っていうのは、なんかその港で働くトムクルーズ、最初のシーン、知ってる?,False,49,58,9
,009_kbs_13593443_20260712130000_seg_00028,009_kbs_13593443_20260712130000,SPEAKER_01,121.52,124.0,2.48,success,港でトムクルーズでややこしいね、本当に。,success,港でトムクルーズでややこしいね、本当に。,True,20,20,0
,009_kbs_13593443_20260712130000_seg_00029,009_kbs_13593443_20260712130000,SPEAKER_01,125.04,126.48,1.44,success,クルーズで、ほんまに。,success,本当に、港でクルーズで、ほんまに。,False,11,17,6
,009_kbs_13593443_20260712130000_seg_00030,009_kbs_13593443_20260712130000,SPEAKER_00,130.16,130.88,0.72,success,よな。,success,止めるよな。,False,3,6,3
,009_kbs_13593443_20260712130000_seg_00031,009_kbs_13593443_20260712130000,SPEAKER_01,136.64,138.08,1.44,success,クルーズはややこしいです、これ。,success,じゃあ、これな、ややこしくない?,False,16,16,0
,009_kbs_13593443_20260712130000_seg_00032,009_kbs_13593443_20260712130000,SPEAKER_00,138.24,139.2,0.96,success,これだそれ。,success,クルーズはややこしいです、これ、これだ、それ。,False,6,23,17
,009_kbs_13593443_20260712130000_seg_00033,009_kbs_13593443_20260712130000,SPEAKER_00,149.44,152.32,2.88,success,それが一番よくなかった。,success,1出した言うてる、それが一番よくない、それが一番よくなかった。,False,12,31,19
,009_kbs_13593443_20260712130000_seg_00034,009_kbs_13593443_20260712130000,SPEAKER_00,153.6,154.72,1.12,success,そういうことじゃなくてよ。,success,違う、違う、そういうことじゃなくてよ。,False,13,19,6
,009_kbs_13593443_20260712130000_seg_00035,009_kbs_13593443_20260712130000,SPEAKER_01,157.68,158.48,0.8,success,ねえお前。,success,たんやん松本さん。,False,5,9,4
,009_kbs_13593443_20260712130000_seg_00036,009_kbs_13593443_20260712130000,SPEAKER_01,158.8,159.44,0.64,success,じゃないけど。,success,弟子ってまあまあね弟子じゃないけど。,False,7,18,11
,009_kbs_13593443_20260712130000_seg_00037,009_kbs_13593443_20260712130000,SPEAKER_00,159.52,160.96,1.44,success,トムクルーズから始まると。,success,弟子じゃないけどトムクルーズから始まると。,False,13,21,8
,009_kbs_13593443_20260712130000_seg_00038,009_kbs_13593443_20260712130000,SPEAKER_00,161.28,164.48,3.2,success,でその同僚がなトムクルーズに言うねん。,success,トムクルーズから始まると、で、その同僚がね、トムクルーズに言うねん。,False,19,34,15
,009_kbs_13593443_20260712130000_seg_00039,009_kbs_13593443_20260712130000,SPEAKER_00,164.88,171.12,6.24,success,頼むよ、きょうは頼む、その、働いてくれ、12時まで。,success,同僚がね、トムクルーズに言うねん、頼むよ、きょう、トム、働いてくれ、12時まで。,False,26,40,14
,009_kbs_13593443_20260712130000_seg_00040,009_kbs_13593443_20260712130000,SPEAKER_00,171.44,180.16,8.72,success,だめだ、俺はもう12時間、めっちゃアメリカな、ここ、12時間働いたから、もう休まなきゃいけないんだ、頼むよ、そんなこと言わずに、仲間のよしみだろ。,success,働いてくれ、12時までって言ったら、だめだ、俺はもう12時間、めっちゃアメリカな、ここ、12時間働いたから、もう休まなきゃいけないんだ、頼むよ、そんなこと言わずに、仲間のよしみだろ。,False,73,91,18
,009_kbs_13593443_20260712130000_seg_00041,009_kbs_13593443_20260712130000,SPEAKER_00,180.48,189.2,8.72,success,いや、だめだ、俺はもう帰るんだよ、12時間働いたんだ、だから12時間休まないといけないんだ、じゃあなって、お前はいつもそうだな、この薄情者。,success,仲間のよしみだろ、頼む、いや、だめだ、俺はもう帰るんだよ、12時間働いたんだ、だから12時間休まないといけないんだ、じゃあなって、お前はいつもそうだな、この薄情者。,False,70,82,12
,009_kbs_13593443_20260712130000_seg_00042,009_kbs_13593443_20260712130000,SPEAKER_00,189.6,191.44,1.84,success,トムクルーズが。,success,あっ、この薄情者!ってトムクルーズが。,False,8,19,11
,009_kbs_13593443_20260712130000_seg_00043,009_kbs_13593443_20260712130000,SPEAKER_00,191.68,192.8,1.12,success,あんた。,success,トムクルーズが、本当。,False,4,11,7
,009_kbs_13593443_20260712130000_seg_00044,009_kbs_13593443_20260712130000,SPEAKER_00,193.68,196.64,2.96,success,数々いる女にもそういうふうに言われたよ。,success,本当、数々いる女にもそういうふうに言われたよ。,False,20,23,3
,009_kbs_13593443_20260712130000_seg_00045,009_kbs_13593443_20260712130000,SPEAKER_00,197.68,198.24,0.56,success,めっちゃアメリカ。,success,すぐに荒れたよめっちゃアメリカ。,False,9,16,7
,009_kbs_13593443_20260712130000_seg_00046,009_kbs_13593443_20260712130000,SPEAKER_00,199.92,200.48,0.56,success,これ。,success,アメリカンこれ。,False,3,8,5
,009_kbs_13593443_20260712130000_seg_00047,009_kbs_13593443_20260712130000,SPEAKER_00,201.44,202.16,0.72,success,はい?,success,これはい?,False,3,5,2
,009_kbs_13593443_20260712130000_seg_00048,009_kbs_13593443_20260712130000,SPEAKER_00,202.56,203.84,1.28,success,フフフこれな。,success,はいこれな。,False,7,6,-1
,009_kbs_13593443_20260712130000_seg_00049,009_kbs_13593443_20260712130000,SPEAKER_01,204.08,205.2,1.12,success,あっ、これがっていうこと。,success,これな、あっ、これなっていうこと。,False,13,17,4
,009_kbs_13593443_20260712130000_seg_00050,009_kbs_13593443_20260712130000,SPEAKER_00,205.36,206.4,1.04,success,がまず始まり。,success,これがまず始まり。,False,7,9,2
,009_kbs_13593443_20260712130000_seg_00051,009_kbs_13593443_20260712130000,SPEAKER_01,206.48,207.44,0.96,success,始まりね。,success,これがまず始まり。,False,5,9,4
,009_kbs_13593443_20260712130000_seg_00052,009_kbs_13593443_20260712130000,SPEAKER_00,207.6,208.16,0.56,success,アメリカへ。,success,まず始まりアメリカや。,False,6,11,5
,009_kbs_13593443_20260712130000_seg_00053,009_kbs_13593443_20260712130000,SPEAKER_00,209.04,210.16,1.12,success,そんな急いで帰ってるのかな。,success,なんでそんな急いで帰ってるのかな。,False,14,17,3
,009_kbs_13593443_20260712130000_seg_00054,009_kbs_13593443_20260712130000,SPEAKER_00,211.36,212.24,0.88,success,離婚した。,success,急いで帰ってんのかなと思ったら、実は離婚した。,False,5,23,18
,009_kbs_13593443_20260712130000_seg_00055,009_kbs_13593443_20260712130000,SPEAKER_00,212.48,217.44,4.96,success,奥さんにもう結婚されるんやけども。,success,実は離婚した奥さんにもう結婚されるんやけども。,False,17,23,6
,009_kbs_13593443_20260712130000_seg_00056,009_kbs_13593443_20260712130000,SPEAKER_01,218.08,218.64,0.56,success,再婚。,success,いるんやけども、結婚、再婚して。,False,3,16,13
,009_kbs_13593443_20260712130000_seg_00057,009_kbs_13593443_20260712130000,SPEAKER_00,219.76,221.84,2.08,success,それでたぶん赤ちゃんが生まれると。,success,再婚しはんねん、でも、その間にたぶん、赤ちゃんが産まれると。,False,17,30,13
,009_kbs_13593443_20260712130000_seg_00058,009_kbs_13593443_20260712130000,SPEAKER_00,222.16,223.92,1.76,success,でこの赤ちゃんを産む。,success,それはたぶん、赤ちゃんが産まれると。,False,11,18,7
,009_kbs_13593443_20260712130000_seg_00059,009_kbs_13593443_20260712130000,SPEAKER_01,224.4,225.68,1.28,success,結婚相手の赤ちゃんってこと?,success,この赤ちゃんを産む再婚相手の赤ちゃんってこと?,False,14,23,9
,009_kbs_13593443_20260712130000_seg_00060,009_kbs_13593443_20260712130000,SPEAKER_00,225.68,227.28,1.6,success,多分そうやと思う。,success,じゃあ、再婚相手の赤ちゃんってこと?,False,9,18,9
,009_kbs_13593443_20260712130000_seg_00061,009_kbs_13593443_20260712130000,SPEAKER_00,227.68,228.4,0.72,success,って。,success,たぶんそうやと思う。,False,3,10,7
,009_kbs_13593443_20260712130000_seg_00062,009_kbs_13593443_20260712130000,SPEAKER_00,231.04,232.64,1.6,success,もう里帰りしはると。,success,再婚相手の赤ちゃんで、もう里帰りしはると。,False,10,21,11
,009_kbs_13593443_20260712130000_seg_00063,009_kbs_13593443_20260712130000,SPEAKER_00,234.32,237.84,3.52,success,でも、そのためにな、子どもたちをトムクルーズに預ける。,success,里帰り出産しはる、でも、そのためにな、子どもたちをトムクルーズに預ける。,False,27,36,9
,009_kbs_13593443_20260712130000_seg_00064,009_kbs_13593443_20260712130000,SPEAKER_01,238.72,240.08,1.36,success,どういうこと、子どもがいるの、トムクルーズ。,success,トムクルーズ、預ける、どういうこと、子どもがいんの、トムクルーズ。,False,22,33,11
,009_kbs_13593443_20260712130000_seg_00065,009_kbs_13593443_20260712130000,SPEAKER_01,243.04,244.24,1.2,success,ファニングやろ、確かね。,success,えーっと、まだ2人いなし、ダコタファニングやろ、確かね。,False,12,28,16
,009_kbs_13593443_20260712130000_seg_00066,009_kbs_13593443_20260712130000,SPEAKER_01,246.48,247.12,0.64,success,アイアムさんのこと。,success,そうそうそうそう、女の子、アイアムサムの子。,False,10,22,12
,009_kbs_13593443_20260712130000_seg_00067,009_kbs_13593443_20260712130000,SPEAKER_00,248.48,251.44,2.96,success,ああ、もうしゃあ、やめとくか、いやいやいや、覚えて、なんかカツカツ。,success,いやいやいや覚えて何かカツカツ。,False,34,16,-18
,009_kbs_13593443_20260712130000_seg_00068,009_kbs_13593443_20260712130000,SPEAKER_00,251.84,253.12,1.28,success,田村の子とあと長男。,success,いやいやいや、覚えてない、アイアムサムの子と、あと長男。,False,10,28,18
