segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,015_tbc_13598003_20260713232000_seg_00000,015_tbc_13598003_20260713232000,SPEAKER_00,12.64,31.68,19.04,success,私は東京の練馬区というところに住んでいるんですけれど戸建ての一軒家を建て売りで買いましてそこに二十数年住んでおりましたがオンボロになってきたということもあり。,success,私は東京の練馬区というところに住んでいるんですけれど戸建ての一軒家を建て売りで買いましてそこに二十数年住んでおりましたがまあオンボロになってきたということもあり。,False,79,81,2
,015_tbc_13598003_20260713232000_seg_00001,015_tbc_13598003_20260713232000,SPEAKER_00,32.24,39.2,6.96,success,子どもも大きくなり社会人になったけどえ。,success,こともあり子どもも大きくなり社会人になったけどえ。,False,20,25,5
,015_tbc_13598003_20260713232000_seg_00002,015_tbc_13598003_20260713232000,SPEAKER_00,40.16,41.92,1.76,success,いったんせがれが。,success,えいったんせがれが。,False,9,10,1
,015_tbc_13598003_20260713232000_seg_00003,015_tbc_13598003_20260713232000,SPEAKER_00,43.04,44.72,1.68,success,単身赴任で。,success,あれが単身赴任で。,False,6,9,3
,015_tbc_13598003_20260713232000_seg_00004,015_tbc_13598003_20260713232000,SPEAKER_00,45.12,47.28,2.16,success,家を出たことはあるけど。,success,単身赴任で家を出たことはあるけど。,False,12,17,5
,015_tbc_13598003_20260713232000_seg_00005,015_tbc_13598003_20260713232000,SPEAKER_00,47.92,51.44,3.52,success,それ以外はずっと4人一緒にいて。,success,とはあるけど、それ以外はずっと4人一緒にいて。,False,16,23,7
,015_tbc_13598003_20260713232000_seg_00006,015_tbc_13598003_20260713232000,SPEAKER_00,52.72,59.12,6.4,success,結構、あっ、意外と子どもって出ていかないものなんだなっていうふうに思って。,success,いて、結構、ああ、意外と子どもって出ていかないものなんだなっていうふうに思って。,False,37,40,3
,015_tbc_13598003_20260713232000_seg_00007,015_tbc_13598003_20260713232000,SPEAKER_00,60.16,61.6,1.44,success,であるならば。,success,であるならば。,True,7,7,0
,015_tbc_13598003_20260713232000_seg_00008,015_tbc_13598003_20260713232000,SPEAKER_00,62.64,146.16,83.52,success,ちゃんとリフォームするかっていって、完全にね、ゼロから建て直すっていうことも考えたんですけど、資材高騰とか、大工さんのスケジュールが取れないとか、いろんなこともあり、また調べてみたら、基礎の部分が結構ちゃんとしてたんで、なんの腐食もなかったんで、じゃあ、これ、全然建て直しでいいんじゃねってことで、建て直しにすることにしたんですね、ああ、建て直しじゃないや、リフォームにすることにしたんですね、リフォームでいいじゃないかっていうね、建て直す必要ないよねっていうね、ことで、コストパフォーマンスっていうことでいうと、ゼロから建て直したほうが、その半分ぐらいのお金を使ってね、一部改築っていうのよりはいいとは思うんですけど、だけど、まあ、そこまでしなくていいかなっていうのと、あとまあね、やってく中で、どんどんどんどん資材上がっていく可能性もあるしなとか、そこまでやんなくてもいいよなみたいなことを思って、リフォームにしたんですね、で、リフォームするから、いくつかの場所直して、屋根裏のね、収納部分を作るとか、そういったようなこともあるんですけど。,success,あるならば、ちゃんとリフォームするかっていって、完全にね、ゼロから建て直すっていうことも考えたんですけど、資材高騰とか、大工さんのスケジュールが取れないとか、いろんなこともあり、また調べてみたら、基礎の部分が結構ちゃんとしてたんで、なんの腐食もなかったんで、じゃあ、これ、全然建て直しでいいんじゃねってことで、建て直しにすることにしたんですね、ああ、建て直しじゃないや、リフォームにすることにしたんですね、リフォームでいいじゃないかっていうね、建て直す必要ないよねっていうね、ことで、コストパフォーマンスっていうことでいうと、ゼロから建て直したほうが、その半分ぐらいのお金を使ってね、一部改築っていうのよりはいいとは思うんですけど、だけど、まあ、そこまでしなくていいかなっていうのと、あとまあね、やってく中で、どんどんどんどん資材上がっていく可能性もあるしなとか、そこまでやんなくてもいいよなみたいなことを思って、リフォームにしたんですね、で、リフォームするから、いくつかの場所直して、屋根裏のね、収納部分を作るとか、そういったようなこともあるんですけど。,False,472,478,6
,015_tbc_13598003_20260713232000_seg_00009,015_tbc_13598003_20260713232000,SPEAKER_00,148.08,211.6,63.52,success,結構、住みながら、住んでる状態で作業してもらうってことができないんで、家族全員で引っ越さなければいけないと、仮住まいを家の近くに見つかったので、そこに契約してね、今、住んでるんですけど、そのね、引っ越しがね、ちょっとやっぱ大変だったんですよね、急に決まったのもあるし、場所がなかなか決まらなくて、どうしよう、どうしようみたいなことがあり、最初はね、airb&bでとかってあれだったんだけど、無事に引っ越し業者さんも決まって、引っ越しをすることができたんですけど、だけど、引っ越しっていっても、一部、生活に必要なものを引っ越すわけですよね、それ以外のこれは別にわざわざ持っていく必要ないよねっていうようなもの、なんだろうな、体重計とかね、そういったようなものを置いてって、あと、熱帯魚の水槽は置いていくとか。,success,結構、住みながら、住んでる状態で作業してもらうってことができないんで、家族全員で引っ越さなければいけないと、仮住まいを家の近くに見つかったので、そこに契約してね、今、住んでるんですけど、そのね、引っ越しがね、ちょっとやっぱ大変だったんですよね、急に決まったのもあるし、場所がなかなか決まらなくて、どうしよう、どうしようみたいなことがあり、最初はね、airb&bでとかってあれだったんだけど、無事に引っ越し業者さんも決まって、引っ越しをすることができたんですけど、だけど、引っ越しっていっても、一部、生活に必要なものを引っ越すわけですよね、それ以外のこれは別にわざわざ持っていく必要ないよねっていうようなもの、なんだろうな、体重計とかね、そういったようなものを置いてって、あと、熱帯魚の水槽は置いていくとか。,True,353,353,0
,015_tbc_13598003_20260713232000_seg_00010,015_tbc_13598003_20260713232000,SPEAKER_00,212.56,223.12,10.56,success,電源切らないでねみたいな感じにして僕は毎朝餌やりにねそこに行くんだけどみたいなことをやってるんですけどね。,success,電源切らないでねみたいな感じにして僕は毎朝餌やりにねそこに行くんだけどみたいなことをやってるんですけどね。,True,53,53,0
,015_tbc_13598003_20260713232000_seg_00011,015_tbc_13598003_20260713232000,SPEAKER_00,223.52,285.84,62.32,success,とりあえず、リフォームがうまくできるように、物を何しろどけなきゃっていうことで、とりあえず持っていこうっていうものは持っていくっていうことをしたんですけど、それでちょっと、ちょっとした不具合が生じましてね、まず、仮住まいで契約したところっていうのは、自転車は置けるけど、バイクは置かないほうがいいだろうなっていうのもあるし、バイクは置いたままにしてね、自宅に、リフォームはしてるけど、自宅に置いたままにして、そこに乗るときは取りに来るみたいなことにしようと思ったのね、なぜなら、仮住まいのほうは門扉がないので、囲まれてないから、いたずらされたり、盗まれたりなんていうこともあるから、最悪、自転車はしょうがないなっていうにしてもね、鍵かけて、トラック積み込まれたら盗まれちゃうけど、それはまあ、しょうがないなっていう、諦めっかみたいな感じで。,success,でとりあえずリフォームがうまくできるように物を何しろどけなきゃっていうことでとりあえず持っていこうっていうものは持っていくっていうことをしたんですけどそれでちょっとした不具合が生じましてねまず仮住まいで契約したところっていうのは自転車は置けるけどバイクは置かないほうがいいだろうなっていうのもあるしバイクは置いたままにしてね自宅にリフォームはしてるけど自宅に置いたままにしてそこに乗るときは取りに来るみたいなことにしようと思ったのねなぜなら仮住まいのほうは門扉がないので囲まれてないからいたずらされたり盗まれたりなんていうこともあるから最悪自転車はしょうがないなっていうにしてもね鍵かけてトラック積み込まれたら盗まれちゃうけどそれはまあしょうがないなっていう諦めっかみたいな感じで。,False,370,341,-29
,015_tbc_13598003_20260713232000_seg_00012,015_tbc_13598003_20260713232000,SPEAKER_00,286.4,287.28,0.88,success,うん。,success,やめっかみたいな感じでえ。,False,3,13,10
,015_tbc_13598003_20260713232000_seg_00013,015_tbc_13598003_20260713232000,SPEAKER_00,287.92,293.28,5.36,success,仮住まいに自転車だけは持っていってるんですけどね、車とバイクは自宅に置いてあると。,success,仮住まいに自転車だけは持っていってるんですけどね車とバイクは自宅に置いてあると。,False,41,40,-1
