segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,024_rkc_13596248_20260714163000_seg_00000,024_rkc_13596248_20260714163000,SPEAKER_00,17.139999,17.899999,0.76,success,でしょうか、井上。,success,でしょうか井上。,False,9,8,-1
,024_rkc_13596248_20260714163000_seg_00001,024_rkc_13596248_20260714163000,SPEAKER_00,89.92,91.820002,1.9,success,それではまずは今日のトップニュースです。,success,それではまずは今日のトップニュースです。,True,20,20,0
,024_rkc_13596248_20260714163000_seg_00002,024_rkc_13596248_20260714163000,SPEAKER_00,94.64,104.72,10.08,success,高知県内は、きょうも午前中からすべての観測地点で30度を超える厳しい暑さとなり四万十市は3日連続の猛暑日となっています。,success,高知県内はきょうも午前中からすべての観測地点で30度を超える厳しい暑さとなり四万十市は3日連続の猛暑日となっています。,False,60,59,-1
,024_rkc_13596248_20260714163000_seg_00003,024_rkc_13596248_20260714163000,SPEAKER_00,105.28,110.32,5.04,success,気象庁などは熱中症警戒アラートを発表し注意を呼びかけています。,success,猛暑日となっています気象庁などは熱中症警戒アラートを発表し注意を呼びかけています。,False,31,41,10
,024_rkc_13596248_20260714163000_seg_00004,024_rkc_13596248_20260714163000,SPEAKER_00,111.52,118.4,6.88,success,今日の高知県内は高気圧に覆われおおむね晴れ朝から各地でぐんぐんと気温が上がりました。,success,きょうの高知県内は高気圧に覆われおおむね晴れ朝から各地でぐんぐんと気温が上がりました。,False,42,43,1
,024_rkc_13596248_20260714163000_seg_00005,024_rkc_13596248_20260714163000,SPEAKER_00,119.36,139.92,20.56,success,午前11時の時点で県内16の観測地点すべてが30度以上となっていてこのうち四万十市中村では38てん2度と3日連続で35度を超える猛暑日となっているほか高知市が35てん5度と初の猛暑日となっています。,success,気温が上がりました午前11時の時点で県内16の観測地点すべてが30度以上となっていてこのうち四万十市中村では38てん2度と3日連続で35度を超える猛暑日となっているほか高知市が35てん5度と初の猛暑日となっています。,False,99,108,9
,024_rkc_13596248_20260714163000_seg_00006,024_rkc_13596248_20260714163000,SPEAKER_00,140.96,144.4,3.44,success,猛暑日が続く四万十市の人に聞きました。,success,猛暑日が続く四万十市の人に聞きました。,True,19,19,0
,024_rkc_13596248_20260714163000_seg_00007,024_rkc_13596248_20260714163000,SPEAKER_01,144.8,148.4,3.6,success,暑いね、焼け飛ぶような暑さやね。,success,暑いね、焼け飛ぶような暑さやね。,True,16,16,0
,024_rkc_13596248_20260714163000_seg_00008,024_rkc_13596248_20260714163000,SPEAKER_02,149.2,156.0,6.8,success,もうこんな暑さ、耐えれません、もう朝からこの状態でしたら、きょうも厳しい暑さになりそうです。,success,もうこんな暑さ、耐えれません、もう朝からこの状態でしたら、きょうも厳しい暑さになりそうです。,True,46,46,0
,024_rkc_13596248_20260714163000_seg_00009,024_rkc_13596248_20260714163000,SPEAKER_00,157.68,176.299994,18.62,success,気象庁などは熱中症警戒アラートを発表しこまめな水分、塩分補給や体調管理など熱中症予防のための行動を呼びかけていますそれではこれまでに入っている県内のニュースをまとめてお送りします。,success,気象庁などは熱中症警戒アラートを発表しこまめな水分、塩分補給や体調管理など熱中症予防のための行動を呼びかけていますそれではこれまでに入っている県内のニュースをまとめてお送りしますヘッドラインニュース。,False,90,100,10
,024_rkc_13596248_20260714163000_seg_00010,024_rkc_13596248_20260714163000,SPEAKER_00,180.88,184.45999,3.58,success,co2の削減などのsdgsや接客サービスを巡る。,success,フードロスの削減などのsdgsや接客サービスを巡る。,False,24,26,2
,024_rkc_13596248_20260714163000_seg_00011,024_rkc_13596248_20260714163000,SPEAKER_00,186.16,187.819991,1.66,success,土佐山学舎の5年生。,success,サービスの土佐山学舎の5年生。,False,10,15,5
,024_rkc_13596248_20260714163000_seg_00012,024_rkc_13596248_20260714163000,SPEAKER_00,188.97999,191.179991,2.2,success,ビジネスストアで仕事体験をします。,success,各社の5年生がコンビニエンスストアで仕事体験をしました。,False,17,28,11
,024_rkc_13596248_20260714163000_seg_00013,024_rkc_13596248_20260714163000,SPEAKER_00,194.32,195.019987,0.7,success,町の取組。,success,意匠の取り組み。,False,5,8,3
,024_rkc_13596248_20260714163000_seg_00014,024_rkc_13596248_20260714163000,SPEAKER_00,196.24,196.939993,0.7,success,ついて学んだ。,success,意匠の取り組みについて学んでいきます。,False,7,19,12
,024_rkc_13596248_20260714163000_seg_00015,024_rkc_13596248_20260714163000,SPEAKER_00,198.16,198.859991,0.7,success,に制服を。,success,実際に制服を着る。,False,5,9,4
,024_rkc_13596248_20260714163000_seg_00016,024_rkc_13596248_20260714163000,SPEAKER_00,200.08,202.219992,2.14,success,期限が近い商品を積極的に販売。,success,前に制服を着用し、期限が近い商品を積極的に購入。,False,15,24,9
,024_rkc_13596248_20260714163000_seg_00017,024_rkc_13596248_20260714163000,SPEAKER_00,203.44,205.099989,1.66,success,前撮りを利用客に呼びます。,success,積極的にしまえどりを利用客に呼びかけ。,False,13,19,6
,024_rkc_13596248_20260714163000_seg_00018,024_rkc_13596248_20260714163000,SPEAKER_00,208.72,209.419989,0.7,success,今月31日。,success,今月31日。,True,6,6,0
,024_rkc_13596248_20260714163000_seg_00019,024_rkc_13596248_20260714163000,SPEAKER_00,210.64,211.339995,0.7,success,プリボンデよ。,success,今月31日見送りボンデーよ。,False,7,14,7
,024_rkc_13596248_20260714163000_seg_00020,024_rkc_13596248_20260714163000,SPEAKER_00,212.56,213.739989,1.18,success,市の帯屋町商店街。,success,びっくりボンデーを高知市の帯山町商店街。,False,9,20,11
,024_rkc_13596248_20260714163000_seg_00021,024_rkc_13596248_20260714163000,SPEAKER_00,216.4,220.45999,4.06,success,ファーティングドッグスの選手などががん検診の受診を呼びかけました。,success,ファイティングドッグスの選手などががん検診の受診を呼びかけ。,False,33,30,-3
,024_rkc_13596248_20260714163000_seg_00022,024_rkc_13596248_20260714163000,SPEAKER_00,224.08,229.579993,5.5,success,30日の試合でも、がん検診の受診を呼びかけるブースを設けることにしています。,success,30日の試合でもがん検診の受診を呼びかけるブースを設けることにしています。,False,38,37,-1
,024_rkc_13596248_20260714163000_seg_00023,024_rkc_13596248_20260714163000,SPEAKER_00,233.68,234.379988,0.7,success,ヘッドライン。,success,ヘッドライン。,True,7,7,0
,024_rkc_13596248_20260714163000_seg_00024,024_rkc_13596248_20260714163000,SPEAKER_00,254.88,293.9,39.02,success,土佐子チーブニングでは皆さんから今日の1枚xでぜひポストしてくださいと呼びかけておりますのでね今日一日どんな出来事があったのか恐らくねスマホでパチャッと写真1枚撮っていることがあると思いますのでそれを#土佐イブ土佐ひらがなイブカタカナでxにポストしてくださいどんな状況で撮った1枚なのか文章もぜひ添えてくださいね番組内で紹介してまいりますラジオネームにじいろメンタルさんはセミの抜け殻もう見つけましたかけさうちの玄関でセミが羽化したらしく朝ごみ捨てに出。,success,土佐子チーブニングでは皆さんから今日の一枚xでぜひポストしてくださいと呼びかけておりますのでね今日一日どんな出来事があったのか恐らくねスマホでパチャッと写真1枚撮っていることがあると思いますのでそれを#土佐イブ土佐ひらがなイブカタカナでxにポストしてくださいどんな状況で撮った一枚なのか文章もぜひ添えてくださいね番組内で紹介してまいりますラジオネームにじいろメンタルさんはセミの抜け殻もう見つけましたかけさうちの玄関でセミが羽化したらしく朝ごみ捨てにで。,False,227,227,0
,024_rkc_13596248_20260714163000_seg_00025,024_rkc_13596248_20260714163000,SPEAKER_00,295.12,297.740012,2.62,success,柄がありました。,success,ごみ捨てに出ている銘柄がありました。,False,8,18,10
