segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,027_rcc_13595865_20260714090000_seg_00000,027_rcc_13595865_20260714090000,SPEAKER_00,29.68,30.38,0.7,success,アカゴー!,success,ギョギョッ!,False,5,6,1
,027_rcc_13595865_20260714090000_seg_00001,027_rcc_13595865_20260714090000,SPEAKER_00,35.84,37.099999,1.26,success,暑苦しいけど始まるよ。,success,暑苦しいけど始まるよ。,True,11,11,0
,027_rcc_13595865_20260714090000_seg_00002,027_rcc_13595865_20260714090000,SPEAKER_00,52.18,52.939999,0.76,success,iog!,success,太陽光!,False,4,4,0
,027_rcc_13595865_20260714090000_seg_00003,027_rcc_13595865_20260714090000,SPEAKER_00,57.459999,58.699997,1.24,success,富山でございます。,success,富山でございます。,True,9,9,0
,027_rcc_13595865_20260714090000_seg_00004,027_rcc_13595865_20260714090000,SPEAKER_01,59.859998,60.619999,0.76,success,おはようございます。,success,おはようございます。,True,10,10,0
,027_rcc_13595865_20260714090000_seg_00005,027_rcc_13595865_20260714090000,SPEAKER_00,73.84,74.540003,0.7,success,あっ!,success,あっ!,True,3,3,0
,027_rcc_13595865_20260714090000_seg_00006,027_rcc_13595865_20260714090000,SPEAKER_00,80.08,80.780001,0.7,success,ちょびちょな。,success,ドミチョな。,False,7,6,-1
,027_rcc_13595865_20260714090000_seg_00007,027_rcc_13595865_20260714090000,SPEAKER_00,83.12,83.660002,0.54,success,もっとも。,success,もっとも!,False,5,5,0
,027_rcc_13595865_20260714090000_seg_00008,027_rcc_13595865_20260714090000,SPEAKER_00,85.36,86.540003,1.18,success,え?ってなるぐらいもう。,success,え!?ってなるぐらいもう。,False,12,13,1
,027_rcc_13595865_20260714090000_seg_00009,027_rcc_13595865_20260714090000,SPEAKER_01,89.140001,90.0,0.86,success,つけてない。,success,つけてない。,True,6,6,0
,027_rcc_13595865_20260714090000_seg_00010,027_rcc_13595865_20260714090000,SPEAKER_00,90.08,91.12,1.04,success,やっこつけたり。,success,やっこつけたり。,True,8,8,0
,027_rcc_13595865_20260714090000_seg_00011,027_rcc_13595865_20260714090000,SPEAKER_00,94.32,95.04,0.72,success,できれば。,success,できれば。,True,5,5,0
,027_rcc_13595865_20260714090000_seg_00012,027_rcc_13595865_20260714090000,SPEAKER_00,109.36,110.06,0.7,success,合ってきてるときに。,success,買ってきてる時に。,False,10,9,-1
,027_rcc_13595865_20260714090000_seg_00013,027_rcc_13595865_20260714090000,SPEAKER_00,112.72,113.44,0.72,success,目が覚め!,success,目が覚め!,True,5,5,0
,027_rcc_13595865_20260714090000_seg_00014,027_rcc_13595865_20260714090000,SPEAKER_00,120.820001,122.08,1.26,success,目が覚めたのよ。,success,目が覚めたのよ。,True,8,8,0
,027_rcc_13595865_20260714090000_seg_00015,027_rcc_13595865_20260714090000,SPEAKER_00,128.16,130.16,2.0,success,ほぼ冷水を浴びたのに。,success,ほぼ冷水を浴びたのに!,False,11,11,0
,027_rcc_13595865_20260714090000_seg_00016,027_rcc_13595865_20260714090000,SPEAKER_00,130.56,132.0,1.44,success,風呂上がりまだ汗が止まらない。,success,風呂上がりまだ汗が止まらない。,True,15,15,0
,027_rcc_13595865_20260714090000_seg_00017,027_rcc_13595865_20260714090000,SPEAKER_01,135.76,136.45999,0.7,success,お風呂入って。,success,おふろはいって。,False,7,8,1
,027_rcc_13595865_20260714090000_seg_00018,027_rcc_13595865_20260714090000,SPEAKER_01,138.08,138.64,0.56,success,きますよね、また。,success,できますよねまた。,False,9,9,0
,027_rcc_13595865_20260714090000_seg_00019,027_rcc_13595865_20260714090000,SPEAKER_01,139.2,140.48,1.28,success,気持ちよくなったと思ったら。,success,気持ちよくなったと思ったら。,True,14,14,0
,027_rcc_13595865_20260714090000_seg_00020,027_rcc_13595865_20260714090000,SPEAKER_00,140.56,141.2,0.64,success,そっからさ。,success,そっからさ。,True,6,6,0
,027_rcc_13595865_20260714090000_seg_00021,027_rcc_13595865_20260714090000,SPEAKER_00,145.36,146.0,0.64,success,浮気さ。,success,わけさ。,False,4,4,0
,027_rcc_13595865_20260714090000_seg_00022,027_rcc_13595865_20260714090000,SPEAKER_01,146.08,146.64,0.56,success,シャレです。,success,しゃれですね。,False,6,7,1
,027_rcc_13595865_20260714090000_seg_00023,027_rcc_13595865_20260714090000,SPEAKER_00,147.76,149.2,1.44,success,食べて飲んでる間も。,success,食べて飲んでる間も。,True,10,10,0
