segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,031_mbc_13598281_20260712100000_seg_00000,031_mbc_13598281_20260712100000,SPEAKER_00,3.12,5.36,2.24,success,皆さんお元気ですか吉本豊茂です。,success,皆さんお元気ですか吉本豊茂です。,True,16,16,0
,031_mbc_13598281_20260712100000_seg_00001,031_mbc_13598281_20260712100000,SPEAKER_01,5.44,6.88,1.44,success,こんにちは浜田純子です。,success,こんにちは濱田淳子です。,False,12,12,0
,031_mbc_13598281_20260712100000_seg_00002,031_mbc_13598281_20260712100000,SPEAKER_01,7.2,8.0,0.8,success,今日はメール言うて。,success,今日はメール言うた。,False,10,10,0
,031_mbc_13598281_20260712100000_seg_00003,031_mbc_13598281_20260712100000,SPEAKER_01,9.92,10.96,1.04,success,前も頂いたんですけど。,success,前も頂いたんですけど。,True,11,11,0
,031_mbc_13598281_20260712100000_seg_00004,031_mbc_13598281_20260712100000,SPEAKER_01,11.2,25.36,14.16,success,花丸区のうとんおともおもしろかったですが選者の章で夢の中でプロレスしたかのようなじいさんに枕を巻いてヘッドロックに笑いのツボにはまりました。,success,鼻歌ばあさんちゃん花丸区のウトン音も面白かったですが選者の章で夢の中でプロレスしたかのようなじいさんに枕を巻いてヘッドロックに笑いのツボにはまりました。,False,70,76,6
,031_mbc_13598281_20260712100000_seg_00005,031_mbc_13598281_20260712100000,SPEAKER_01,26.0,27.12,1.12,success,毎週楽しみです。,success,毎週楽しみです。,True,8,8,0
,031_mbc_13598281_20260712100000_seg_00006,031_mbc_13598281_20260712100000,SPEAKER_01,28.659999,29.36,0.7,success,サルさんの。,success,サルさんノ。,False,6,6,0
,031_mbc_13598281_20260712100000_seg_00007,031_mbc_13598281_20260712100000,SPEAKER_01,29.68,32.64,2.96,success,寝てて夢の中でじいさんがチョッポーかましてる。,success,あの寝てて夢の中でじいさんがチョッポーかましてる。,False,23,25,2
,031_mbc_13598281_20260712100000_seg_00008,031_mbc_13598281_20260712100000,SPEAKER_01,34.64,37.68,3.04,success,こんな楽しさでね、皆さんの健康度がどんどん上がるという。,success,こんな楽しさでね皆さんの健康度がどんどん上がるという。,False,28,27,-1
,031_mbc_13598281_20260712100000_seg_00009,031_mbc_13598281_20260712100000,SPEAKER_00,39.2,39.92,0.72,success,見ていただきたいと思います。,success,いただきたいと思います。,False,14,12,-2
