segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,004_rfc_13550957_20260711175000_seg_00000,004_rfc_13550957_20260711175000,SPEAKER_00,1.28,3.44,2.16,success,血のつぶて。,success,篠津ぶて。,False,6,5,-1
,004_rfc_13550957_20260711175000_seg_00001,004_rfc_13550957_20260711175000,SPEAKER_00,3.76,6.86,3.1,success,和合良一のアクションポイジー。,success,和合亮一のアクションポエジー。,False,15,15,0
,004_rfc_13550957_20260711175000_seg_00002,004_rfc_13550957_20260711175000,SPEAKER_01,9.04,11.2,2.16,success,こんばんは、和合良一です。,success,こんばんは、和合良一です。,True,13,13,0
,004_rfc_13550957_20260711175000_seg_00003,004_rfc_13550957_20260711175000,SPEAKER_00,11.2,13.12,1.92,success,アシスタントの山路美沙子です。,success,アシスタントの山路美沙子です。,True,15,15,0
,004_rfc_13550957_20260711175000_seg_00004,004_rfc_13550957_20260711175000,SPEAKER_00,14.56,17.12,2.56,success,五郎さん、きょうは電話での収録、きょうは。,success,吾郎さん今日は電話での収録今日は?,False,21,17,-4
,004_rfc_13550957_20260711175000_seg_00005,004_rfc_13550957_20260711175000,SPEAKER_01,18.56,25.2,6.64,success,福島市の山口にあります、自宅第2スタジオからお届けさせていただいております。,success,福島市の山口にあります、自宅第2スタジオからお届けさせていただいております。,True,38,38,0
,004_rfc_13550957_20260711175000_seg_00006,004_rfc_13550957_20260711175000,SPEAKER_00,25.44,26.64,1.2,success,和合さん。,success,和合さん。,True,5,5,0
,004_rfc_13550957_20260711175000_seg_00007,004_rfc_13550957_20260711175000,SPEAKER_00,27.36,30.48,3.12,success,小説の出版おめでとうございます。,success,小説の出版おめでとうございます。,True,16,16,0
,004_rfc_13550957_20260711175000_seg_00008,004_rfc_13550957_20260711175000,SPEAKER_01,30.56,33.76,3.2,success,あの、まだ出発までは行ってない。,success,あのまだ出発まで行ってない。,False,16,14,-2
,004_rfc_13550957_20260711175000_seg_00009,004_rfc_13550957_20260711175000,SPEAKER_01,35.84,58.72,22.88,success,雑誌に発表したということで、川出書ぼしんしゃで発行しています、スピンという、大変人気のある雑誌なんですけれども、その雑誌に今回、このスピンというのも非常に変わっておりまして、16号を目標に、文藝というもともと雑誌がありますよね。,success,そうですね、雑誌に発表したということで、川べ書房新社で発行しています、スピンという、大変人気のある雑誌なんですけれども、その雑誌に今回、このスピンというのも非常に変わっておりまして、16号を目標に、文藝というもともと雑誌がありますよね。,False,114,118,4
,004_rfc_13550957_20260711175000_seg_00010,004_rfc_13550957_20260711175000,SPEAKER_01,59.52,63.68,4.16,success,その文芸の別冊と同伴号という形で。,success,その文芸の別冊と同伴号という形で。,True,17,17,0
,004_rfc_13550957_20260711175000_seg_00011,004_rfc_13550957_20260711175000,SPEAKER_01,64.24,78.56,14.32,success,16号まで最初から出すというふうな、そういう掛け声の下に、ずっと続いていたもので、なんと値段が330円という。,success,16号まで最初から出すというふうな、そういう掛け声の下に、ずっと続いていたもので、なんと値段がですね、330円という。,False,55,59,4
,004_rfc_13550957_20260711175000_seg_00012,004_rfc_13550957_20260711175000,SPEAKER_01,79.84,102.16,22.32,success,普通、文芸誌だとね、1000円、2000円ぐらいになるんですけど、これは330円という定価で、かなりたくさんの方に手に取っていただいている雑誌なんですね、その最終号に今回、小説を掲載させていただきまして、分量で大体80枚。,success,普通、文芸誌だとね、1000円、2000円ぐらいになるんですけど、これは330円という定価で、かなりたくさんの方に手に取っていただいている雑誌なんですね、その最終号に今回、小説を掲載させていただきまして、分量で大体80枚。,True,111,111,0
,004_rfc_13550957_20260711175000_seg_00013,004_rfc_13550957_20260711175000,SPEAKER_01,102.8,103.68,0.88,success,原稿用紙。,success,原稿用紙。,True,5,5,0
,004_rfc_13550957_20260711175000_seg_00014,004_rfc_13550957_20260711175000,SPEAKER_01,104.08,125.44,21.36,success,なんですけど、小説を、もともと編集長のおがたりたろうさんという、昔からお世話になってる方なんですが、私、今、57なんですけど、還暦になりましたら小説を書こうと、実は。,success,なんですけど、小説を、もともと編集長のおがたりたろうさんという、昔からお世話になってる方なんですが、私、今、57なんですけど、還暦になりましたら小説を書こうと、実は。,True,83,83,0
,004_rfc_13550957_20260711175000_seg_00015,004_rfc_13550957_20260711175000,SPEAKER_01,126.0,179.44,53.44,success,思っていて、勝手に、誰に言ったこともないし、誰からも言われたことないんですけど、勝手に、60、つまり還暦過ぎたら、人生経験もかなり豊富になるし、小説を書き始めてみようかなと、この詩人のラジオでもね、短歌を書かせて頂いたことについて、前、お話しさせていただいたんですけど、短歌もある意味、新しい挑戦になるかもしれませんが、今回の小説というのも、それと同じく、新しい挑戦ということで、それを60ですから、還暦ですから、3年後ぐらいに目標してたんですけど、その練習も兼ねて、緒方龍太郎さん、編集長さんに見せて、勉強会を2人でしてたんですね。,success,思っていて、勝手に、誰に言ったこともないし、誰からも言われたことないんですけど、勝手に60、つまり還暦過ぎたら、人生経験もかなり豊富になるし、小説を書き始めてみようかなと、この詩人のラジオでもね、短歌を書かせて頂いたことについて、前、お話しさせていただいたんですけど、短歌もある意味、新しい挑戦になるかもしれませんが、今回の小説というのも、それと同じく、新しい挑戦ということで、それを60ですから、還暦ですから、3年後ぐらいに目標してたんですけど、その練習も兼ねて、緒方龍太郎さん、編集長さんに見せて、勉強会を2人でしてたんですね。,False,267,266,-1
,004_rfc_13550957_20260711175000_seg_00016,004_rfc_13550957_20260711175000,SPEAKER_01,180.32,184.32,4.0,success,そうしましたら、いや、もうワゴン車、載せちゃいましょうみたいな。,success,そうしましたら、いや、もうワンゴン車載せちゃいましょうみたいな。,False,32,32,0
,004_rfc_13550957_20260711175000_seg_00017,004_rfc_13550957_20260711175000,SPEAKER_01,184.56,194.8,10.24,success,形でね、お話をくださって、それで何回かやり取りして、今回、掲載という形になりました。,success,子たちでね、お話をくださって、それで何回かやり取りして、今回、掲載という形になりました。,False,42,44,2
,004_rfc_13550957_20260711175000_seg_00018,004_rfc_13550957_20260711175000,SPEAKER_00,194.8,195.92,1.12,success,うわ。,success,うわ。,True,3,3,0
,004_rfc_13550957_20260711175000_seg_00019,004_rfc_13550957_20260711175000,SPEAKER_00,196.72,199.2,2.48,success,手に取った時ってどんな気持ちなんですか?,success,手に取った時ってどんな気持ちなんですか?,True,20,20,0
,004_rfc_13550957_20260711175000_seg_00020,004_rfc_13550957_20260711175000,SPEAKER_01,199.44,227.84,28.4,success,やっぱりね、詩やエッセーはね、たくさん書かせていただいていて、それでだいぶこの30年の間、30年のほういったのかな、20歳ぐらいからずっと書き続けてきて、三十数年の間ね、ずっと掲載ということを前提に書いてきたんですけど、小説の掲載っていうのは初めてだったんで。,success,いやー、やっぱりね、詩やエッセーはね、たくさん書かせていただいていて、それでだいぶこの30年の間、30年のほういったのかな、20歳ぐらいからずっと書き続けてきて、三十数年の間ね、ずっと掲載ということを前提に書いてきたんですけど、小説の掲載っていうのは初めてだったんで。,False,130,134,4
,004_rfc_13550957_20260711175000_seg_00021,004_rfc_13550957_20260711175000,SPEAKER_01,228.48,232.8,4.32,success,自分が書いた詩が雑誌に載ったときに。,success,自分が書いた詩が雑誌に載ったときに。,True,18,18,0
,004_rfc_13550957_20260711175000_seg_00022,004_rfc_13550957_20260711175000,SPEAKER_01,233.28,236.4,3.12,success,うれしくて、朝まで寝られなかったことあるんですよね。,success,うれしくて、朝まで寝られなかったことあるんですよね。,True,26,26,0
,004_rfc_13550957_20260711175000_seg_00023,004_rfc_13550957_20260711175000,SPEAKER_01,237.44,239.92,2.48,success,なんか朝までもうれしくて眠れなくて、興奮しちゃって。,success,なんか朝までもうれしくて眠れなくて、興奮しちゃって。,True,26,26,0
,004_rfc_13550957_20260711175000_seg_00024,004_rfc_13550957_20260711175000,SPEAKER_01,240.72,243.36,2.64,success,なんかそれをね、久しぶりに味わいましたね。,success,なんかそれをね、久しぶりに味わいましたね。,True,21,21,0
,004_rfc_13550957_20260711175000_seg_00025,004_rfc_13550957_20260711175000,SPEAKER_01,244.88,255.52,10.64,success,雑誌が届いて、開いて、読み直し、自分なりにしてみたときに、なんか初めて、何かこう、翼を得たような。,success,冊子が届いて、開いて、読み直し、自分なりにしてみたときに、なんか初めて、何かこう、翼を得たような。,False,49,49,0
,004_rfc_13550957_20260711175000_seg_00026,004_rfc_13550957_20260711175000,SPEAKER_01,256.24,271.76,15.52,success,そんな印象を持ちまして、この小説がどんなふうに、初小説ですけど、初めての1作目となりますかね、この小説がどんなふうに手に取っていただけるかは、まだ未知数なんですけど。,success,そんな印象を持ちまして、この小説がどんなふうに、初小説ですけど、初めての1作目となりますかね、この小説がどんなふうに手に取っていただけるかは、まだ未知数なんですけど。,True,83,83,0
,004_rfc_13550957_20260711175000_seg_00027,004_rfc_13550957_20260711175000,SPEAKER_01,272.0,284.88,12.88,success,とりあえず最初の目標はクリアできたかなという、つまり小説を書き上げるということと、それと発表するということと、その目標はクリアできたかなと。,success,とりあえず最初の目標はクリアできたかなという、つまり小説を書き上げるということと、それと発表するということと、その目標はクリアできたかなと。,True,70,70,0
,004_rfc_13550957_20260711175000_seg_00028,004_rfc_13550957_20260711175000,SPEAKER_01,285.36,291.52,6.16,success,ちょっと大げさなんですけどね、そこはかなえられたかなと思いました。,success,まあ、ちょっと大げさなんですけどね、そこはかなえられたかなと思いました。,False,33,36,3
,004_rfc_13550957_20260711175000_seg_00029,004_rfc_13550957_20260711175000,SPEAKER_00,291.6,293.04,1.44,success,タイトルが。,success,タイトルが。,True,6,6,0
,004_rfc_13550957_20260711175000_seg_00030,004_rfc_13550957_20260711175000,SPEAKER_00,293.44,296.24,2.8,success,句は猛烈に夜中に。,success,句は猛烈に夜中に。,True,9,9,0
,004_rfc_13550957_20260711175000_seg_00031,004_rfc_13550957_20260711175000,SPEAKER_01,296.8,306.0,9.2,success,そうですね、なんか、山下が非常に情報を収集してくださって、大変ありがたく思うんですけどね。,success,そうですね、なんか、山下が非常に情報を収集してくださって、大変ありがたく思うんですけどね。,True,45,45,0
,004_rfc_13550957_20260711175000_seg_00032,004_rfc_13550957_20260711175000,SPEAKER_01,306.4,309.76,3.36,success,ノックは夜中にっていう面アットワークの。,success,ノックは夜中にっていう面アットワークの。,True,20,20,0
,004_rfc_13550957_20260711175000_seg_00033,004_rfc_13550957_20260711175000,SPEAKER_01,310.08,319.04,8.96,success,その当時のヒット曲がありまして、1982年の、私が高校1年生ぐらいのときのヒット曲なんですけど。,success,その当時のヒット曲がありまして、1982年の、私が高校1年生ぐらいのときのヒット曲なんですけど。,True,48,48,0
,004_rfc_13550957_20260711175000_seg_00034,004_rfc_13550957_20260711175000,SPEAKER_01,319.28,329.12,9.84,success,その曲のタイトルを借りましてノックは猛烈に夜中にというタイトルになっております。,success,その曲のタイトルを借りまして、ノックはモーレツに、夜中にというタイトルになっております。,False,40,44,4
,004_rfc_13550957_20260711175000_seg_00035,004_rfc_13550957_20260711175000,SPEAKER_01,329.84,335.28,5.44,success,これはわれわれ世代の方には、懐かしい曲だなと思って。,success,これはわれわれ世代の方には、懐かしい曲だなと思って。,True,26,26,0
,004_rfc_13550957_20260711175000_seg_00036,004_rfc_13550957_20260711175000,SPEAKER_01,335.52,338.08,2.56,success,頂けるかなと思うんですけどもね。,success,頂けるかなと思うんですけどもね。,True,16,16,0
,004_rfc_13550957_20260711175000_seg_00037,004_rfc_13550957_20260711175000,SPEAKER_01,338.88,348.88,10.0,success,その曲のイメージがすごく最初にあって、それで小説を書いたという流れになってますかね。,success,その曲のイメージがすごく最初にあって、それで小説を書いたという流れになってますかね。,True,42,42,0
,004_rfc_13550957_20260711175000_seg_00038,004_rfc_13550957_20260711175000,SPEAKER_00,349.28,355.36,6.08,success,モチーフにしたのが三月記だって和合さんご自身でツイッターで書いてらっしゃいますけど。,success,モチーフにしたのが三月記だって和合さんご自身でツイッターで書いてらっしゃいますけど。,True,42,42,0
,004_rfc_13550957_20260711175000_seg_00039,004_rfc_13550957_20260711175000,SPEAKER_01,355.52,370.0,14.48,success,そうですね、中島篤の名作の山月記なんですけど、これが私にとっては一番の小説、影響を受けた小説といったらいいか、大好きな小説なんですよね。,success,そうですね、中島篤の名作の三月記なんですけど、これが私にとっては一番の小説、影響を受けた小説といったらいいか、大好きな小説なんですよね。,False,68,68,0
