segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,025_obc_13556294_20260712203000_seg_00000,025_obc_13556294_20260712203000,SPEAKER_01,7.12,8.24,1.12,success,小池かなです。,success,小池佳奈です。,False,7,7,0
,025_obc_13556294_20260712203000_seg_00001,025_obc_13556294_20260712203000,SPEAKER_00,8.24,10.4,2.16,success,江木俊夫のキー展の始まりました。,success,江井敏夫の聞いてんの始まりました。,False,16,17,1
,025_obc_13556294_20260712203000_seg_00002,025_obc_13556294_20260712203000,SPEAKER_01,10.48,23.2,12.72,success,この番組は頑張る中高年をますます元気にするトークと音楽をお届けする番組です今日は早速ゲストの方にご登場いただきます先週に引き続きお迎えしましたのは鳥羽一郎さんです。,success,この番組は頑張る中高年をますます元気にするトークと音楽をお届けする番組です今日は早速ゲストの方にご登場いただきます先週に引き続きお迎えしましたのは鳥羽一郎さんです。,True,82,82,0
,025_obc_13556294_20260712203000_seg_00003,025_obc_13556294_20260712203000,SPEAKER_01,24.96,25.68,0.72,success,よろしくお願いします。,success,よろしくお願いします。,True,11,11,0
,025_obc_13556294_20260712203000_seg_00004,025_obc_13556294_20260712203000,SPEAKER_01,27.6,31.52,3.92,success,先週、なんかすごく熱い放送になりましたよね。,success,先週なんかすごく熱い放送になりましたよね。,False,22,21,-1
,025_obc_13556294_20260712203000_seg_00005,025_obc_13556294_20260712203000,SPEAKER_01,31.84,38.72,6.88,success,いろんなことを伺えて江木さんは鳥羽さんとそういえば会ったことがあるとかないとか。,success,いろんなことを伺えて江木さんは鳥羽さんとそういえば会ったことがあるとかないとか。,True,40,40,0
,025_obc_13556294_20260712203000_seg_00006,025_obc_13556294_20260712203000,SPEAKER_00,39.6,41.36,1.76,success,申し訳ないです、僕はすっかり忘れて。,success,申し訳ないです僕はすっかり忘れて。,False,18,17,-1
,025_obc_13556294_20260712203000_seg_00007,025_obc_13556294_20260712203000,SPEAKER_02,41.44,42.8,1.36,success,そうです、忘れてました。,success,そうです、忘れてました。,True,12,12,0
,025_obc_13556294_20260712203000_seg_00008,025_obc_13556294_20260712203000,SPEAKER_00,43.52,44.96,1.44,success,きょう初めて会ったよ。,success,今日初めて会ったよ。,False,11,10,-1
,025_obc_13556294_20260712203000_seg_00009,025_obc_13556294_20260712203000,SPEAKER_02,46.56,48.64,2.08,success,もう番組でもいっぱい会ってるし、なんか。,success,もう番組でもいっぱいやってるし何かあるな。,False,20,21,1
,025_obc_13556294_20260712203000_seg_00010,025_obc_13556294_20260712203000,SPEAKER_00,50.4,52.4,2.0,success,演歌の歌手の方とあんまりお会いしない。,success,演歌の歌手の方とあんまりお会いしない。,True,19,19,0
,025_obc_13556294_20260712203000_seg_00011,025_obc_13556294_20260712203000,SPEAKER_02,54.96,55.76,0.8,success,アイシー。,success,へいしー。,False,5,5,0
,025_obc_13556294_20260712203000_seg_00012,025_obc_13556294_20260712203000,SPEAKER_02,56.48,57.739998,1.26,success,でやっぱりもう大スター。,success,でやっぱりもう大スター。,True,12,12,0
,025_obc_13556294_20260712203000_seg_00013,025_obc_13556294_20260712203000,SPEAKER_02,62.48,65.68,3.2,success,で、新幹線でちょっとね、会ったときにごあいさつした。,success,で新幹線でちょっとね会った時にご挨拶した。,False,26,21,-5
,025_obc_13556294_20260712203000_seg_00014,025_obc_13556294_20260712203000,SPEAKER_02,66.32,67.28,0.96,success,忘れてて。,success,忘れててると思う。,False,5,9,4
,025_obc_13556294_20260712203000_seg_00015,025_obc_13556294_20260712203000,SPEAKER_02,67.84,68.64,0.8,success,それ忘れてる。,success,それ忘れてる。,True,7,7,0
,025_obc_13556294_20260712203000_seg_00016,025_obc_13556294_20260712203000,SPEAKER_01,69.6,70.48,0.88,success,えやさしい!,success,え優しい!,False,6,5,-1
,025_obc_13556294_20260712203000_seg_00017,025_obc_13556294_20260712203000,SPEAKER_01,72.72,89.9,17.18,success,今日は同い年のお二人鳥羽一郎さんと江木俊夫さんとどんな話をしてくださるか楽しみですね最後までおつきあいいただきましょうそれでは1曲お届けします鳥羽一郎さんと弟の山川豊さんお二人で歌ってます俺たちの子守唄。,success,今日は同い年のお二人鳥羽一郎さんと江木俊夫さんとどんな話をしてくださるか楽しみですね最後までおつきあいいただきましょうそれでは1曲お届けします鳥羽一郎さんと弟の山川豊さんお二人で歌ってます俺たちの子守唄。,True,102,102,0
,025_obc_13556294_20260712203000_seg_00018,025_obc_13556294_20260712203000,SPEAKER_00,206.32,206.96,0.64,success,ウフフ。,success,えっ!,False,4,3,-1
,025_obc_13556294_20260712203000_seg_00019,025_obc_13556294_20260712203000,SPEAKER_01,210.16,213.739989,3.58,success,皆さんラジオの前にいらっしゃる皆さんで鳥羽一郎さんどんな様子ですか?,success,皆さんラジオの前にいらっしゃる皆さんって鳥羽一郎さんどんな状況ですか?,False,34,35,1
,025_obc_13556294_20260712203000_seg_00020,025_obc_13556294_20260712203000,SPEAKER_00,215.92,219.019987,3.1,success,男らしくて?? 黙で。,success,男らしくて?? 黙で。,True,11,11,0
,025_obc_13556294_20260712203000_seg_00021,025_obc_13556294_20260712203000,SPEAKER_00,220.24,220.939986,0.7,success,イメージがね。,success,イメージがね。,True,7,7,0
,025_obc_13556294_20260712203000_seg_00022,025_obc_13556294_20260712203000,SPEAKER_01,222.64,223.6,0.96,success,おちゃめ。,success,おちゃめ。,True,5,5,0
,025_obc_13556294_20260712203000_seg_00023,025_obc_13556294_20260712203000,SPEAKER_01,225.28,241.099989,15.82,success,さて、4月に山川豊さん、ゲストにお越しくださったとき、お兄様の話してくださったんですよ、鳥羽一郎さんと歌手どうしでどうだったんですか?って言ったら、やっぱりそれぞれ紅白に出てるときは、実家に帰らなかったり。,success,ですよね、さて、4月に山川豊さん、ゲストにお越しくださったとき、お兄様の話してくださったんですよ、鳥羽一郎さんと歌手どうしでどうだったんですか?って言ったら、やっぱりそれぞれ紅白に出てるときは、実家に帰らなかったり。,False,103,108,5
,025_obc_13556294_20260712203000_seg_00024,025_obc_13556294_20260712203000,SPEAKER_01,242.32,243.68,1.36,success,パパ帰らなかったとかって。,success,帰らなかったとかっていう。,False,13,13,0
,025_obc_13556294_20260712203000_seg_00025,025_obc_13556294_20260712203000,SPEAKER_01,244.16,244.8,0.64,success,どねっ。,success,4年。,False,4,3,-1
,025_obc_13556294_20260712203000_seg_00026,025_obc_13556294_20260712203000,SPEAKER_02,244.8,246.0,1.2,success,そういうのありましたね。,success,そういうのありましたね。,True,12,12,0
,025_obc_13556294_20260712203000_seg_00027,025_obc_13556294_20260712203000,SPEAKER_00,247.2,248.77999,1.58,success,やっぱり兄弟でもライバルっていう。,success,やっぱり兄弟でもライバルっていうのは。,False,17,19,2
,025_obc_13556294_20260712203000_seg_00028,025_obc_13556294_20260712203000,SPEAKER_00,250.0,250.72,0.72,success,音はあるんですか?,success,音はあるんですか?,True,9,9,0
,025_obc_13556294_20260712203000_seg_00029,025_obc_13556294_20260712203000,SPEAKER_02,250.88,253.099989,2.22,success,いや、そんなにライバル意識。,success,いやあのそんなにそのライバル視。,False,14,16,2
,025_obc_13556294_20260712203000_seg_00030,025_obc_13556294_20260712203000,SPEAKER_02,254.32,255.76,1.44,success,僕はなかったですけど。,success,僕はなかったですけど。,True,11,11,0
,025_obc_13556294_20260712203000_seg_00031,025_obc_13556294_20260712203000,SPEAKER_02,256.72,260.300009,3.58,success,お互いにね、いろんなとこ行って、キャンプ。,success,あのまあお互いにねいろんなとこ行ってキャンプ。,False,21,23,2
,025_obc_13556294_20260712203000_seg_00032,025_obc_13556294_20260712203000,SPEAKER_02,261.52,262.220007,0.7,success,お前うまい。,success,お前は。,False,6,4,-2
,025_obc_13556294_20260712203000_seg_00033,025_obc_13556294_20260712203000,SPEAKER_02,263.44,264.140005,0.7,success,弟だろ。,success,弟だろ?,False,4,4,0
,025_obc_13556294_20260712203000_seg_00034,025_obc_13556294_20260712203000,SPEAKER_02,266.8,267.76,0.96,success,みたいなね。,success,今日みたいなね。,False,6,8,2
,025_obc_13556294_20260712203000_seg_00035,025_obc_13556294_20260712203000,SPEAKER_02,268.08,274.56,6.48,success,言われたりするし、それはそれでいいんだろうけど、自分もそうだった、弟の歌歌えよって言って。,success,言われたりするしそれはそれでいいんだろうけど自分もそうだった弟の歌歌えよって言って。,False,45,42,-3
,025_obc_13556294_20260712203000_seg_00036,025_obc_13556294_20260712203000,SPEAKER_02,275.68,276.72,1.04,success,そういうのはありましたよね。,success,というのはありましたね。,False,14,12,-2
,025_obc_13556294_20260712203000_seg_00037,025_obc_13556294_20260712203000,SPEAKER_02,278.32,279.28,0.96,success,歌いましたけどね。,success,手伝いましたけどね。,False,9,10,1
,025_obc_13556294_20260712203000_seg_00038,025_obc_13556294_20260712203000,SPEAKER_00,280.64,284.4,3.76,success,やっぱり兄弟だよね、そこはね、いくらライバルであって。,success,やっぱり兄弟だよねそこはねいくらライバルであってなんて。,False,27,28,1
,025_obc_13556294_20260712203000_seg_00039,025_obc_13556294_20260712203000,SPEAKER_00,287.28,289.76,2.48,success,それがいい意味で切さたく磨したんじゃないですか。,success,それがいい意味で切 ?? 琢磨したんじゃないですか。,False,24,26,2
