segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,029_kbc_13615767_20260714175500_seg_00000,029_kbc_13615767_20260714175500,SPEAKER_00,22.899999,24.139999,1.24,success,茶の提供でお送りします。,empty_text,,False,12,0,-12
,029_kbc_13615767_20260714175500_seg_00001,029_kbc_13615767_20260714175500,SPEAKER_01,51.699998,53.6,1.9,success,ともちゃんの手料理は日本一だよ。,success,ともちゃんの手料理は日本一だよ。,True,16,16,0
,029_kbc_13615767_20260714175500_seg_00002,029_kbc_13615767_20260714175500,SPEAKER_00,53.76,63.92,10.16,success,けど日本一って気になるなペナントレースクライマックスシリーズ日本シリーズを制したチームだけが名乗れる日本一軽はずみに使っていいのかな?,success,けど日本一って気になるなぁペナントレースクライマックスシリーズ日本シリーズを制したチームだけが名乗れる日本一軽はずみに使っていいのかな?,False,67,68,1
,029_kbc_13615767_20260714175500_seg_00003,029_kbc_13615767_20260714175500,SPEAKER_02,105.52,108.4,2.88,success,スナイター漫談火曜日ブルリバー直樹純也とクイズ!,success,靴ナイター漫談火曜日ブルーリバー直木順也トーク。,False,24,24,0
,029_kbc_13615767_20260714175500_seg_00004,029_kbc_13615767_20260714175500,SPEAKER_03,108.4,109.100001,0.7,success,原康介です。,success,田原浩介です!,False,6,7,1
,029_kbc_13615767_20260714175500_seg_00005,029_kbc_13615767_20260714175500,SPEAKER_02,110.32,113.9,3.58,success,デーゲームでございましたのでこの時間は漫談フルバージョン。,success,デーゲームでございましたのでこの時間は漫談フルバージョン。,True,29,29,0
,029_kbc_13615767_20260714175500_seg_00006,029_kbc_13615767_20260714175500,SPEAKER_02,127.6,128.24,0.64,success,褒美には。,success,大ビニアさん。,False,5,7,2
,029_kbc_13615767_20260714175500_seg_00007,029_kbc_13615767_20260714175500,SPEAKER_03,142.96,143.84,0.88,success,たまにある夏や。,success,たまにある夏休み。,False,8,9,1
,029_kbc_13615767_20260714175500_seg_00008,029_kbc_13615767_20260714175500,SPEAKER_03,151.12,151.819991,0.7,success,だからせっかく。,success,だからセット。,False,8,7,-1
,029_kbc_13615767_20260714175500_seg_00009,029_kbc_13615767_20260714175500,SPEAKER_02,155.44,157.76,2.32,success,冬休みがあれな分とか。,success,冬休みが荒れな分とか。,False,11,11,0
,029_kbc_13615767_20260714175500_seg_00010,029_kbc_13615767_20260714175500,SPEAKER_02,161.68,164.299994,2.62,success,実在って選手たちもなかなか体のリズムが。,success,実際に選手たちもなかなか体のリズムが。,False,20,19,-1
,029_kbc_13615767_20260714175500_seg_00011,029_kbc_13615767_20260714175500,SPEAKER_02,175.12,175.819991,0.7,success,うそま。,success,ぶんのま。,False,4,5,1
,029_kbc_13615767_20260714175500_seg_00012,029_kbc_13615767_20260714175500,SPEAKER_02,179.92,181.099989,1.18,success,あの前半最後。,success,あの前半最後のシーン。,False,7,11,4
,029_kbc_13615767_20260714175500_seg_00013,029_kbc_13615767_20260714175500,SPEAKER_02,190.0,193.099989,3.1,success,どうも大変ですわ、きょうのゲームも。,success,どうも大変ですわ今日のねゲームも。,False,18,17,-1
,029_kbc_13615767_20260714175500_seg_00014,029_kbc_13615767_20260714175500,SPEAKER_02,194.32,195.019987,0.7,success,したいなと思います。,success,いらっしゃいなと思います。,False,10,13,3
,029_kbc_13615767_20260714175500_seg_00015,029_kbc_13615767_20260714175500,SPEAKER_02,198.16,199.12,0.96,success,しびれましたかね。,success,しびれましたよね。,False,9,9,0
,029_kbc_13615767_20260714175500_seg_00016,029_kbc_13615767_20260714175500,SPEAKER_03,200.24,201.739989,1.5,success,が、まあまあ、ミスが。,success,がまあまあミスが。,False,11,9,-2
,029_kbc_13615767_20260714175500_seg_00017,029_kbc_13615767_20260714175500,SPEAKER_03,203.44,204.16,0.72,success,感じでしたね。,success,感じでしたね。,True,7,7,0
,029_kbc_13615767_20260714175500_seg_00018,029_kbc_13615767_20260714175500,SPEAKER_02,204.16,205.099989,0.94,success,後半ドドドドドドドドドドドドドドドドドドドドドドド,success,後半ドドドッ。,False,25,7,-18
,029_kbc_13615767_20260714175500_seg_00019,029_kbc_13615767_20260714175500,SPEAKER_02,218.32,220.939986,2.62,success,毎日ハムとのマーク。,success,まんにちハムとのマーク。,False,10,12,2
,029_kbc_13615767_20260714175500_seg_00020,029_kbc_13615767_20260714175500,SPEAKER_02,222.16,223.819991,1.66,success,首位争いになるんじゃない?,success,首位争いになるんじゃない?,True,13,13,0
,029_kbc_13615767_20260714175500_seg_00021,029_kbc_13615767_20260714175500,SPEAKER_03,228.4,229.579993,1.18,success,相性がちょっとたまたまね。,success,相性がちょっとたまたまね。,True,13,13,0
,029_kbc_13615767_20260714175500_seg_00022,029_kbc_13615767_20260714175500,SPEAKER_02,231.92,232.45999,0.54,success,そうです。,success,そうです。,True,5,5,0
,029_kbc_13615767_20260714175500_seg_00023,029_kbc_13615767_20260714175500,SPEAKER_02,234.16,235.819991,1.66,success,この3連。,success,でこの3連。,False,5,6,1
,029_kbc_13615767_20260714175500_seg_00024,029_kbc_13615767_20260714175500,SPEAKER_02,238.96,239.68,0.72,success,山線のそりゃ。,success,今日も洗脳するに。,False,7,9,2
,029_kbc_13615767_20260714175500_seg_00025,029_kbc_13615767_20260714175500,SPEAKER_03,245.2,245.899992,0.7,success,まあ3度目。,success,でもまあさんざん。,False,6,9,3
,029_kbc_13615767_20260714175500_seg_00026,029_kbc_13615767_20260714175500,SPEAKER_03,247.6,248.77999,1.18,success,俺と西山のカーブか。,success,俺と西山のカードか。,False,10,10,0
,029_kbc_13615767_20260714175500_seg_00027,029_kbc_13615767_20260714175500,SPEAKER_02,250.48,251.179991,0.7,success,感染で。,success,番宣で。,False,4,4,0
,029_kbc_13615767_20260714175500_seg_00028,029_kbc_13615767_20260714175500,SPEAKER_02,253.36,254.539992,1.18,success,決まるって誰が好きなの?,success,決まるって誰が好きなの?,True,12,12,0
,029_kbc_13615767_20260714175500_seg_00029,029_kbc_13615767_20260714175500,SPEAKER_03,259.6,261.2,1.6,success,有原投手、しっかり。,success,まあ有原投手しっかり。,False,10,11,1
,029_kbc_13615767_20260714175500_seg_00030,029_kbc_13615767_20260714175500,SPEAKER_03,261.76,262.48,0.72,success,伊藤投手もね。,success,両投手もね。,False,7,6,-1
,029_kbc_13615767_20260714175500_seg_00031,029_kbc_13615767_20260714175500,SPEAKER_03,262.8,264.140005,1.34,success,来てください、もう今はばりばりです。,success,もう今はバリバリ。,False,18,9,-9
,029_kbc_13615767_20260714175500_seg_00032,029_kbc_13615767_20260714175500,SPEAKER_03,270.32,271.2,0.88,success,ねっ伊藤さん。,success,ねえ伊藤さん。,False,7,7,0
,029_kbc_13615767_20260714175500_seg_00033,029_kbc_13615767_20260714175500,SPEAKER_03,271.6,272.72,1.12,success,ちょっともたついた分。,success,ちょっともたついた分。,True,11,11,0
,029_kbc_13615767_20260714175500_seg_00034,029_kbc_13615767_20260714175500,SPEAKER_03,273.04,274.32,1.28,success,日本ホークスがばばっと変わったんです。,success,ホークスがババッと変わったんですよ。,False,19,18,-1
,029_kbc_13615767_20260714175500_seg_00035,029_kbc_13615767_20260714175500,SPEAKER_02,274.4,275.180014,0.78,success,僕はみんな。,success,他みんな。,False,6,5,-1
,029_kbc_13615767_20260714175500_seg_00036,029_kbc_13615767_20260714175500,SPEAKER_02,293.2,295.340002,2.14,success,気付けば、その。,success,でまあ気付けばその。,False,8,10,2
,029_kbc_13615767_20260714175500_seg_00037,029_kbc_13615767_20260714175500,SPEAKER_02,296.56,297.76,1.2,success,えクラスは。,success,えaクラスは。,False,6,7,1
,029_kbc_13615767_20260714175500_seg_00038,029_kbc_13615767_20260714175500,SPEAKER_03,304.24,305.9,1.66,success,これで6とか7ついたら。,success,これで6とか7ついたら。,True,12,12,0
,029_kbc_13615767_20260714175500_seg_00039,029_kbc_13615767_20260714175500,SPEAKER_02,309.6,310.24,0.64,success,ぬけ。,success,ぬけ。,True,3,3,0
,029_kbc_13615767_20260714175500_seg_00040,029_kbc_13615767_20260714175500,SPEAKER_02,311.92,313.099997,1.18,success,まあライオンズの。,success,まあライオンズの。,True,9,9,0
,029_kbc_13615767_20260714175500_seg_00041,029_kbc_13615767_20260714175500,SPEAKER_02,316.24,316.940009,0.7,success,いろいろ変わって。,success,いろいろ変わる。,False,9,8,-1
,029_kbc_13615767_20260714175500_seg_00042,029_kbc_13615767_20260714175500,SPEAKER_02,319.6,322.220007,2.62,success,この漫談はですね、ホークスの。,success,あのこの漫談はですねホークスの。,False,15,16,1
