segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,016_ibs_13555969_20260713220000_seg_00000,016_ibs_13555969_20260713220000,SPEAKER_00,3.44,6.32,2.88,success,京都出身の松岡です。,success,京都出身の松岡です。,True,10,10,0
,016_ibs_13555969_20260713220000_seg_00001,016_ibs_13555969_20260713220000,SPEAKER_00,6.72,8.88,2.16,success,お前らいつまでもいつまでも。,success,お前らいつまでもいつまでも。,True,14,14,0
,016_ibs_13555969_20260713220000_seg_00002,016_ibs_13555969_20260713220000,SPEAKER_00,9.44,13.12,3.68,success,調子に乗ってんじゃねえかなどういうことなの?,success,いつまでもいつまでも調子に乗ってんじゃねえかんなどういうことなの?,False,22,33,11
,016_ibs_13555969_20260713220000_seg_00003,016_ibs_13555969_20260713220000,SPEAKER_00,14.32,16.4,2.08,success,今日赤プルさんが。,success,今日赤プルさんが。,True,9,9,0
,016_ibs_13555969_20260713220000_seg_00004,016_ibs_13555969_20260713220000,SPEAKER_00,16.8,18.16,1.36,success,鈴木奈々ちゃんと。,success,赤プルさんが鈴木奈々ちゃんと。,False,9,15,6
,016_ibs_13555969_20260713220000_seg_00005,016_ibs_13555969_20260713220000,SPEAKER_00,18.8,19.6,0.8,success,同じ。,success,鈴木奈々ちゃんと同じ。,False,3,11,8
,016_ibs_13555969_20260713220000_seg_00006,016_ibs_13555969_20260713220000,SPEAKER_00,20.16,22.32,2.16,success,美容院に行って髪を切ってきました。,success,同じ美容院に行って髪を切ってきました。,False,17,19,2
,016_ibs_13555969_20260713220000_seg_00007,016_ibs_13555969_20260713220000,SPEAKER_00,22.96,29.68,6.72,success,なんか奈々ちゃんにここで切ると仕事が増えるって言って行ったらしいんですけど、その料金がおかしくて。,success,髪を切ってきました、なんか奈々ちゃんにここで切ると仕事が増えるって言って行ったらしいんですけど、その料金がおかしくて。,False,49,59,10
,016_ibs_13555969_20260713220000_seg_00008,016_ibs_13555969_20260713220000,SPEAKER_00,30.72,36.0,5.28,success,10円でしたさてこの10円は何なんだろう?,success,円がおかしくて、1万10円でした、さて、この10円は何なんだろう。,False,21,33,12
,016_ibs_13555969_20260713220000_seg_00009,016_ibs_13555969_20260713220000,SPEAKER_00,36.72,38.0,1.28,success,おめえらいつまでもいつまでも。,success,何なんだろうおめえらいつまでもいつまでも。,False,15,21,6
,016_ibs_13555969_20260713220000_seg_00010,016_ibs_13555969_20260713220000,SPEAKER_01,42.56,44.48,1.92,success,この謎はこの番組が終わる。,success,イエーイこの謎はこの番組が終わるまで解けます。,False,13,23,10
,016_ibs_13555969_20260713220000_seg_00011,016_ibs_13555969_20260713220000,SPEAKER_00,46.0,46.88,0.88,success,10円って?,success,番組が終わるまでに解けるでしょうか?,False,6,18,12
,016_ibs_13555969_20260713220000_seg_00012,016_ibs_13555969_20260713220000,SPEAKER_01,47.44,52.16,4.72,success,教えて下さい!ということで今夜はね短縮放送になります。,success,誰か教えて下さい。ということで今夜はね短縮放送になります。,False,27,29,2
,016_ibs_13555969_20260713220000_seg_00013,016_ibs_13555969_20260713220000,SPEAKER_01,52.96,61.52,8.56,success,濃縮でやっていきたいと思いますということで今夜はあっそれでは張り切ってまいりましょう一緒によろしくお願いします今夜はラッキーナイトアカプルー!,success,放送になりますので濃縮でやっていきたいと思いますということで今夜はあっそれでは張り切ってまいりましょう一緒によろしくお願いします今夜はラッキーナイトアカプルー!,False,71,80,9
