segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,003_bsn_13585850_20260712160000_seg_00000,003_bsn_13585850_20260712160000,SPEAKER_00,3.12,6.38,3.26,success,中丸宏恵の痛快楽勝ライブ!,success,高 ?? 宏恵の痛快楽笑。,False,13,13,0
,003_bsn_13585850_20260712160000_seg_00001,003_bsn_13585850_20260712160000,SPEAKER_00,31.059999,31.68,0.62,success,ヒロイです。,success,ひろえです。,False,6,6,0
,003_bsn_13585850_20260712160000_seg_00002,003_bsn_13585850_20260712160000,SPEAKER_01,31.76,32.48,0.72,success,はいよろしくおねがいします。,success,よろしくお願いします。,False,14,11,-3
,003_bsn_13585850_20260712160000_seg_00003,003_bsn_13585850_20260712160000,SPEAKER_02,35.92,36.619999,0.7,success,中丸さん。,success,はいはいはいはいはいはい高村さん。,False,5,17,12
,003_bsn_13585850_20260712160000_seg_00004,003_bsn_13585850_20260712160000,SPEAKER_02,38.8,39.499998,0.7,success,また年を取ります。,success,また年を取りましょう。,False,9,11,2
,003_bsn_13585850_20260712160000_seg_00005,003_bsn_13585850_20260712160000,SPEAKER_02,44.08,46.16,2.08,success,あの生きていれば。,success,いやあの生きていれば。,False,9,11,2
,003_bsn_13585850_20260712160000_seg_00006,003_bsn_13585850_20260712160000,SPEAKER_02,46.48,48.14,1.66,success,365日。,success,生きていれば365日。,False,5,11,6
,003_bsn_13585850_20260712160000_seg_00007,003_bsn_13585850_20260712160000,SPEAKER_02,56.8,57.6,0.8,success,事前に。,success,流れだと、だから自然に。,False,4,12,8
,003_bsn_13585850_20260712160000_seg_00008,003_bsn_13585850_20260712160000,SPEAKER_01,72.56,73.100001,0.54,success,まだまだ。,success,まだまだまだまだ。,False,5,9,4
,003_bsn_13585850_20260712160000_seg_00009,003_bsn_13585850_20260712160000,SPEAKER_02,74.32,75.76,1.44,success,まあまあ、高室さんに比べれば。,success,まあまあ高室さんに比べれば。,False,15,14,-1
,003_bsn_13585850_20260712160000_seg_00010,003_bsn_13585850_20260712160000,SPEAKER_01,76.08,77.76,1.68,success,クラエビはまた赤子みたいなもんだ。,success,僕から比べればまた赤ん坊みたいなもんだ。,False,17,20,3
,003_bsn_13585850_20260712160000_seg_00011,003_bsn_13585850_20260712160000,SPEAKER_02,79.76,81.260001,1.5,success,岡村さんが54。,success,高丸さんが54って。,False,8,10,2
,003_bsn_13585850_20260712160000_seg_00012,003_bsn_13585850_20260712160000,SPEAKER_02,82.96,83.660002,0.7,success,どんなふうに過ごしてるんですか?,success,愛はどんなふうに過ごした?,False,16,13,-3
,003_bsn_13585850_20260712160000_seg_00013,003_bsn_13585850_20260712160000,SPEAKER_02,96.4,97.58,1.18,success,だからそういうのは考えること。,success,何年で終わりがないわけだからそういうのは考えることができない。,False,15,31,16
,003_bsn_13585850_20260712160000_seg_00014,003_bsn_13585850_20260712160000,SPEAKER_02,99.2,101.6,2.4,success,たぶん死ぬまで働いてるんだろうなって思うんだけど。,success,考えることが、たぶん死ぬまで働いてるんだろうなって思うんだけど。,False,25,32,7
,003_bsn_13585850_20260712160000_seg_00015,003_bsn_13585850_20260712160000,SPEAKER_02,101.92,102.8,0.88,success,中丸さんは。,success,働いてるんだろうなって思うんだけど、高 ?? さんは。,False,6,27,21
,003_bsn_13585850_20260712160000_seg_00016,003_bsn_13585850_20260712160000,SPEAKER_02,111.12,111.68,0.56,success,うん。,success,そうやね。,False,3,5,2
,003_bsn_13585850_20260712160000_seg_00017,003_bsn_13585850_20260712160000,SPEAKER_02,113.2,115.340002,2.14,success,何もないように無事に終わろうみたいな。,success,まだに何もないように無事に終わろうみたいな。,False,19,22,3
,003_bsn_13585850_20260712160000_seg_00018,003_bsn_13585850_20260712160000,SPEAKER_01,116.56,118.4,1.84,success,秘密が暴露されないようにと。,success,秘密が暴露されないようにと。,True,14,14,0
,003_bsn_13585850_20260712160000_seg_00019,003_bsn_13585850_20260712160000,SPEAKER_02,120.08,121.36,1.28,success,そんなふうに。,success,そんなふうに。,True,7,7,0
,003_bsn_13585850_20260712160000_seg_00020,003_bsn_13585850_20260712160000,SPEAKER_02,122.739999,123.500002,0.76,success,ひと言くださいよ。,success,ひと言くださいよ。,True,9,9,0
,003_bsn_13585850_20260712160000_seg_00021,003_bsn_13585850_20260712160000,SPEAKER_02,125.2,125.9,0.7,success,迎えた私。,success,病を迎えた私。,False,5,7,2
,003_bsn_13585850_20260712160000_seg_00022,003_bsn_13585850_20260712160000,SPEAKER_01,128.16,129.12,0.96,success,行き方も何も。,success,いやいや生き方も何も。,False,7,11,4
,003_bsn_13585850_20260712160000_seg_00023,003_bsn_13585850_20260712160000,SPEAKER_01,135.6,136.48,0.88,success,それだけか?,success,それだけかな?,False,6,7,1
,003_bsn_13585850_20260712160000_seg_00024,003_bsn_13585850_20260712160000,SPEAKER_00,136.64,137.6,0.96,success,もうありがとうございます。,success,あぁもうありがとうございます。,False,13,15,2
