segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,028_fmfukuoka_13586880_20260712180000_seg_00000,028_fmfukuoka_13586880_20260712180000,SPEAKER_00,13.36,14.48,1.12,success,ハハハハ!,success,ハハハハ!,True,5,5,0
,028_fmfukuoka_13586880_20260712180000_seg_00001,028_fmfukuoka_13586880_20260712180000,SPEAKER_00,15.2,16.32,1.12,success,起立!,success,起立!,True,3,3,0
,028_fmfukuoka_13586880_20260712180000_seg_00002,028_fmfukuoka_13586880_20260712180000,SPEAKER_00,17.76,19.2,1.44,success,気をつけへい!,success,気をつけ礼!,False,7,6,-1
,028_fmfukuoka_13586880_20260712180000_seg_00003,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,82.420004,83.28,0.86,success,挨拶みたいになっちゃった。,success,警察みたいになっちゃってる。,False,13,14,1
,028_fmfukuoka_13586880_20260712180000_seg_00004,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,84.08,86.06,1.98,success,はい皆さんラジオの前にいますでしょうか?,success,はい皆さんラジオの前にいますでしょうか?,True,20,20,0
,028_fmfukuoka_13586880_20260712180000_seg_00005,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,184.65999,185.419997,0.76,success,きょうの授業は。,success,今日の授業は。,False,8,7,-1
,028_fmfukuoka_13586880_20260712180000_seg_00006,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,196.72,197.419997,0.7,success,あいのながさ。,success,間の長さ。,False,7,5,-2
,028_fmfukuoka_13586880_20260712180000_seg_00007,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,200.019991,200.64,0.62,success,難しいでしょ、もう。,success,難しいでしょ?,False,10,7,-3
,028_fmfukuoka_13586880_20260712180000_seg_00008,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,202.899995,203.659987,0.76,success,難しいんですよ。,success,難しいんですよ。,True,8,8,0
,028_fmfukuoka_13586880_20260712180000_seg_00009,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,214.0,215.659987,1.66,success,考え方になってくるのかな。,success,考え方になってくるのかな結構。,False,13,15,2
,028_fmfukuoka_13586880_20260712180000_seg_00010,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,241.779985,242.539992,0.76,success,好きなんです。,success,好きなんですよ。,False,7,8,1
,028_fmfukuoka_13586880_20260712180000_seg_00011,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,245.76,248.77999,3.02,success,まあそして人類が時間を意識し始めたころ。,success,まあそして人類が時間を意識し始めた頃。,False,20,19,-1
,028_fmfukuoka_13586880_20260712180000_seg_00012,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,251.44,252.13999,0.7,success,はじめたか。,success,始めたか。,False,6,5,-1
,028_fmfukuoka_13586880_20260712180000_seg_00013,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,294.64,295.340002,0.7,success,自分の。,success,自分の。,True,4,4,0
,028_fmfukuoka_13586880_20260712180000_seg_00014,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,297.04,297.740012,0.7,success,あれかも分かんない。,success,あありかも分かんない。,False,10,11,1
,028_fmfukuoka_13586880_20260712180000_seg_00015,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,308.24,308.780005,0.54,success,まああるんです。,success,今あるんですよ。,False,8,8,0
,028_fmfukuoka_13586880_20260712180000_seg_00016,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,319.04,319.819998,0.78,success,こういう話で。,success,こういう話で。,True,7,7,0
,028_fmfukuoka_13586880_20260712180000_seg_00017,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,337.780008,338.32,0.54,success,ですかこれは。,success,ですかこれは。,True,7,7,0
,028_fmfukuoka_13586880_20260712180000_seg_00018,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,348.340005,349.099997,0.76,success,来たのは。,success,したのは。,False,5,5,0
,028_fmfukuoka_13586880_20260712180000_seg_00019,028_fmfukuoka_13586880_20260712180000,SPEAKER_01,353.140009,353.9,0.76,success,ソニア文明。,success,ドニア文明。,False,6,6,0
,028_fmfukuoka_13586880_20260712180000_seg_00020,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,367.540002,368.300009,0.76,success,いなかったんですかね?,success,いなかったんですかね過去に。,False,11,14,3
,028_fmfukuoka_13586880_20260712180000_seg_00021,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,391.6,392.300009,0.7,success,つり的なね。,success,物理的なね。,False,6,6,0
,028_fmfukuoka_13586880_20260712180000_seg_00022,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,395.859995,397.52,1.66,success,じゃあどうしたんすかねこれね。,success,じゃあどうしたんすかねこれね。,True,15,15,0
,028_fmfukuoka_13586880_20260712180000_seg_00023,028_fmfukuoka_13586880_20260712180000,SPEAKER_02,409.84,410.4,0.56,success,たいへん。,success,大変だ。,False,5,4,-1
