segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,001_ybc_13584130_20260711181000_seg_00000,001_ybc_13584130_20260711181000,SPEAKER_01,24.56,25.2,0.64,success,ハハハ!,success,アハハハハ!,False,4,6,2
,001_ybc_13584130_20260711181000_seg_00001,001_ybc_13584130_20260711181000,SPEAKER_00,27.44,28.459999,1.02,success,そん時にね。,success,いえいえその時にね。,False,6,10,4
,001_ybc_13584130_20260711181000_seg_00002,001_ybc_13584130_20260711181000,SPEAKER_00,31.6,34.699997,3.1,success,出るけど、全然出ないんだけど、ずいぶん長引いてるねっていう。,success,だけど全然出ないんだけど随分長引いてるねっていう。,False,30,25,-5
,001_ybc_13584130_20260711181000_seg_00003,001_ybc_13584130_20260711181000,SPEAKER_00,38.8,40.939999,2.14,success,あっだからあの今は元気で。,success,ああだからあの今は元気で。,False,13,13,0
,001_ybc_13584130_20260711181000_seg_00004,001_ybc_13584130_20260711181000,SPEAKER_00,43.84,45.52,1.68,success,ずいぶんでもあれでしたね、大変。,success,随分でもあれでしたね大変な。,False,16,14,-2
,001_ybc_13584130_20260711181000_seg_00005,001_ybc_13584130_20260711181000,SPEAKER_01,46.0,47.179997,1.18,success,いや何なん?,success,ずいぶんでもあれでしたね、大変な感じ。,False,6,19,13
,001_ybc_13584130_20260711181000_seg_00006,001_ybc_13584130_20260711181000,SPEAKER_00,56.56,57.76,1.2,success,もう電話くれたじゃない。,success,でも電話くれたじゃない。,False,12,12,0
,001_ybc_13584130_20260711181000_seg_00007,001_ybc_13584130_20260711181000,SPEAKER_01,78.64,79.340002,0.7,success,敏感じゃん。,success,すごい敏感じゃん。,False,6,9,3
,001_ybc_13584130_20260711181000_seg_00008,001_ybc_13584130_20260711181000,SPEAKER_00,89.52,91.340002,1.82,success,いやいやいやいや、全然。,success,いやいやいやいやあの全然。,False,12,13,1
,001_ybc_13584130_20260711181000_seg_00009,001_ybc_13584130_20260711181000,SPEAKER_01,98.8,99.500002,0.7,success,ハハハハ。,success,ハハハハ。,True,5,5,0
,001_ybc_13584130_20260711181000_seg_00010,001_ybc_13584130_20260711181000,SPEAKER_00,102.24,102.860003,0.62,success,そんな話?,success,そんな話。,False,5,5,0
