segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,005_qrr_13583011_20260711180000_seg_00000,005_qrr_13583011_20260711180000,SPEAKER_01,87.700002,88.32,0.62,success,美代子です。,success,美代子です。,True,6,6,0
,005_qrr_13583011_20260711180000_seg_00001,005_qrr_13583011_20260711180000,SPEAKER_00,88.4,91.92,3.52,success,こんにちはオーナーの川合俊一ですトレンドカフェへようこそ。,success,こんにちはオーナーの川合俊一ですトレンドカフェへようこそ。,True,29,29,0
,005_qrr_13583011_20260711180000_seg_00002,005_qrr_13583011_20260711180000,SPEAKER_01,92.32,94.24,1.92,success,4月11日です。,success,トレンドカフェへようこそ7月11日です。,False,8,20,12
,005_qrr_13583011_20260711180000_seg_00003,005_qrr_13583011_20260711180000,SPEAKER_01,96.340002,98.06,1.72,success,じゃあこの時期になると運動。,success,私はこの時期になるとうん。,False,14,13,-1
,005_qrr_13583011_20260711180000_seg_00004,005_qrr_13583011_20260711180000,SPEAKER_01,100.180002,101.84,1.66,success,方も多かったと思います。,success,方も多かったと思います。,True,12,12,0
,005_qrr_13583011_20260711180000_seg_00005,005_qrr_13583011_20260711180000,SPEAKER_01,104.020002,105.260001,1.24,success,でしょうかね。,success,何でしょうかね。,False,7,8,1
,005_qrr_13583011_20260711180000_seg_00006,005_qrr_13583011_20260711180000,SPEAKER_01,110.26,111.500002,1.24,success,本当におもしろい。,success,よりも本当においしそう。,False,9,12,3
,005_qrr_13583011_20260711180000_seg_00007,005_qrr_13583011_20260711180000,SPEAKER_00,113.6,114.860003,1.26,success,ないね、かもしれないね。,success,かもしれないねかもしれないね。,False,12,15,3
,005_qrr_13583011_20260711180000_seg_00008,005_qrr_13583011_20260711180000,SPEAKER_00,119.380003,120.140002,0.76,success,何年か前。,success,何年か前。,True,5,5,0
,005_qrr_13583011_20260711180000_seg_00009,005_qrr_13583011_20260711180000,SPEAKER_01,127.059999,128.24,1.18,success,まだできなかったんですか?,success,まだできなかったんですか?,True,13,13,0
,005_qrr_13583011_20260711180000_seg_00010,005_qrr_13583011_20260711180000,SPEAKER_00,128.48,133.04,4.56,success,今までは1人で飲食店入ることはないので、ごはん食べたいとき、1人になったとき。,success,今までは1人で飲食店入ることはないのでご飯食べたいとき1人になったとき。,False,39,36,-3
,005_qrr_13583011_20260711180000_seg_00011,005_qrr_13583011_20260711180000,SPEAKER_01,134.96,136.72,1.76,success,はあそれが誰か誘う?,success,はあそれが誰か誘う。,False,10,10,0
,005_qrr_13583011_20260711180000_seg_00012,005_qrr_13583011_20260711180000,SPEAKER_00,136.8,138.56,1.76,success,誘う、必ず。,success,はぁそれが誰か誘う?,False,6,10,4
,005_qrr_13583011_20260711180000_seg_00013,005_qrr_13583011_20260711180000,SPEAKER_00,139.52,141.739989,2.22,success,映画えっとねあそこ。,success,それがえっとねあそこ。,False,10,11,1
