segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,017_bss_13550796_20260711203000_seg_00000,017_bss_13550796_20260711203000,SPEAKER_00,22.899999,23.659998,0.76,success,ツアーの皆さんに。,success,じゃあ皆さんにはよろしくお願いします。,False,9,19,10
,017_bss_13550796_20260711203000_seg_00001,017_bss_13550796_20260711203000,SPEAKER_00,24.819999,26.059999,1.24,success,もう太鼓がどんな人間か。,success,重太夫がどんな人間か。,False,12,11,-1
,017_bss_13550796_20260711203000_seg_00002,017_bss_13550796_20260711203000,SPEAKER_00,28.659999,31.339999,2.68,success,けどね、例えばもう本当に人に影響する。,success,けどね例えばもう本当に人に影響する。,False,19,18,-1
,017_bss_13550796_20260711203000_seg_00003,017_bss_13550796_20260711203000,SPEAKER_00,35.86,38.059998,2.2,success,フラフラフラフラしたりとかっていう。,success,あのふらふらふらふらしたりとかっていう。,False,18,20,2
,017_bss_13550796_20260711203000_seg_00004,017_bss_13550796_20260711203000,SPEAKER_00,41.139999,41.899998,0.76,success,お涙もろ。,success,お涙もの。,False,5,5,0
,017_bss_13550796_20260711203000_seg_00005,017_bss_13550796_20260711203000,SPEAKER_00,44.979999,45.739998,0.76,success,会に1回。,success,世界に1回!,False,5,6,1
,017_bss_13550796_20260711203000_seg_00006,017_bss_13550796_20260711203000,SPEAKER_00,48.819999,55.819998,7.0,success,前回泣いたさえちゃんのほうもね、無事に引っ越されて、前日に一応、今までのお礼も兼ねて、息子と一緒に。,success,前回泣いたさえちゃんのほうもね、無事に引っ越されて、前日に一応、今までのお礼も兼ねて、息子と一緒に。,True,50,50,0
,017_bss_13550796_20260711203000_seg_00007,017_bss_13550796_20260711203000,SPEAKER_00,56.979999,58.699997,1.72,success,うちのマンションに行ってで。,success,うちのマンションに行ってで。,True,14,14,0
,017_bss_13550796_20260711203000_seg_00008,017_bss_13550796_20260711203000,SPEAKER_00,60.34,62.539997,2.2,success,もうぱぱっと本当、10分ぐらいのあいさつにしようと。,success,もうぱぱっと本当10分ぐらいのあいさつにしようと思って。,False,26,28,2
,017_bss_13550796_20260711203000_seg_00009,017_bss_13550796_20260711203000,SPEAKER_00,63.699997,71.660002,7.96,success,その時にさえちゃんもいれば久美さんというお母さんもいらっしゃるんですけどやっぱりしゃべってても泣きそうになっちゃうの。,success,でまあその時になんかこうなんていうんだろうなさえちゃんもいればクミさんっていうお母さんもいらっしゃるんですけどやっぱりねしゃべってても泣きそうになっちゃうの私。,False,59,80,21
,017_bss_13550796_20260711203000_seg_00010,017_bss_13550796_20260711203000,SPEAKER_00,73.300001,102.32,29.02,success,やばいと思って、なんなら沙莉ちゃんと久美さんは、なんかもう、次にいっちゃってんのよ、もう涼子のときと一緒で、やっぱりいっちゃうほうはさ、もうなんつうの、もう次のこと考えてんのよ、忙しいし、引っ越しとかも、もうとにかく新しいほうにいっちゃってんのよ、頭が、全然悲しそうじゃなかったら、なんならもう、希望に満ちてるの、引っ越して何しようみたいなほうにいってんだけど、やっぱこっちはさ、置いてかれる身だから、やばい、やばいと思って、でも例えば、うちの息子とさ、久美さんの関係性とかを、これが最後かとかさ。,success,はいと思って、なんなら紗英ちゃんと久美さんは、なんかもう、次にいっちゃってんのよ、もう涼子のときと一緒で、やっぱりいっちゃうほうはさ、もうなんつうの、もう次のこと考えてんのよ、忙しいし、引っ越しとかも、もうとにかく新しいほうにいっちゃってんのよ、頭が、全然悲しそうじゃなかったら、なんならもう、希望に満ちてるの、引っ越して何しようみたいなほうにいってんだけど、やっぱこっちはさ、置いてかれる身だから、やばい、やばいと思って、でも例えば、うちの息子とさ、久美さんの関係性とかを、これが最後かとかさ。,False,249,248,-1
,017_bss_13550796_20260711203000_seg_00011,017_bss_13550796_20260711203000,SPEAKER_00,103.12,130.08,26.96,success,最後じゃないけどまた来る会うんだけど何かこの感じはもう見れないのかとかさ色んなこと思ったらさもうやばくて泣きそうになってもう早く帰ろうと思ってでも何かクミさんも若干その感じがしたのかなすごい送ってくれるのよで結局そのあと息子とカフェでもうごはんして帰ろうと思ったんだけどカフェまでやっぱりね離れられなくて来てくれるのよクミさんが5回ぐらいバイバイでまた行ってバイバイとかって。,success,なんていうの、最後じゃないけど、また来る、会うんだけど、なんか、この感じはもう見れないのかとかさ、いろんなこと思ったらさ、もうやばくて、泣きそうになって、もう早く帰ろうと思って、でもなんか、クミさんも若干、その感じがしたのかな、すごい送ってくれるのよ、結局、そのあと、息子とカフェでもうごはんして帰ろうと思ったんだけど、カフェまでやっぱりね、離れられなくて、来てくれるのよ、クミさんが、5回ぐらいバイバイ、また行って、バイバイとかって。,False,188,218,30
,017_bss_13550796_20260711203000_seg_00012,017_bss_13550796_20260711203000,SPEAKER_00,130.72,145.579993,14.86,success,もうそれがつらくてね泣きながらしょうが焼き食べましたよってそのあと泣きながらしょうが焼き定食食べましたよ何かもうつらくてでもクミさんもあんまりやると泣いちゃうからもうパッと言ったのでもまたうちの何も知らないっていうか。,success,もうそれがつらくてね泣きながらしょうが焼き食べましたよってそのあと泣きながらしょうが焼き定食食べましたよ何かもうつらくてでもクミさんもあんまりやるとこう泣いちゃうからもうパッと言ったのでもまたうちの何も知らないっていうか。,False,109,111,2
,017_bss_13550796_20260711203000_seg_00013,017_bss_13550796_20260711203000,SPEAKER_00,146.739992,183.6,36.86,success,やっぱこのまだ4歳ですからこれがなんかしばらくとかもあんまり考えてないからまた行ってバイバイとかって言ってその感じとかもさ見てたらもうやばっと思ってもう行って行って!とかと思ってもう泣きながらしょうが焼き食べましたよもうつらいつらいよっていうそういうところもねある私だったりとかねっていうところはあるんですでそんな中でもやっぱ最初に言った私やっぱ影響をすごくされやすいんですね最近だと勝間和代さんとかさのyoutube見てすごく影響されて勝間家電っていう本があるんだけどそれ読んでさ全部家電ちょっとまねして買ってみたりとか。,success,みんなやっぱこのまだ4歳ですからこれが何かしばらくとかもあんまり考えてないからまた行ってバイバイとかっつってその感じとかもさ見てたらもうやばっ!と思ってもう行って行って!とかと思ってもう泣きながらしょうが焼き食べましたよもうつらいつらいよっていうそういうところもねある私だったりとかねっていうところはあるんですでそんな中でもやっぱ最初に言った私やっぱ影響すごくされやすいんですね最近だと勝間和代さんとかさのyoutube見てすごく影響されて勝間家電っていう本があるんだけどそれ読んでさ全部家電ちょっとまねして買ってみたりとか。,False,262,263,1
,017_bss_13550796_20260711203000_seg_00014,017_bss_13550796_20260711203000,SPEAKER_00,184.56,232.45999,47.9,success,googleがいいっていうからさもうグーグルピクセルを買おうかなと思ってたりとか全部勝馬和代さんあと川村麻紀子さんとかさあと田中圭さんとかさ元ゴールドマンサックスのさ何つうのやる気に満ちたさ人達に影響されてたりとかそんな中でこの間すごい方々とお食事する機会があってそれがですね今スノーピークさんで子どもピークプロジェクトっていうのをやっておりましてそこでスノーピークさんとのご縁がありましてスノーピークの山井会長と今の皆口社長っていう方と一緒にお食事をする機会があったんですよでホントに何かね何だろうお魚専門店のねその場で食材を見せて焼いたり煮たり切ったり刺身にしたりしてくれる場所なんですけどそこで食事をしていてやっぱこう何つうの会話ができる。,success,グーグルがいいっていうからさもうgooglepixelを買おうかなと思ってたりとか全部勝馬和代さんあと川村麻紀子さんとかさあと田中圭さんとかさ元ゴールドマンサックスのさこう何つうのやる気に満ちたさ人達に影響されてたりとかそんな中でこの間すごい方々とお食事する機会があってそれがですね今スノーピークさんでこどもピークプロジェクトっていうのをやっておりましてそこでスノーピークさんとのご縁がありましてスノーピークの山井会長と今の皆口社長っていう方と一緒にお食事をする機会があったんですよでホントに何かね何だろうお魚専門店のねその場で食材を見せて焼いたり煮たり切ったり刺身にしたりしてくれる場所なんですけどそこで食事をしていてやっぱこう何つうの会話ができる。,False,323,326,3
,017_bss_13550796_20260711203000_seg_00015,017_bss_13550796_20260711203000,SPEAKER_00,233.619989,234.64,1.02,success,違うのよ。,success,違うのよ。,True,5,5,0
,017_bss_13550796_20260711203000_seg_00016,017_bss_13550796_20260711203000,SPEAKER_00,234.96,267.980002,33.02,success,ここの会話とさ、このすっぴんシャンの打ち合わせのさ、あの下世話なさ、誰々と誰々だとかさ、もうあの汚い下世話なさ、あの会話、楽しいよ、楽しいけどさ、あのすっぴん社の打ち合わせともう真逆の、なんだろうな、ビジネスマンのトップというか、社長と会長ですからね、しかもこのブランディングみたいな話みたいなやつを、私、そこにぽんと入れられてさ、やるわけよ、そこでさ、すごい感銘を受けたさ、ことばがあって言われたのが。,success,ここの会話とさ、このすっぴんシャンの打ち合わせのさ、あの下世話なさ、誰々と誰々がとかさ、もうあの汚い、あの下世話なさ、あの会話、楽しいよ楽しいけどさ、あのすっぴん社の打ち合わせともう真逆の、なんだろうな、ビジネスマンのトップというか、社長と会長ですからね、しかもこのブランディングみたいな話みたいなやつを、私、そこにぽんと入れられてさ、やるわけよ、そこでさ、すごい感銘を受けたさ、ことばがあって、言われたのが。,False,202,205,3
,017_bss_13550796_20260711203000_seg_00017,017_bss_13550796_20260711203000,SPEAKER_00,269.620004,271.819998,2.2,success,オーセンティックですよねって言われたの。,success,もうオーセンティックですよねって言われたの。,False,20,22,2
,017_bss_13550796_20260711203000_seg_00018,017_bss_13550796_20260711203000,SPEAKER_00,278.739999,297.76,19.02,success,オーセンティックって知ってたら教えてほしいんですけど私その時オーセンティックって意味が分かんなくてそれに対してはあみたいなああへえみたいなリアクションをとりあえずしちゃったの聞けなかったのオーセンティックって何ですかみたいなやっぱ皆さん海外でやっぱ仕事してて私も海外では仕事してるんだけどオーセンティックなんかイッテq!で聞いたことないよ。,success,オーセンティックって知ってたら教えてほしいんですけど私その時オーセンティックって意味が分かんなくてそれに対してはあみたいなあへえみたいなリアクションとりあえずしちゃったの聞けなかったのオーセンティックって何ですか?みたいなやっぱ皆さん海外でやっぱ仕事してて私も海外では仕事してるんだけどオーセンティックなんかイッテq!で聞いたことないよ。,False,170,169,-1
,017_bss_13550796_20260711203000_seg_00019,017_bss_13550796_20260711203000,SPEAKER_00,298.64,325.099997,26.46,success,オーセンティックって何?っていう、ずっと、もう食事中もそれが気になっちゃって、しかも私に言ったオーセンティックイモトさんって、でもイモトさんもオーセンティックですよねの前に、前後に、10回ぐらいオーセンティックってことばが飛び交うわけ、ブランディングとはみたいな、やっぱブランディングはオーセンティックだよねみたいな、もう訳が分かんなくなって、ちょっともう、検索するわけにもちょっといかないし、どうしようと思って、タクシー乗って、すぐ帰りのタクシーで調べたわけ、そしたら出てくる。,success,オーセンティックって何?っていう、ずっと、もう食事中もそれが気になっちゃって、しかも私に言ったオーセンティックイモトさんって、でもイモトさんもオーセンティックですよねの前に、前後に、10回ぐらいオーセンティックってことばが飛び交うわけ、ブランディングとはみたいな、ブランディングはオーセンティックだよねみたいな、もう訳が分かんなくなって、ちょっともう、検索するわけにもちょっといかないし、どうしようと思って、タクシー乗って、すぐ帰りのタクシーで調べたわけ、そしたら出てくる。,False,240,237,-3
,017_bss_13550796_20260711203000_seg_00020,017_bss_13550796_20260711203000,SPEAKER_00,326.260004,327.2,0.94,success,ほんもの。,success,本物。,False,5,3,-2
,017_bss_13550796_20260711203000_seg_00021,017_bss_13550796_20260711203000,SPEAKER_00,330.64,334.24,3.6,success,見てくださいよ、ちょっと社長、私、おもしろい。,success,見て下さいよちょっと社長私お父さん。,False,23,18,-5
,017_bss_13550796_20260711203000_seg_00022,017_bss_13550796_20260711203000,SPEAKER_00,335.36,336.0,0.64,success,あっ!,success,あっほんとだ!,False,3,7,4
,017_bss_13550796_20260711203000_seg_00023,017_bss_13550796_20260711203000,SPEAKER_00,337.44,340.940009,3.5,success,本質的な人間ですかみたいな、一番うれしい。,success,本質的な人間ですかみたいな、一番うれしい。,True,21,21,0
,017_bss_13550796_20260711203000_seg_00024,017_bss_13550796_20260711203000,SPEAKER_00,342.579996,345.260001,2.68,success,今言われて一番うれしい言葉オーセンティック。,success,今言われて一番うれしい言葉オーセンティック。,True,22,22,0
,017_bss_13550796_20260711203000_seg_00025,017_bss_13550796_20260711203000,SPEAKER_00,346.420007,351.02001,4.6,success,私スノーピークの社長にオーセンティックって言われたらもうそれはもう本物じゃん。,success,福ない私スノーピークの社長にオーセンティックって言われたらもうそれはもう本物じゃん。,False,39,42,3
,017_bss_13550796_20260711203000_seg_00026,017_bss_13550796_20260711203000,SPEAKER_00,352.180002,355.04,2.86,success,本物ですから、スノーピークがオーセンティックなんだから。,success,本物ですからスノーピークがオーセンティックなんだから。,False,28,27,-1
,017_bss_13550796_20260711203000_seg_00027,017_bss_13550796_20260711203000,SPEAKER_00,355.84,362.48,6.64,success,そのオーセンティックにオーセンティックっていったら、もう私はオセンティックよ、もう絶対オセンティック、だからオセンティック芸人として、これから生きようかなと思って。,success,そのオーセンティックにオセンティックっていったらもう私はオーセンティックよもう絶対オセンティックだからオーセンティック芸人としてこれから生きようかなと思って。,False,82,79,-3
,017_bss_13550796_20260711203000_seg_00028,017_bss_13550796_20260711203000,SPEAKER_00,363.52,376.459998,12.94,success,もうオーセンティックとして、申し訳ないけど、ことしの頭にね、色紙にね、書きました目標、ことしは変身と、変化しながら進化するっていう、当て字でね、変身って言いましたけど、それも却下します、オーセンティックに。,success,もうオーセンティックとして、申し訳ないけど、ことしの頭にね、色紙にね、書きました目標、ことしは変身と、変化しながら進化するっていう、当て字でね、変身と言いましたけど、それも却下します、オーセンティックに。,False,103,102,-1
,017_bss_13550796_20260711203000_seg_00029,017_bss_13550796_20260711203000,SPEAKER_00,378.1,383.68,5.58,success,もう下半期はもう私、オーセンティックで、ことしの目標、オーセンティックとして生きていきたいと思います。,success,もう下半期はもう私オーセンティックで今年の目標はオーセンティックとして生きていきたいと思います。,False,51,48,-3
,017_bss_13550796_20260711203000_seg_00030,017_bss_13550796_20260711203000,SPEAKER_00,384.24,387.500006,3.26,success,これはねいい言葉頂いたよなかなか聞かないよ。,success,これはねいい言葉頂いたよ。,False,22,13,-9
,017_bss_13550796_20260711203000_seg_00031,017_bss_13550796_20260711203000,SPEAKER_00,388.659998,392.300009,3.64,success,食事しながらオーセンティックが飛び交うってどんな食事よ!,success,食事しながらオーセンティックが飛び交うってどんな食事よ!,True,28,28,0
,017_bss_13550796_20260711203000_seg_00032,017_bss_13550796_20260711203000,SPEAKER_00,393.52,399.36,5.84,success,びっくりしたわ、でもなんか、すごい楽しかったですよ、ふだんやっぱり、ふだんも楽しいよ、皆さんと会話するのは。,success,びっくりしたわ、でもなんか、すごい楽しかったですよ、ふだん、やっぱり、ふだんも楽しいよ、皆さんと会話するのは。,False,54,55,1
,017_bss_13550796_20260711203000_seg_00033,017_bss_13550796_20260711203000,SPEAKER_00,400.08,412.459998,12.38,success,楽しいしテレビマンと会話するのも楽しいしなんていうんだろう友達との会話も楽しいんだけどまたちょっと違う種類のなんていうんだろうな企業の社長さんとかブランドを使う社長。,success,会話も楽しいしテレビマンと会話するのも楽しいし何て言うんだろう友達との会話も楽しいんだけどまたちょっと違う種類のまあこう何て言うんだろうな企業の社長さんとかブランドを通じて社長さん。,False,83,91,8
,017_bss_13550796_20260711203000_seg_00034,017_bss_13550796_20260711203000,SPEAKER_00,414.579996,417.739996,3.16,success,食事するっていうのは、すごくお勉強になりましたね。,success,食事するっていうのはすごくお勉強になりましたね。,False,25,24,-1
,017_bss_13550796_20260711203000_seg_00035,017_bss_13550796_20260711203000,SPEAKER_00,418.900003,425.9,7.0,success,で、なんか食事をして、より山井会長とか、峯岸社長の人間味みたいなのが。,success,なんか食事をして、より山井会長とか、峯岸社長の人間味みたいなのが。,False,35,33,-2
,017_bss_13550796_20260711203000_seg_00036,017_bss_13550796_20260711203000,SPEAKER_00,427.060007,430.219992,3.16,success,よりスノーピークというブランドが私は好きになったし。,success,よりこうスノーピークというブランドが私は好きになったし。,False,26,28,2
,017_bss_13550796_20260711203000_seg_00037,017_bss_13550796_20260711203000,SPEAKER_00,432.340005,458.539999,26.2,success,ふざけるわけじゃなくオーセンティックな本物の本質的なブランドさんなんだなっていうのが分かりました多分まあそこにはこうやっぱり伝統的なとかある程度年月をかけないと作れないブランドだったりとかっていう意味ではすごい歴史もあるしっていう意味で本物なんだなっていうので私もオーセンティックって言われたらさこれは嬉しいよね私すごく目指してんのよ本物を本物になりたい。,success,ふざけるわけじゃなくオーセンティックな本物の本質的なブランドさんなんだなっていうのが分かりました多分まあそこにはこうやっぱり伝統的なとかある程度年月をかけないと作れないブランドだったりとかっていう意味ではすごい歴史もあるしっていう意味で本物なんだなっていうので私もオーセンティックって言われたらさこれは嬉しいよね私すごく目指してんのよ。,False,178,168,-10
,017_bss_13550796_20260711203000_seg_00038,017_bss_13550796_20260711203000,SPEAKER_00,459.700006,460.88,1.18,success,いろんな人のまねすんのよ。,success,いろんな人のまねすんのよ。,True,13,13,0
,017_bss_13550796_20260711203000_seg_00039,017_bss_13550796_20260711203000,SPEAKER_00,463.28,479.179999,15.9,success,生まれつき本物的な人もいるんだけど多分私はそうではないからだから本物に憧れて本物のまねをいっぱいまねして自分なりのオリジナルの本物を作っていくっていうのを今目指してるんですけどいやすごくうれしかったですね。,success,生まれつき本物的な人もいるんだけど多分私はそうではないからだから本物に憧れて本物のまねをいっぱいまねして自分なりのオリジナルの本物を作っていくっていうのを今目指してるんですけどいやすごくうれしかったですね。,True,103,103,0
,017_bss_13550796_20260711203000_seg_00040,017_bss_13550796_20260711203000,SPEAKER_00,482.32,485.9,3.58,success,いやオーセンティックっていい言葉だよねいや私ちょっと言うわ。,success,いやオーセンティックっていい言葉だよねいや私言うわ。,False,30,26,-4
,017_bss_13550796_20260711203000_seg_00041,017_bss_13550796_20260711203000,SPEAKER_00,488.980005,490.4,1.42,success,でもオーセンティックを。,success,でもオーセンティックを。,True,12,12,0
,017_bss_13550796_20260711203000_seg_00042,017_bss_13550796_20260711203000,SPEAKER_00,490.96,513.6,22.64,success,だから、笑わないでね、私がオーセンティックって、なんの恥ずかしげもなく使ってても、会話の、日常会話に、絶対笑わないでね、首の根っこつかまないでね、今言ったみたいな、本当やめてくださいよ、それぐらい、自然にね、だから、やっぱりオーセンティックを、こんななんか、こういうふうに言うんじゃなくて、今みたいに、やっぱり自然にやりそうになりたいね、今、いじっちゃってるもんね、オセンティックを。,success,だから、笑わないでね、私がオーセンティックって、なんの恥ずかしげもなく使ってても、会話の、日常会話に、絶対笑わないでね、首の根っこつかまないでね、今言ったみたいな、本当やめてくださいよ、それぐらい、自然にね、だから、やっぱオーセンティックを、こんななんか、こういうふうに言うんじゃなくて、今みたいに、やっぱり自然にやりそうになりたいね、今、いじっちゃってるもんね、オセンティックを。,False,192,191,-1
,017_bss_13550796_20260711203000_seg_00043,017_bss_13550796_20260711203000,SPEAKER_00,514.88,520.459967,5.58,success,オーセンティックをちょっといじっちゃってるんだよね、違うんだよね、そういうことじゃない、そういうことじゃない、ちゃんと自然に言いたいね、オーセンティック。,success,オーセンティックをちょっといじっちゃってるんだよね、違うんだよね、そういうことじゃない、そういうことじゃない、ちゃんと自然に言いたいね、オーセンティック。,True,77,77,0
,017_bss_13550796_20260711203000_seg_00044,017_bss_13550796_20260711203000,SPEAKER_00,522.96,525.259985,2.3,success,そうなのよ、それがよくないのよ。,success,そうなのよそれがよくないのよ。,False,16,15,-1
,017_bss_13550796_20260711203000_seg_00045,017_bss_13550796_20260711203000,SPEAKER_00,526.419977,528.08,1.66,success,一歩先に私は行きたいので。,success,一歩先に私は行きたいので。,True,13,13,0
,017_bss_13550796_20260711203000_seg_00046,017_bss_13550796_20260711203000,SPEAKER_00,529.36,536.299963,6.94,success,いける人間になれるように、今年度は頑張っていきたいと思いまちょっとね、ここでオーセンティックな曲を流そうかなと思って。,success,いける人間になれるように今年度は頑張っていきたいと思いますでちょっとねここでオーセンティックな曲を流そうかなと思って。,False,59,59,0
