segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,030_mbc_13598238_20260711133000_seg_00000,030_mbc_13598238_20260711133000,SPEAKER_00,20.019999,22.22,2.2,success,fmラジオラジオでお聴きの皆さんこんにちは。,success,fmラジオラジオでお聴きの皆さんこんにちは!,False,22,22,0
,030_mbc_13598238_20260711133000_seg_00001,030_mbc_13598238_20260711133000,SPEAKER_00,23.379999,27.44,4.06,success,11日土曜日お昼1時半になりました青姉たくちゃん野口卓郎です。,success,11日土曜日お昼1時半になりました青年たくちゃん野口卓郎です。,False,31,31,0
,030_mbc_13598238_20260711133000_seg_00002,030_mbc_13598238_20260711133000,SPEAKER_01,27.6,28.4,0.8,success,友入江です。,success,青姉拓ちゃん野口卓郎です。,False,6,13,7
,030_mbc_13598238_20260711133000_seg_00003,030_mbc_13598238_20260711133000,SPEAKER_00,28.4,30.72,2.32,success,強烈な紫外線が降り注ぐ鹿児島。,success,強烈な紫外線が降り注ぐ鹿児島。,True,15,15,0
,030_mbc_13598238_20260711133000_seg_00004,030_mbc_13598238_20260711133000,SPEAKER_01,30.72,31.84,1.12,success,暑いですね。,success,強烈な紫外線が降り注ぐ鹿児島暑いですね。,False,6,20,14
,030_mbc_13598238_20260711133000_seg_00005,030_mbc_13598238_20260711133000,SPEAKER_00,31.92,35.179999,3.26,success,シーズンインザサン26ですね。,success,鹿児島、暑いですね、シーズンインザサン26ですね。,False,15,25,10
,030_mbc_13598238_20260711133000_seg_00006,030_mbc_13598238_20260711133000,SPEAKER_00,36.34,38.48,2.14,success,土木工事現場で。,success,私ですね土木工事現場で。,False,8,12,4
,030_mbc_13598238_20260711133000_seg_00007,030_mbc_13598238_20260711133000,SPEAKER_00,38.8,41.419999,2.62,success,ロケがあって、1時間半ぐらいお邪魔してたんですけどね。,success,土木工事現場でロケがあって1時間半ぐらいお邪魔してたんですけどね。,False,27,33,6
,030_mbc_13598238_20260711133000_seg_00008,030_mbc_13598238_20260711133000,SPEAKER_00,42.579998,45.84,3.26,success,いやもうさ体力の奪われ方が半端ないよね。,success,いやもうさ体力の奪われ方が半端ないよね。,True,20,20,0
,030_mbc_13598238_20260711133000_seg_00009,030_mbc_13598238_20260711133000,SPEAKER_01,46.24,49.12,2.88,success,もう外でのお仕事の方は大変でしょう。,success,外でのお仕事の方は大変でしょう。,False,18,16,-2
,030_mbc_13598238_20260711133000_seg_00010,030_mbc_13598238_20260711133000,SPEAKER_00,50.0,57.84,7.84,success,しっかりと水分を取らなきゃ昨日、私、持っていたのがぬるくなったアイソトニック飲料でございましてね。,success,しっかりと水分を取らなきゃ昨日、私、持っていたのがぬるくなったアイソトニック飲料でございましてね。,True,49,49,0
,030_mbc_13598238_20260711133000_seg_00011,030_mbc_13598238_20260711133000,SPEAKER_01,60.8,62.539997,1.74,success,もうキンキンに冷えたもん。,success,もうキンキンに冷えたもん。,True,13,13,0
,030_mbc_13598238_20260711133000_seg_00012,030_mbc_13598238_20260711133000,SPEAKER_00,63.76,65.6,1.84,success,あのスポーツドリンク系はですね。,success,あのスポーツドリンク系はですね。,True,16,16,0
,030_mbc_13598238_20260711133000_seg_00013,030_mbc_13598238_20260711133000,SPEAKER_00,65.92,68.96,3.04,success,塗るスポーツはよくないんですよね。,success,スポーツドリンク系は塗るスポーツは良くないんですよね。,False,17,27,10
,030_mbc_13598238_20260711133000_seg_00014,030_mbc_13598238_20260711133000,SPEAKER_01,69.2,70.56,1.36,success,でも飲まないよりはね。,success,まあでも飲まないよりはね。,False,11,13,2
,030_mbc_13598238_20260711133000_seg_00015,030_mbc_13598238_20260711133000,SPEAKER_00,70.56,71.2,0.64,success,そうなんです。,success,まあでも飲まないよりはね。,False,7,13,6
,030_mbc_13598238_20260711133000_seg_00016,030_mbc_13598238_20260711133000,SPEAKER_00,72.64,75.92,3.28,success,もう1時間半の間で、もうあそこびっしょりがいたよ。,success,そうなんです、そうなんですけどもね、もう1時間半の間で、もう汗もびっしょりかいて。,False,25,41,16
,030_mbc_13598238_20260711133000_seg_00017,030_mbc_13598238_20260711133000,SPEAKER_00,76.8,79.28,2.48,success,歩くスプラッシュマウンテンみたいな感じでですね。,success,びっしょりかいて、アルプスプラッシュマウンテンみたいな感じでですね。,False,24,34,10
,030_mbc_13598238_20260711133000_seg_00018,030_mbc_13598238_20260711133000,SPEAKER_00,79.92,85.6,5.68,success,でも僕なんか1時間半だったけどずっと外で作業されてる方々はねこれが日常ですからね。,success,みたいな感じでですね、でも僕なんか1時間半だったけど、ずっと外で作業されてる方々はね、これが日常ですからね。,False,41,54,13
,030_mbc_13598238_20260711133000_seg_00019,030_mbc_13598238_20260711133000,SPEAKER_01,86.0,88.64,2.64,success,もう本当にこまめな休憩が大事になってきますね。,success,これが日常ですからねもう本当にこまめな休憩が大事になってきますね。,False,23,33,10
,030_mbc_13598238_20260711133000_seg_00020,030_mbc_13598238_20260711133000,SPEAKER_00,88.88,98.96,10.08,success,大事ですよ、でね、そうやって外で一生懸命働いたあとにいただくビールはおいしいんだなというのを、またきのうはね、ちょっと奄美のほうで。,success,こまめな休憩が大事になってきますね大事ですよ。でねそうやって外で一生懸命働いたあとにいただくビールはおいしいんだなというのをまた昨日はねちょっと奄美のほうで。,False,66,79,13
,030_mbc_13598238_20260711133000_seg_00021,030_mbc_13598238_20260711133000,SPEAKER_00,99.36,100.72,1.36,success,マルエフが。,success,網のほうでマルエフが。,False,6,11,5
,030_mbc_13598238_20260711133000_seg_00022,030_mbc_13598238_20260711133000,SPEAKER_00,100.96,116.08,15.12,success,ビールさんのマルエフが飲めるのをされてたので、行って、なーん、もうマルエフのビールいただきましたらね、もう五臓六 ??、泡だらけ、もうきんきんに、もうゴーゴーヘブン状態になりましてね。,success,マルエフが、アサヒビールさんのマルエフが飲めるのをされてたので、行って、マルエフのビールいただきましたらね、もう五臓六 ??、泡だらけ、もうキンキンにゴーゴーヘブン状態になりましてね。,False,92,92,0
,030_mbc_13598238_20260711133000_seg_00023,030_mbc_13598238_20260711133000,SPEAKER_01,116.4,117.12,0.72,success,酔っ払っちゃいます。,success,ヘブン状態になりましてね、すぐ酔っ払っちゃいます。,False,10,25,15
,030_mbc_13598238_20260711133000_seg_00024,030_mbc_13598238_20260711133000,SPEAKER_00,117.6,124.460001,6.86,success,もう、いつもですとですね、3倍ぐらいまでは、まさにスポーツドリンク感覚で飲めます。,success,すぐ酔っ払っちゃいましいやすっ、もう、いつもですとですね、3倍ぐらいまでは、まさにスポーツドリンク感覚で飲めます。,False,41,57,16
,030_mbc_13598238_20260711133000_seg_00025,030_mbc_13598238_20260711133000,SPEAKER_00,125.62,126.96,1.34,success,見てゴーゴーヘブンでしたもん。,success,ピンク価格で飲めました。,False,15,12,-3
,030_mbc_13598238_20260711133000_seg_00026,030_mbc_13598238_20260711133000,SPEAKER_01,127.36,128.64,1.28,success,お疲れというのもあって。,success,疲れているのもあって。,False,12,11,-1
,030_mbc_13598238_20260711133000_seg_00027,030_mbc_13598238_20260711133000,SPEAKER_00,128.96,129.92,0.96,success,そうそうそうね。,success,あもう疲れているのもあって。,False,8,14,6
,030_mbc_13598238_20260711133000_seg_00028,030_mbc_13598238_20260711133000,SPEAKER_01,130.08,130.88,0.8,success,暑さがねよくない。,success,ただ暑さがね弱いので。,False,9,11,2
,030_mbc_13598238_20260711133000_seg_00029,030_mbc_13598238_20260711133000,SPEAKER_01,131.12,131.84,0.72,success,気持ちがいいんですよ。,success,また暑さがね、より気持ちがいいんですよ。,False,11,20,9
,030_mbc_13598238_20260711133000_seg_00030,030_mbc_13598238_20260711133000,SPEAKER_00,133.12,141.12,8.0,success,だから、暑い時は暑いので体力的にはきついけれどもそのご褒美を考えるといい季節だなというのは思いますよね。,success,だから、暑い時は暑いので体力的にはきついけれどもそのご褒美を考えるといい季節だなというのは思いますよね。,True,52,52,0
,030_mbc_13598238_20260711133000_seg_00031,030_mbc_13598238_20260711133000,SPEAKER_00,141.6,146.539992,4.94,success,ということでね、きょうもオタクやりますけど、皆さんね、今、テレビのほうではですね。,success,はいということでね今日もお宅やりますけど皆さんね今テレビのほうではですね。,False,41,37,-4
,030_mbc_13598238_20260711133000_seg_00032,030_mbc_13598238_20260711133000,SPEAKER_00,147.699991,148.4,0.7,success,待っておりますので。,success,テレビのほうではですね、頑張っておりますので。,False,10,23,13
,030_mbc_13598238_20260711133000_seg_00033,030_mbc_13598238_20260711133000,SPEAKER_00,149.2,149.84,0.64,success,頑張っております。,success,頑張っております。,True,9,9,0
,030_mbc_13598238_20260711133000_seg_00034,030_mbc_13598238_20260711133000,SPEAKER_00,150.24,152.299994,2.06,success,お目々はvivant、お耳は。,success,頑張っておりますので、お目々はvivant、お耳は。,False,15,26,11
,030_mbc_13598238_20260711133000_seg_00035,030_mbc_13598238_20260711133000,SPEAKER_00,153.459993,154.64,1.18,success,今日もよろしくお願いいたします。,success,今日もよろしくお願いいたします。,True,16,16,0
,030_mbc_13598238_20260711133000_seg_00036,030_mbc_13598238_20260711133000,SPEAKER_00,155.12,156.8,1.68,success,今週のテーマはこちらです。,success,今週のテーマはこちらです。,True,13,13,0
,030_mbc_13598238_20260711133000_seg_00037,030_mbc_13598238_20260711133000,SPEAKER_00,157.76,159.979994,2.22,success,音根音楽。,success,テーマはこちらです。,False,5,10,5
,030_mbc_13598238_20260711133000_seg_00038,030_mbc_13598238_20260711133000,SPEAKER_00,176.56,177.259993,0.7,success,音楽のオンです。,success,音楽のオンです。,True,8,8,0
,030_mbc_13598238_20260711133000_seg_00039,030_mbc_13598238_20260711133000,SPEAKER_02,180.4,182.64,2.24,success,に関わるものなどの意味があります。,success,音楽に関わるものなどの意味があります。,False,17,19,2
,030_mbc_13598238_20260711133000_seg_00040,030_mbc_13598238_20260711133000,SPEAKER_00,182.72,183.979994,1.26,success,好きな音とかです。,success,好きな音とかですね。,False,9,10,1
,030_mbc_13598238_20260711133000_seg_00041,030_mbc_13598238_20260711133000,SPEAKER_00,188.08,189.259993,1.18,success,ズオンとか。,success,ズオンとか。,True,6,6,0
,030_mbc_13598238_20260711133000_seg_00042,030_mbc_13598238_20260711133000,SPEAKER_00,191.92,192.619994,0.7,success,あと要はね。,success,あと弱音。,False,6,5,-1
,030_mbc_13598238_20260711133000_seg_00043,030_mbc_13598238_20260711133000,SPEAKER_00,195.04,200.299986,5.26,success,弱音も頂きたいんですけどあんまり弱音ばっかりを送られるとですね番組自体があれ?これはおもしろいの?,success,弱音もいただきたいんですけどあんまり弱音ばっかりを送られるとですね番組自体があれ?これはおもしろいの?,False,49,51,2
,030_mbc_13598238_20260711133000_seg_00044,030_mbc_13598238_20260711133000,SPEAKER_01,202.0,202.72,0.72,success,そうですね。,success,そうですね。,True,6,6,0
,030_mbc_13598238_20260711133000_seg_00045,030_mbc_13598238_20260711133000,SPEAKER_00,203.52,204.4,0.88,success,いますのでですね。,success,そうですね。ということになりますのでですね。,False,9,22,13
,030_mbc_13598238_20260711133000_seg_00046,030_mbc_13598238_20260711133000,SPEAKER_00,204.88,205.579993,0.7,success,ええあの。,success,ということになりますのでですね。,False,5,16,11
,030_mbc_13598238_20260711133000_seg_00047,030_mbc_13598238_20260711133000,SPEAKER_00,206.739992,208.45999,1.72,success,19日の雰囲気は出さないような。,success,いえあの19日の雰囲気は出さないような。,False,16,20,4
,030_mbc_13598238_20260711133000_seg_00048,030_mbc_13598238_20260711133000,SPEAKER_02,210.64,211.28,0.64,success,ジブに行きましょう。,success,ティブにいきましょう。,False,10,11,1
,030_mbc_13598238_20260711133000_seg_00049,030_mbc_13598238_20260711133000,SPEAKER_00,211.36,213.739989,2.38,success,弱ネス少なめでお届けお願いいたします。,success,弱音少なめでお届けお願いいたします。,False,19,18,-1
,030_mbc_13598238_20260711133000_seg_00050,030_mbc_13598238_20260711133000,SPEAKER_00,216.88,221.36,4.48,success,オイノブリティーたくおの箱1名様にプレゼントです。,success,海のブリティー拓尾の箱1名様にプレゼントです。,False,25,23,-2
,030_mbc_13598238_20260711133000_seg_00051,030_mbc_13598238_20260711133000,SPEAKER_02,221.36,222.859991,1.5,success,メールはaor。,success,発酵1名様にプレゼントです。,False,8,14,6
,030_mbc_13598238_20260711133000_seg_00052,030_mbc_13598238_20260711133000,SPEAKER_02,225.52,226.699995,1.18,success,bxは8。,success,bxは80。,False,5,6,1
,030_mbc_13598238_20260711133000_seg_00053,030_mbc_13598238_20260711133000,SPEAKER_02,241.28,241.92,0.64,success,お手軽!,success,お手軽!,True,4,4,0
,030_mbc_13598238_20260711133000_seg_00054,030_mbc_13598238_20260711133000,SPEAKER_02,242.48,244.88,2.4,success,今夜はからあげからあげ本舗。,success,お手軽、今夜はから揚げ、からあげ本舗。,False,14,19,5
,030_mbc_13598238_20260711133000_seg_00055,030_mbc_13598238_20260711133000,SPEAKER_01,246.16,247.44,1.28,success,nbc主催。,success,mbc主催。,False,6,6,0
,030_mbc_13598238_20260711133000_seg_00056,030_mbc_13598238_20260711133000,SPEAKER_01,254.8,255.499991,0.7,success,真の階段。,success,出身の階段。,False,5,6,1
,030_mbc_13598238_20260711133000_seg_00057,030_mbc_13598238_20260711133000,SPEAKER_01,260.08,260.780005,0.7,success,耐えられるか?,success,耐えられるか?,True,7,7,0
,030_mbc_13598238_20260711133000_seg_00058,030_mbc_13598238_20260711133000,SPEAKER_02,277.12,279.76,2.64,success,よしいくぞ!,success,よしいくぞ!,True,6,6,0
,030_mbc_13598238_20260711133000_seg_00059,030_mbc_13598238_20260711133000,SPEAKER_02,284.08,286.48,2.4,success,ペノごめんなっとも!,success,ほっぺのごめんなさいま!,False,10,12,2
