segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,012_gbs_13556827_20260712151500_seg_00000,012_gbs_13556827_20260712151500,SPEAKER_00,0.64,1.28,0.64,success,ラジオ。,success,ラジオ。,True,4,4,0
,012_gbs_13556827_20260712151500_seg_00001,012_gbs_13556827_20260712151500,SPEAKER_01,1.36,2.06,0.7,success,岐阜県丸。,success,岐阜弁マルチ。,False,5,7,2
,012_gbs_13556827_20260712151500_seg_00002,012_gbs_13556827_20260712151500,SPEAKER_01,11.44,12.619999,1.18,success,まめにやってござるか。,success,まめにやってござるか。,True,11,11,0
,012_gbs_13556827_20260712151500_seg_00003,012_gbs_13556827_20260712151500,SPEAKER_00,14.32,15.36,1.04,success,もう回りました。,success,回りました。,False,8,6,-2
,012_gbs_13556827_20260712151500_seg_00004,012_gbs_13556827_20260712151500,SPEAKER_01,15.36,17.419999,2.06,success,おなじみのラジオ岐阜弁マルケの事務所。,success,おなじみのラジオ岐阜弁マルケの時間です。,False,19,20,1
,012_gbs_13556827_20260712151500_seg_00005,012_gbs_13556827_20260712151500,SPEAKER_01,18.64,19.36,0.72,success,たたく音。,success,たたく音。,True,5,5,0
,012_gbs_13556827_20260712151500_seg_00006,012_gbs_13556827_20260712151500,SPEAKER_00,19.36,21.739999,2.38,success,ビバこと三浦京子です。,success,ビバこと三浦京子です。,True,11,11,0
,012_gbs_13556827_20260712151500_seg_00007,012_gbs_13556827_20260712151500,SPEAKER_01,24.88,25.579998,0.7,success,江戸っ子。,success,江戸っ子。,True,5,5,0
,012_gbs_13556827_20260712151500_seg_00008,012_gbs_13556827_20260712151500,SPEAKER_01,36.88,37.579998,0.7,success,こんな感じでね。,success,こんな感じでね。,True,8,8,0
,012_gbs_13556827_20260712151500_seg_00009,012_gbs_13556827_20260712151500,SPEAKER_01,39.04,42.859997,3.82,success,昭和57年に亡くなられて。,success,そのお話がね昭和57年に亡くなられてまして。,False,13,22,9
,012_gbs_13556827_20260712151500_seg_00010,012_gbs_13556827_20260712151500,SPEAKER_01,45.52,46.219998,0.7,success,22歳のおじい。,success,12歳のおい。,False,8,7,-1
,012_gbs_13556827_20260712151500_seg_00011,012_gbs_13556827_20260712151500,SPEAKER_01,48.4,49.579998,1.18,success,池田先生がこんなことを。,success,池田先生がこんなことをおっしゃっていました。,False,12,22,10
,012_gbs_13556827_20260712151500_seg_00012,012_gbs_13556827_20260712151500,SPEAKER_01,53.76,56.779999,3.02,success,死の区別が分かりにくいのは昔からよくあります。,success,死の区別が分かりにくいのは昔からよくあることなんです。,False,23,27,4
,012_gbs_13556827_20260712151500_seg_00013,012_gbs_13556827_20260712151500,SPEAKER_01,58.48,59.179997,0.7,success,前の話だ。,success,前の話だ。,True,5,5,0
,012_gbs_13556827_20260712151500_seg_00014,012_gbs_13556827_20260712151500,SPEAKER_01,60.4,61.099999,0.7,success,東京の学校に。,success,今日の学校に行く。,False,7,9,2
,012_gbs_13556827_20260712151500_seg_00015,012_gbs_13556827_20260712151500,SPEAKER_01,62.32,63.979998,1.66,success,出身の音楽の先生が。,success,別府出身の音楽の先生が。,False,10,12,2
,012_gbs_13556827_20260712151500_seg_00016,012_gbs_13556827_20260712151500,SPEAKER_01,65.2,66.860003,1.66,success,イケイケ男児、日本。,success,イケイケダンジーに。,False,10,10,0
,012_gbs_13556827_20260712151500_seg_00017,012_gbs_13556827_20260712151500,SPEAKER_01,71.44,72.620001,1.18,success,先生のまねをして。,success,先生のまねをして。,True,9,9,0
,012_gbs_13556827_20260712151500_seg_00018,012_gbs_13556827_20260712151500,SPEAKER_01,79.12,80.300002,1.18,success,怒って生徒を叱った。,success,怒って生徒を叱った。,True,10,10,0
,012_gbs_13556827_20260712151500_seg_00019,012_gbs_13556827_20260712151500,SPEAKER_01,91.6,92.96,1.36,success,気の毒な話だけれども。,success,孤独な話だけれども。,False,11,10,-1
,012_gbs_13556827_20260712151500_seg_00020,012_gbs_13556827_20260712151500,SPEAKER_01,93.2,93.74,0.54,success,えと。,success,え。,False,3,2,-1
,012_gbs_13556827_20260712151500_seg_00021,012_gbs_13556827_20260712151500,SPEAKER_01,94.96,96.140002,1.18,success,ではその学問の上。,success,ではその学問の上からですね。,False,9,14,5
,012_gbs_13556827_20260712151500_seg_00022,012_gbs_13556827_20260712151500,SPEAKER_01,98.8,99.980002,1.18,success,標準語で。,success,標準語で。,True,5,5,0
,012_gbs_13556827_20260712151500_seg_00023,012_gbs_13556827_20260712151500,SPEAKER_01,101.6,103.68,2.08,success,こういう方、だんだん減ってきているけれども。,success,こういう方だんだん減ってきているけれども。,False,22,21,-1
,012_gbs_13556827_20260712151500_seg_00024,012_gbs_13556827_20260712151500,SPEAKER_01,104.16,105.74,1.58,success,まずそういうのはちょっと。,success,まずそういうのはちょっと。,True,13,13,0
,012_gbs_13556827_20260712151500_seg_00025,012_gbs_13556827_20260712151500,SPEAKER_01,106.96,107.660002,0.7,success,小バカにしたい。,success,小バカにしたい。,True,8,8,0
,012_gbs_13556827_20260712151500_seg_00026,012_gbs_13556827_20260712151500,SPEAKER_01,110.56,111.44,0.88,success,さあ書いてらっしゃる。,success,さあ書いてらっしゃる。,True,11,11,0
