segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,022_rsk_13603905_20260712200000_seg_00000,022_rsk_13603905_20260712200000,SPEAKER_00,2.48,7.6,5.12,success,ラジオネームジャイアント敦彦原案かが屋の自由律俳句ミニコント。,success,ラジオネームジャイアント篤彦原案かが屋の自由律俳句ミニコント。,False,31,31,0
,022_rsk_13603905_20260712200000_seg_00001,022_rsk_13603905_20260712200000,SPEAKER_01,8.4,11.04,2.64,success,あダメだなミスばっかりで。,success,あダメだなミスばっかりで。,True,13,13,0
,022_rsk_13603905_20260712200000_seg_00002,022_rsk_13603905_20260712200000,SPEAKER_00,12.24,14.08,1.84,success,何しょぼくれてんだよ。,success,何しょぼくれてんだよ。,True,11,11,0
,022_rsk_13603905_20260712200000_seg_00003,022_rsk_13603905_20260712200000,SPEAKER_01,14.48,15.52,1.04,success,課長。,success,課長。,True,3,3,0
,022_rsk_13603905_20260712200000_seg_00004,022_rsk_13603905_20260712200000,SPEAKER_00,16.16,17.2,1.04,success,コーヒーでも飲むか?,success,コーヒーでも飲むか?,True,10,10,0
,022_rsk_13603905_20260712200000_seg_00005,022_rsk_13603905_20260712200000,SPEAKER_01,18.8,21.44,2.64,success,あっガコンあっガコン。,success,あっ学校あっ学校。,False,11,9,-2
,022_rsk_13603905_20260712200000_seg_00006,022_rsk_13603905_20260712200000,SPEAKER_00,22.56,23.76,1.2,success,ブラックとどっちがいい?,success,ブラックとどっちがいい?,True,12,12,0
,022_rsk_13603905_20260712200000_seg_00007,022_rsk_13603905_20260712200000,SPEAKER_01,24.64,26.4,1.76,success,えっじゃじゃあブラックで。,success,えっじゃじゃあブラックで。,True,13,13,0
,022_rsk_13603905_20260712200000_seg_00008,022_rsk_13603905_20260712200000,SPEAKER_00,26.64,27.52,0.88,success,ちゃんと撮れよ。,success,ちゃんと撮れよ。,True,8,8,0
,022_rsk_13603905_20260712200000_seg_00009,022_rsk_13603905_20260712200000,SPEAKER_00,28.24,29.68,1.44,success,ほらよっと!,success,ほらよっと!,True,6,6,0
,022_rsk_13603905_20260712200000_seg_00010,022_rsk_13603905_20260712200000,SPEAKER_00,32.16,36.0,3.84,success,あっいやあっあっごめん大丈夫?,success,えっあっいやあっあっごめん大丈夫?,False,15,17,2
,022_rsk_13603905_20260712200000_seg_00011,022_rsk_13603905_20260712200000,SPEAKER_00,36.56,39.2,2.64,success,どどこえっおでこおでこ?,success,どどこえっおでこおでこ。,False,12,12,0
,022_rsk_13603905_20260712200000_seg_00012,022_rsk_13603905_20260712200000,SPEAKER_00,39.44,42.56,3.12,success,いやごめん普通に投げたらつまんないかなと思って。,success,ごいやごめん普通に投げたらつまんないかなと思って。,False,24,25,1
,022_rsk_13603905_20260712200000_seg_00013,022_rsk_13603905_20260712200000,SPEAKER_00,44.08,45.2,1.12,success,ごごめん。,success,ごごめん。,True,5,5,0
,022_rsk_13603905_20260712200000_seg_00014,022_rsk_13603905_20260712200000,SPEAKER_00,47.04,49.28,2.24,success,アンダースローでコーヒーを渡す。,success,アンダースローでコーヒーを渡す。,True,16,16,0
,022_rsk_13603905_20260712200000_seg_00015,022_rsk_13603905_20260712200000,SPEAKER_00,50.24,51.84,1.6,success,長屋の鶴の間。,success,輝の鶴の間。,False,7,6,-1
,022_rsk_13603905_20260712200000_seg_00016,022_rsk_13603905_20260712200000,SPEAKER_00,61.36,61.92,0.56,success,岡山県出身。,success,岡山県出身。,True,6,6,0
,022_rsk_13603905_20260712200000_seg_00017,022_rsk_13603905_20260712200000,SPEAKER_01,64.24,67.28,3.04,success,1週間よう頑張りすぎたね。,success,1週間よう頑張りすぎたね。,True,13,13,0
,022_rsk_13603905_20260712200000_seg_00018,022_rsk_13603905_20260712200000,SPEAKER_01,72.4,74.06,1.66,success,あちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょち,success,あちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょちょ,False,36,39,3
,022_rsk_13603905_20260712200000_seg_00019,022_rsk_13603905_20260712200000,SPEAKER_01,75.28,76.64,1.36,success,オラアグレートで来た?,success,トラアグレードで来たん?,False,11,12,1
,022_rsk_13603905_20260712200000_seg_00020,022_rsk_13603905_20260712200000,SPEAKER_01,77.2,80.56,3.36,success,ローラーブレードで来ちゃダメじゃろうね。,success,ローラーグレードで着ちゃダメじゃろうね。,False,20,20,0
,022_rsk_13603905_20260712200000_seg_00021,022_rsk_13603905_20260712200000,SPEAKER_01,82.0,83.68,1.68,success,あれちょっと!,success,ねえちょっと!え?,False,7,9,2
,022_rsk_13603905_20260712200000_seg_00022,022_rsk_13603905_20260712200000,SPEAKER_01,84.08,85.84,1.76,success,しょ小学生!?,success,しょな小学生!?,False,7,8,1
,022_rsk_13603905_20260712200000_seg_00023,022_rsk_13603905_20260712200000,SPEAKER_00,85.84,86.540003,0.7,success,6枚ぐぜ。,success,6倍いくぜ。,False,5,6,1
,022_rsk_13603905_20260712200000_seg_00024,022_rsk_13603905_20260712200000,SPEAKER_01,88.24,94.699999,6.46,success,女の子、小4にね、小4、小4、だめでしょ、ローラーブレードで来たらね。,success,あの子、小4にねっ、小4、小4、だめでしょ、ローラーブレードで来たらね。,False,35,36,1
,022_rsk_13603905_20260712200000_seg_00025,022_rsk_13603905_20260712200000,SPEAKER_01,100.24,103.36,3.12,success,連れてきちゃダメでしょ動物も。,success,連れてきちゃダメでしょ動物も。えっ何これ?,False,15,21,6
,022_rsk_13603905_20260712200000_seg_00026,022_rsk_13603905_20260712200000,SPEAKER_01,109.36,110.539999,1.18,success,バケルベロスなんこれの。,success,崖ルベロスなんこれの。,False,12,11,-1
,022_rsk_13603905_20260712200000_seg_00027,022_rsk_13603905_20260712200000,SPEAKER_01,115.52,116.24,0.72,success,よっちゃんって何?,success,よっちゃんって何?,True,9,9,0
,022_rsk_13603905_20260712200000_seg_00028,022_rsk_13603905_20260712200000,SPEAKER_00,119.36,120.32,0.96,success,すず、すず。,success,あのすずすず。,False,6,7,1
,022_rsk_13603905_20260712200000_seg_00029,022_rsk_13603905_20260712200000,SPEAKER_01,120.96,122.8,1.84,success,よ、ここら辺にはカードは。,success,はいようここら辺にはカードは。,False,13,15,2
,022_rsk_13603905_20260712200000_seg_00030,022_rsk_13603905_20260712200000,SPEAKER_01,123.2,123.980002,0.78,success,じゃあ息どうだ?,success,ばあちゃん行きのだ。,False,8,10,2
,022_rsk_13603905_20260712200000_seg_00031,022_rsk_13603905_20260712200000,SPEAKER_01,130.0,132.08,2.08,success,広島県出身、かが屋の賀屋蒼哉です。,success,広島県出身かが屋の賀屋壮也です。,False,17,16,-1
,022_rsk_13603905_20260712200000_seg_00032,022_rsk_13603905_20260712200000,SPEAKER_00,138.16,139.76,1.6,success,夏、えーっと待って、すずな。,success,夏えっと待ってすずな。,False,14,11,-3
,022_rsk_13603905_20260712200000_seg_00033,022_rsk_13603905_20260712200000,SPEAKER_00,144.4,145.2,0.8,success,21。,success,21。,True,3,3,0
,022_rsk_13603905_20260712200000_seg_00034,022_rsk_13603905_20260712200000,SPEAKER_01,153.52,154.219992,0.7,success,確かにアイシューズ。,success,確かにアイシューズ。,True,10,10,0
