segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,023_rnb_13611676_20260714100000_seg_00000,023_rnb_13611676_20260714100000,SPEAKER_00,20.5,21.259999,0.76,success,家藤正人。,success,家藤正人さん。,False,5,7,2
,023_rnb_13611676_20260714100000_seg_00001,023_rnb_13611676_20260714100000,SPEAKER_01,22.42,23.659998,1.24,success,週来週の兼題。,success,修来週の兼題。,False,7,7,0
,023_rnb_13611676_20260714100000_seg_00002,023_rnb_13611676_20260714100000,SPEAKER_01,24.819999,25.579998,0.76,success,大ホタルと。,empty_text,,False,6,0,-6
,023_rnb_13611676_20260714100000_seg_00003,023_rnb_13611676_20260714100000,SPEAKER_01,31.059999,31.819999,0.76,success,は風花。,success,まあ風花。,False,4,5,1
,023_rnb_13611676_20260714100000_seg_00004,023_rnb_13611676_20260714100000,SPEAKER_00,34.48,37.12,2.64,success,橋の下不?? 蛍となりし闇。,success,橋の下不 ?? 蛍となりしやみ。,False,14,16,2
,023_rnb_13611676_20260714100000_seg_00005,023_rnb_13611676_20260714100000,SPEAKER_01,37.84,39.019997,1.18,success,不相ホタルとは?,success,不?? 蛍となり。,False,8,9,1
,023_rnb_13611676_20260714100000_seg_00006,023_rnb_13611676_20260714100000,SPEAKER_01,42.099998,43.339999,1.24,success,おかしかったよね、今回。,success,おかしかったよね今回。,False,12,11,-1
,023_rnb_13611676_20260714100000_seg_00007,023_rnb_13611676_20260714100000,SPEAKER_01,45.52,47.179997,1.66,success,青葉。,success,グミです。,False,3,5,2
,023_rnb_13611676_20260714100000_seg_00008,023_rnb_13611676_20260714100000,SPEAKER_01,49.36,50.539997,1.18,success,配合変えたのね。,success,俳句を変えたのね。,False,8,9,1
,023_rnb_13611676_20260714100000_seg_00009,023_rnb_13611676_20260714100000,SPEAKER_01,52.24,55.339997,3.1,success,希子が配合を変えました。,success,月子が配合を変えました。,False,12,12,0
,023_rnb_13611676_20260714100000_seg_00010,023_rnb_13611676_20260714100000,SPEAKER_01,56.5,57.259999,0.76,success,おはようございますという。,success,青バナナでございますという。,False,13,14,1
,023_rnb_13611676_20260714100000_seg_00011,023_rnb_13611676_20260714100000,SPEAKER_00,58.899997,61.12,2.22,success,死の不遭ホタルとなる予感。,success,死の不装蛍となる予感。,False,13,11,-2
,023_rnb_13611676_20260714100000_seg_00012,023_rnb_13611676_20260714100000,SPEAKER_01,64.24,65.42,1.18,success,それから古い感じ。,success,それから古い感じで。,False,9,10,1
,023_rnb_13611676_20260714100000_seg_00013,023_rnb_13611676_20260714100000,SPEAKER_01,68.020002,70.220004,2.2,success,ちからのさんかおうちで俳句か。,success,一からの参加おうちで俳句。,False,15,13,-2
,023_rnb_13611676_20260714100000_seg_00014,023_rnb_13611676_20260714100000,SPEAKER_00,72.820001,75.020003,2.2,success,光る不 ?? ホタルとなる墓場。,success,光るフソホタルとなる墓場。,False,16,13,-3
,023_rnb_13611676_20260714100000_seg_00015,023_rnb_13611676_20260714100000,SPEAKER_01,78.64,80.32,1.68,success,パンジーズまつばあちゃん。,success,パンジーズまつばあちゃん。,True,13,13,0
,023_rnb_13611676_20260714100000_seg_00016,023_rnb_13611676_20260714100000,SPEAKER_00,80.4,83.52,3.12,success,不装蛍となる本日街の清掃日。,success,不 ?? ホタルとなる本日町の清掃日。,False,14,19,5
