segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,009_kbs_13593443_20260712130000_seg_00000,009_kbs_13593443_20260712130000,SPEAKER_00,9.6,10.4,0.8,success,先輩!,success,出発!,False,3,3,0
,009_kbs_13593443_20260712130000_seg_00001,009_kbs_13593443_20260712130000,SPEAKER_00,24.339999,27.2,2.86,success,です、音と汗です。,success,ですおととらせです。,False,9,10,1
,009_kbs_13593443_20260712130000_seg_00002,009_kbs_13593443_20260712130000,SPEAKER_01,27.2,28.939999,1.74,success,言うてやっております。,success,さやいうてやっております。,False,11,13,2
,009_kbs_13593443_20260712130000_seg_00003,009_kbs_13593443_20260712130000,SPEAKER_01,30.16,32.56,2.4,success,なんかもう、その、ジングルなったときに。,success,なんかもうそのジングルになった時に。,False,20,18,-2
,009_kbs_13593443_20260712130000_seg_00004,009_kbs_13593443_20260712130000,SPEAKER_01,35.76,36.56,0.8,success,一体?,success,一体?,True,3,3,0
,009_kbs_13593443_20260712130000_seg_00005,009_kbs_13593443_20260712130000,SPEAKER_01,37.76,40.24,2.48,success,全部口出す、その、なんなん、悟られ、お前。,success,全部口出すその何なん悟られお前。,False,21,16,-5
,009_kbs_13593443_20260712130000_seg_00006,009_kbs_13593443_20260712130000,SPEAKER_01,41.92,43.52,1.6,success,言ってんの、これ、やっぱり、俺だけに聞こえてるの。,success,言ってんの、これ、やっぱり、俺だけに聞こえてるの。,True,25,25,0
,009_kbs_13593443_20260712130000_seg_00007,009_kbs_13593443_20260712130000,SPEAKER_00,47.2,48.4,1.2,success,出てくる古い!,success,出てくる古い!,True,7,7,0
,009_kbs_13593443_20260712130000_seg_00008,009_kbs_13593443_20260712130000,SPEAKER_00,57.04,58.16,1.12,success,レトといいますと。,success,レッドといま。,False,9,7,-2
,009_kbs_13593443_20260712130000_seg_00009,009_kbs_13593443_20260712130000,SPEAKER_00,59.12,59.659998,0.54,success,じゃあなえ。,success,じゃあなえっと。,False,6,8,2
,009_kbs_13593443_20260712130000_seg_00010,009_kbs_13593443_20260712130000,SPEAKER_00,60.88,61.84,0.96,success,うん。,success,うん。,True,3,3,0
,009_kbs_13593443_20260712130000_seg_00011,009_kbs_13593443_20260712130000,SPEAKER_00,62.16,64.460001,2.3,success,ちょっと先々週、ちらっと、これ、オフエアのときに。,success,ちょっと先々週ちらっとこれオフエアのときに。,False,25,22,-3
,009_kbs_13593443_20260712130000_seg_00012,009_kbs_13593443_20260712130000,SPEAKER_00,68.500002,72.16,3.66,success,あれやん、お兄ちゃんが映画のファスト映画紹介。,success,あれやんお兄ちゃんが映画のファスト映画紹介。,False,23,22,-1
,009_kbs_13593443_20260712130000_seg_00013,009_kbs_13593443_20260712130000,SPEAKER_00,72.72,73.6,0.88,success,僕がちょっとあの。,success,僕がちょっとあの。,True,9,9,0
,009_kbs_13593443_20260712130000_seg_00014,009_kbs_13593443_20260712130000,SPEAKER_00,74.96,78.0,3.04,success,人間じゃないわ映画なんやったっけ?,success,あの人間じゃないわ映画何やったっけ?,False,17,18,1
,009_kbs_13593443_20260712130000_seg_00015,009_kbs_13593443_20260712130000,SPEAKER_00,78.96,81.2,2.24,success,人格ちゃうわなんやったっけ?,success,人格ちゃうわ何やったっけ?,False,14,13,-1
,009_kbs_13593443_20260712130000_seg_00016,009_kbs_13593443_20260712130000,SPEAKER_01,81.28,82.4,1.12,success,国宝ですか?,success,国宝ですか?,True,6,6,0
,009_kbs_13593443_20260712130000_seg_00017,009_kbs_13593443_20260712130000,SPEAKER_01,83.44,86.56,3.12,success,どんな間違い、人間、人格。,success,どんな間違い、人間、人格。,True,13,13,0
,009_kbs_13593443_20260712130000_seg_00018,009_kbs_13593443_20260712130000,SPEAKER_00,90.0,90.56,0.56,success,ファスト。,success,ファスト。,True,5,5,0
,009_kbs_13593443_20260712130000_seg_00019,009_kbs_13593443_20260712130000,SPEAKER_00,91.76,94.16,2.4,success,すみません、ちょっとワールドカップ期間で、こいつ。,success,すいませんちょっとワールドカップ期間で来ない。,False,25,23,-2
,009_kbs_13593443_20260712130000_seg_00020,009_kbs_13593443_20260712130000,SPEAKER_00,95.6,97.44,1.84,success,宇宙戦争を見てきましたので。,success,宇宙戦争を見てきましたので。,True,14,14,0
