segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,011_gbs_13556817_20260712100000_seg_00000,011_gbs_13556817_20260712100000,SPEAKER_00,17.52,19.6,2.08,success,流れ星のキッズスクール!,success,流れ星のキッズスクール!,True,12,12,0
,011_gbs_13556817_20260712100000_seg_00001,011_gbs_13556817_20260712100000,SPEAKER_00,24.0,26.539999,2.54,success,流れ星のキッズスクールは岩立。,success,流れ星のキッズスクールは岩田鉄工。,False,15,17,2
,011_gbs_13556817_20260712100000_seg_00002,011_gbs_13556817_20260712100000,SPEAKER_00,48.4,49.2,0.8,success,うん。,success,うん。,True,3,3,0
,011_gbs_13556817_20260712100000_seg_00003,011_gbs_13556817_20260712100000,SPEAKER_00,52.72,53.419999,0.7,success,今世界は。,success,今世界は。,True,5,5,0
,011_gbs_13556817_20260712100000_seg_00004,011_gbs_13556817_20260712100000,SPEAKER_00,61.84,62.539997,0.7,success,いつの君たち。,success,1の君たち。,False,7,6,-1
,011_gbs_13556817_20260712100000_seg_00005,011_gbs_13556817_20260712100000,SPEAKER_00,66.16,67.340002,1.18,success,大悟さん。,success,ねえ大木さん。,False,5,7,2
,011_gbs_13556817_20260712100000_seg_00006,011_gbs_13556817_20260712100000,SPEAKER_00,91.060003,91.820002,0.76,success,剣道があったらみんな。,success,剣道があったらみんな。,True,11,11,0
,011_gbs_13556817_20260712100000_seg_00007,011_gbs_13556817_20260712100000,SPEAKER_00,94.96,97.100001,2.14,success,世界大会みたいなのやるときは、めっちゃ。,success,世界大会みたいなのやる時はめっちゃ。,False,20,18,-2
,011_gbs_13556817_20260712100000_seg_00008,011_gbs_13556817_20260712100000,SPEAKER_00,101.62,105.74,4.12,success,これがヤツイフェスっていうエリックコミックの谷津井さんがね毎年主催してる。,success,これがヤツイフェスっていうエリックコミックの谷井さんがね毎年主催してる。,False,37,36,-1
,011_gbs_13556817_20260712100000_seg_00009,011_gbs_13556817_20260712100000,SPEAKER_00,111.76,112.56,0.8,success,全あれ終わったもん。,success,200あれ終わったばっかり。,False,10,14,4
,011_gbs_13556817_20260712100000_seg_00010,011_gbs_13556817_20260712100000,SPEAKER_00,113.52,114.860003,1.34,success,すごかったのよね。,success,200あれ終わったばっかりやんいやすごかったのよね。,False,9,26,17
,011_gbs_13556817_20260712100000_seg_00011,011_gbs_13556817_20260712100000,SPEAKER_00,118.48,119.28,0.8,success,先帰ってたから。,success,先帰ってたから。,True,8,8,0
,011_gbs_13556817_20260712100000_seg_00012,011_gbs_13556817_20260712100000,SPEAKER_00,121.04,125.76,4.72,success,ランブル交差点、すごかった、ニュースにもなったようなね、もうまさにあれ。,success,だからちょうどスクランブル交差点、すごかった、ニュースにもなったようなね、もうまさにあれ。,False,36,45,9
,011_gbs_13556817_20260712100000_seg_00013,011_gbs_13556817_20260712100000,SPEAKER_00,128.08,128.8,0.72,success,すごかった。,success,狂気ランプでしょ。,False,6,9,3
,011_gbs_13556817_20260712100000_seg_00014,011_gbs_13556817_20260712100000,SPEAKER_01,128.88,130.96,2.08,success,だって4対0で勝ってたからね。,success,ニーパーっつって、うん、すごかった、だって、4対0で勝ったからね。,False,15,33,18
,011_gbs_13556817_20260712100000_seg_00015,011_gbs_13556817_20260712100000,SPEAKER_00,131.04,132.88,1.84,success,うん俺全然分かってないんだけど。,success,だって4対0で勝ったからね。,False,16,14,-2
,011_gbs_13556817_20260712100000_seg_00016,011_gbs_13556817_20260712100000,SPEAKER_01,133.76,134.64,0.88,success,djポリスいた?,success,全然分かってないんだけどdjポリスいた?,False,8,20,12
,011_gbs_13556817_20260712100000_seg_00017,011_gbs_13556817_20260712100000,SPEAKER_00,134.64,137.36,2.72,success,いた、すんげえ警察官もいて。,success,いたすんげえ警察官もいて。,False,14,13,-1
,011_gbs_13556817_20260712100000_seg_00018,011_gbs_13556817_20260712100000,SPEAKER_00,137.68,155.52,17.84,success,ただなんか、俺は、なんか迷惑だなとかは思わなかったね、なんか、ああ、やっぱりね、日本をみんな応援してるんだ、日本のこと愛してるんだなと思ったんだけど、あまりにも人が多すぎて、渋谷の駅、ちょっと無理だから、原宿まで歩きましたけど、そのときは。,success,すげえ警察官もいて、ただなんか、俺は、なんか迷惑だなとかは思わなかったね、なんか、ああ、やっぱりね、日本をみんな応援してるんだ、日本のこと愛してるんだなと思ったんだけど、あまりにも人が多すぎて、渋谷の駅、ちょっと無理だから、原宿まで歩きましたけど、そのときは。,False,120,130,10
,011_gbs_13556817_20260712100000_seg_00019,011_gbs_13556817_20260712100000,SPEAKER_00,156.08,157.2,1.12,success,何も思わなかった。,success,でも何も思わなかった。,False,9,11,2
,011_gbs_13556817_20260712100000_seg_00020,011_gbs_13556817_20260712100000,SPEAKER_01,157.44,160.88,3.44,success,駅行くまでに結構改札通るまで大変時間かかる。,success,だって駅行くまでに結構改札通るまで大変時間かかるでしょ。,False,22,28,6
,011_gbs_13556817_20260712100000_seg_00021,011_gbs_13556817_20260712100000,SPEAKER_01,162.32,162.88,0.56,success,混んでた?,success,返事がかかりそうやもんな。,False,5,13,8
,011_gbs_13556817_20260712100000_seg_00022,011_gbs_13556817_20260712100000,SPEAKER_00,162.88,166.32,3.44,success,いや、全然、でもやっぱ何人か、その日本代表の。,success,いや全然まあでもやっぱ何人かその日本代表の。,False,23,22,-1
,011_gbs_13556817_20260712100000_seg_00023,011_gbs_13556817_20260712100000,SPEAKER_01,166.4,167.28,0.88,success,チノラーみたいなやついた?,success,でもやっぱ何人か日本代表のシノラーみたいなやついた?,False,13,26,13
,011_gbs_13556817_20260712100000_seg_00024,011_gbs_13556817_20260712100000,SPEAKER_00,167.52,173.12,5.6,success,村、何年前だわ、日本代表のね、コスチュームというか、着てる人、何人かいましたけど。,success,日本代表の、シノラー、何年前だわ、日本代表のね、コスチュームというか、着てる人、何人かいましたけど。,False,41,50,9
,011_gbs_13556817_20260712100000_seg_00025,011_gbs_13556817_20260712100000,SPEAKER_00,173.76,176.8,3.04,success,もうなんか、いつもだったらね、すごいクレーム、ばんばん言うと。,success,来てる人、何人かいましたけど、何もなんか、いつもだったらね、すぐクレーム、ばんばん言うと。,False,31,45,14
,011_gbs_13556817_20260712100000_seg_00026,011_gbs_13556817_20260712100000,SPEAKER_01,177.76,178.72,0.96,success,やっぱ丸くなったのかな。,success,やっぱ丸くなったのかな?,False,12,12,0
,011_gbs_13556817_20260712100000_seg_00027,011_gbs_13556817_20260712100000,SPEAKER_01,179.68,181.92,2.24,success,あの今のさ野生フェスで思い出したんだけど。,success,俺あの今のさ八つ井フェスで思い出したんだけど。,False,21,23,2
