segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,014_fmmie_13587080_20260712110000_seg_00000,014_fmmie_13587080_20260712110000,SPEAKER_00,33.459999,40.459999,7.0,success,時刻は11時を回りました菊池風磨awartstokyommoキーステーションに全国38曲を熱唱してお送りします。,success,時刻は11時を回りました菊池風磨awartstokyofmoキーステーションに全国38曲を熱唱してお送りします。,False,56,56,0
,014_fmmie_13587080_20260712110000_seg_00001,014_fmmie_13587080_20260712110000,SPEAKER_00,41.68,42.379998,0.7,success,メッセージをご紹介します。,success,メッセージをご紹介します。,True,13,13,0
,014_fmmie_13587080_20260712110000_seg_00002,014_fmmie_13587080_20260712110000,SPEAKER_00,44.5,46.16,1.66,success,レオナさんから頂きました。,success,レオナさんから頂きました。,True,13,13,0
,014_fmmie_13587080_20260712110000_seg_00003,014_fmmie_13587080_20260712110000,SPEAKER_00,48.34,55.339997,7.0,success,真夜中に聞くバイクの音が怖くなりました子供の頃の何かのトラウマなのか他の理由でなのか。,success,真夜中に聞くバイクの音が怖くなりました子供の頃の何かのトラウマなのか他の理由でなのか。,True,43,43,0
,014_fmmie_13587080_20260712110000_seg_00004,014_fmmie_13587080_20260712110000,SPEAKER_00,56.5,68.300002,11.8,success,理由は分からないですがとにかく怖くなってふとんにくるまってしまいます風磨君にも理由はよく分からないけどなぜか怖くなってしまうことって何かありますか?,success,の理由でなのか理由は分からないですがとにかく怖くなってふとんにくるまってしまいます風磨君にも理由はよく分からないけどなぜか怖くなってしまうことって何かありますか?,False,74,81,7
,014_fmmie_13587080_20260712110000_seg_00005,014_fmmie_13587080_20260712110000,SPEAKER_00,71.860002,72.620001,0.76,success,好きなんですけど。,success,好きなんですけど。,True,9,9,0
,014_fmmie_13587080_20260712110000_seg_00006,014_fmmie_13587080_20260712110000,SPEAKER_00,75.36,76.940001,1.58,success,なんか足がつかなくなった途端。,success,何か足がつかなくなった途端っす。,False,15,16,1
,014_fmmie_13587080_20260712110000_seg_00007,014_fmmie_13587080_20260712110000,SPEAKER_00,81.52,82.700003,1.18,success,あとなんかたまにひんやり。,success,あと何かたまにひんやり。,False,13,12,-1
,014_fmmie_13587080_20260712110000_seg_00008,014_fmmie_13587080_20260712110000,SPEAKER_00,88.72,92.08,3.36,success,僕はあれですけど急に冷たくなる時怖い。,success,なんかあれですけど急に冷たくなる時怖い。,False,19,20,1
,014_fmmie_13587080_20260712110000_seg_00009,014_fmmie_13587080_20260712110000,SPEAKER_00,93.52,94.22,0.7,success,ゾクッとする。,success,怖いえゾクッとする。,False,7,10,3
,014_fmmie_13587080_20260712110000_seg_00010,014_fmmie_13587080_20260712110000,SPEAKER_00,98.32,99.500002,1.18,success,何かに足つかまれる。,success,何かに足つかまれるんだ。,False,10,12,2
,014_fmmie_13587080_20260712110000_seg_00011,014_fmmie_13587080_20260712110000,SPEAKER_00,103.68,104.24,0.56,success,あの。,success,あの。,True,3,3,0
,014_fmmie_13587080_20260712110000_seg_00012,014_fmmie_13587080_20260712110000,SPEAKER_00,105.2,108.620001,3.42,success,山、川、海だったらもう圧倒的に海派ですし。,success,あの山川海だったらもう圧倒的に海派ですし。,False,21,21,0
,014_fmmie_13587080_20260712110000_seg_00013,014_fmmie_13587080_20260712110000,SPEAKER_00,110.32,116.780001,6.46,success,釣るのも好きだし夏だけじゃなくて冬の海も好きだしでも何かこう入った時のあの何とも言えないこの。,success,逗子するのも好きだし夏だけじゃなくて冬の海も好きだしでも何かこう入った時のあの何とも言えないこの。,False,47,49,2
,014_fmmie_13587080_20260712110000_seg_00014,014_fmmie_13587080_20260712110000,SPEAKER_00,119.76,125.42,5.66,success,確かにないんですけどね、例えば、ちっちゃいときに溺れかけたとか、そういうのとかもないんです。,success,確かにないんですけどね例えばちっちゃい時に溺れかけたとかそういうのとかもないんですよね。,False,46,44,-2
,014_fmmie_13587080_20260712110000_seg_00015,014_fmmie_13587080_20260712110000,SPEAKER_00,126.64,127.820002,1.18,success,ないんですよね。,success,ワインですよね。,False,8,8,0
,014_fmmie_13587080_20260712110000_seg_00016,014_fmmie_13587080_20260712110000,SPEAKER_00,129.04,129.739989,0.7,success,あります?,success,ツヨねあります?,False,5,8,3
,014_fmmie_13587080_20260712110000_seg_00017,014_fmmie_13587080_20260712110000,SPEAKER_00,131.92,133.099989,1.18,success,何か理由はないけど。,success,何か理由はないけど。,True,10,10,0
,014_fmmie_13587080_20260712110000_seg_00018,014_fmmie_13587080_20260712110000,SPEAKER_00,136.32,137.12,0.8,success,そんなもんだね。,success,そんなもんだね。,True,8,8,0
,014_fmmie_13587080_20260712110000_seg_00019,014_fmmie_13587080_20260712110000,SPEAKER_00,138.4,139.92,1.52,success,ってことで今日の1曲目ですが。,success,そんなもんだね。ということで今日の1曲目ですが。,False,15,24,9
,014_fmmie_13587080_20260712110000_seg_00020,014_fmmie_13587080_20260712110000,SPEAKER_01,244.24,245.419989,1.18,success,アンスフェリー。,success,アンスフェリー。,True,8,8,0
,014_fmmie_13587080_20260712110000_seg_00021,014_fmmie_13587080_20260712110000,SPEAKER_00,348.08,350.72,2.64,success,落ち着くし、癖になるっていうね。,success,落ち着くし癖になるっていうね。,False,16,15,-1
