segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,010_sbc_13587149_20260712180500_seg_00000,010_sbc_13587149_20260712180500,SPEAKER_00,0.72,2.24,1.52,success,見るべきポイントは。,success,見るべきポイントは。,True,10,10,0
,010_sbc_13587149_20260712180500_seg_00001,010_sbc_13587149_20260712180500,SPEAKER_00,3.04,4.0,0.96,success,おしり。,success,べきポイントはお尻。,False,4,10,6
,010_sbc_13587149_20260712180500_seg_00002,010_sbc_13587149_20260712180500,SPEAKER_00,5.04,7.34,2.3,success,中澤敬子のウッピーステーション。,success,お尻中澤啓子のウッピーステーション。,False,16,18,2
,010_sbc_13587149_20260712180500_seg_00003,010_sbc_13587149_20260712180500,SPEAKER_00,44.02,44.779999,0.76,success,中美容にも。,success,何か美容にも。,False,6,7,1
,010_sbc_13587149_20260712180500_seg_00004,010_sbc_13587149_20260712180500,SPEAKER_00,77.140001,78.38,1.24,success,もっと広がってるものがあります。,success,パッと広がってるものがあります。,False,16,16,0
,010_sbc_13587149_20260712180500_seg_00005,010_sbc_13587149_20260712180500,SPEAKER_00,86.740003,87.500002,0.76,success,テールものほど。,success,ているもの欲しい。,False,8,9,1
,010_sbc_13587149_20260712180500_seg_00006,010_sbc_13587149_20260712180500,SPEAKER_00,143.44,144.619994,1.18,success,ご提供でオープン!,success,オープン!,False,9,5,-4
,010_sbc_13587149_20260712180500_seg_00007,010_sbc_13587149_20260712180500,SPEAKER_00,155.76,157.68,1.92,success,ユーグループインフォメーション。,success,ユーグループインフォメーション。,True,16,16,0
,010_sbc_13587149_20260712180500_seg_00008,010_sbc_13587149_20260712180500,SPEAKER_00,176.08,176.779997,0.7,success,いいなトヨタの船。,success,喜奈とよたのふた。,False,9,9,0
,010_sbc_13587149_20260712180500_seg_00009,010_sbc_13587149_20260712180500,SPEAKER_00,230.8,231.979994,1.18,success,ピックアップヒューマン。,success,ピックアップヒューマン。,True,12,12,0
