segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,018_bss_13550799_20260711220000_seg_00000,018_bss_13550799_20260711220000,SPEAKER_00,2.32,3.6,1.28,success,こんばんは。,success,こんばんは。,True,6,6,0
,018_bss_13550799_20260711220000_seg_00001,018_bss_13550799_20260711220000,SPEAKER_01,3.68,5.92,2.24,success,うわ、うわっ、裏切られた。,success,うわうわ裏切られた。,False,13,10,-3
,018_bss_13550799_20260711220000_seg_00002,018_bss_13550799_20260711220000,SPEAKER_00,5.92,7.36,1.44,success,もう一度、お願いします。,success,もう一度お願いします。,False,12,11,-1
,018_bss_13550799_20260711220000_seg_00003,018_bss_13550799_20260711220000,SPEAKER_00,7.84,8.88,1.04,success,ちょっと時間切れちゃった。,success,ちょっと時間切れちゃった。,True,13,13,0
,018_bss_13550799_20260711220000_seg_00004,018_bss_13550799_20260711220000,SPEAKER_00,11.76,16.8,5.04,success,2人合わせてさやかなです。,success,2人合わせて、さや香です。,False,13,13,0
,018_bss_13550799_20260711220000_seg_00005,018_bss_13550799_20260711220000,SPEAKER_01,19.28,21.52,2.24,success,1人で私こんばんはってさっき言っちゃった。,success,1人で私こんばんはってさっき言っちゃった。,True,21,21,0
,018_bss_13550799_20260711220000_seg_00006,018_bss_13550799_20260711220000,SPEAKER_00,23.12,24.56,1.44,success,ちょっと今日ねこのあと。,success,ちょっと今日ねこのあと。,True,12,12,0
,018_bss_13550799_20260711220000_seg_00007,018_bss_13550799_20260711220000,SPEAKER_00,25.12,26.24,1.12,success,大事な仕事が1本。,success,大事な仕事が1本。,True,9,9,0
,018_bss_13550799_20260711220000_seg_00008,018_bss_13550799_20260711220000,SPEAKER_01,26.24,27.44,1.2,success,ああはいきっと。,success,ああはい。,False,8,5,-3
,018_bss_13550799_20260711220000_seg_00009,018_bss_13550799_20260711220000,SPEAKER_01,27.92,28.56,0.64,success,だよねそうそう。,success,だよね笹。,False,8,5,-3
,018_bss_13550799_20260711220000_seg_00010,018_bss_13550799_20260711220000,SPEAKER_01,31.68,32.48,0.8,success,えっうそ?,success,えっうそ?,True,5,5,0
,018_bss_13550799_20260711220000_seg_00011,018_bss_13550799_20260711220000,SPEAKER_01,33.2,34.72,1.52,success,やっぱ色めっちゃいいね。,success,やっぱ色めっちゃいいね。,True,12,12,0
,018_bss_13550799_20260711220000_seg_00012,018_bss_13550799_20260711220000,SPEAKER_01,35.44,37.12,1.68,success,あ口整ってるよ。,success,ああ口整ってるよ。,False,8,9,1
,018_bss_13550799_20260711220000_seg_00013,018_bss_13550799_20260711220000,SPEAKER_00,37.2,40.8,3.6,success,なんか眉毛されたそうじゃないですか。,success,リパート、なんか眉毛されたそうじゃないですか。,False,18,23,5
,018_bss_13550799_20260711220000_seg_00014,018_bss_13550799_20260711220000,SPEAKER_01,40.8,42.96,2.16,success,はい、眉毛を施しまして。,success,はい眉毛を施しまして。,False,12,11,-1
,018_bss_13550799_20260711220000_seg_00015,018_bss_13550799_20260711220000,SPEAKER_00,42.96,43.84,0.88,success,きれいですね。,success,きれいですね。,True,7,7,0
,018_bss_13550799_20260711220000_seg_00016,018_bss_13550799_20260711220000,SPEAKER_01,43.92,52.8,8.88,success,先週に施しましてすごくナチュラルありがとうございますえっ聞きたい何ですか先週だからさまだまだ眉マスカラとか塗っちゃダメだよね。,success,えっ先週に施しましてすごくナチュラルありがとうございますえっ聞きたい何ですか先週だからさまだまだ眉マスカラとか塗っちゃダメだよね。,False,63,65,2
,018_bss_13550799_20260711220000_seg_00017,018_bss_13550799_20260711220000,SPEAKER_00,53.68,56.4,2.72,success,なんか眉染めていいのは1か月後からです。,success,何か眉染めていいのは1か月後からです。,False,20,19,-1
,018_bss_13550799_20260711220000_seg_00018,018_bss_13550799_20260711220000,SPEAKER_01,56.48,64.64,8.16,success,染めるってって思ったけど染めたほうがいいかもって思ったアートメイクの地の色と自分の眉毛の色が若干違うんだよね。,success,染めるってと思ったけど染めたほうがいいかもって思ったアートメイクの地の色と自分の眉毛の色が若干違うんだよね。,False,55,54,-1
,018_bss_13550799_20260711220000_seg_00019,018_bss_13550799_20260711220000,SPEAKER_00,64.72,66.16,1.44,success,これはあるあるなんですね。,success,これはあるあるなんですね。,True,13,13,0
,018_bss_13550799_20260711220000_seg_00020,018_bss_13550799_20260711220000,SPEAKER_01,66.4,67.36,0.96,success,えっそめた?,success,えっ染めた?,False,6,6,0
,018_bss_13550799_20260711220000_seg_00021,018_bss_13550799_20260711220000,SPEAKER_00,67.76,68.32,0.56,success,いまはさ。,success,今はさ。,False,5,4,-1
,018_bss_13550799_20260711220000_seg_00022,018_bss_13550799_20260711220000,SPEAKER_00,68.56,69.12,0.56,success,でないんだけど。,success,出ないんだけど。,False,8,8,0
,018_bss_13550799_20260711220000_seg_00023,018_bss_13550799_20260711220000,SPEAKER_00,69.68,82.24,12.56,success,マスカラで色を入れるか、それかやっぱ脱色して、色を落とすか、脱色か、どっちかにしないと、やっぱそのアートメークの色とはちぐはぐしちゃう。,success,マスカラで色を入れるかそれかやっぱ脱色して色を落とすか脱色かどっちかにしないとやっぱそのアートメイクの色とはちぐはぐしちゃう。,False,68,63,-5
,018_bss_13550799_20260711220000_seg_00024,018_bss_13550799_20260711220000,SPEAKER_00,83.12,86.8,3.68,success,だって真っ黒入れちゃうとさヘアカラーがブラウンだったりするから。,success,だって真っ黒入れちゃうとさヘアカラーがブラウンだったりするから。,True,32,32,0
,018_bss_13550799_20260711220000_seg_00025,018_bss_13550799_20260711220000,SPEAKER_01,87.04,87.76,0.72,success,だよね。,success,だよね。,True,4,4,0
,018_bss_13550799_20260711220000_seg_00026,018_bss_13550799_20260711220000,SPEAKER_01,88.88,91.84,2.96,success,お姉さんもいいところを攻めてくれた。,success,お姉さんもいいところを攻めてくれた。,True,18,18,0
,018_bss_13550799_20260711220000_seg_00027,018_bss_13550799_20260711220000,SPEAKER_01,92.24,95.36,3.12,success,生きるほうがいいですか、どんなのがいいですか、いや、ちょっと浮くのあんまり。,success,切る方がいいですかどんなのがいいですかいやちょっと浮くのあんまり。,False,38,33,-5
,018_bss_13550799_20260711220000_seg_00028,018_bss_13550799_20260711220000,SPEAKER_01,96.56,97.92,1.36,success,ナチュラルな感じで。,success,ナチュラルな感じで。,True,10,10,0
,018_bss_13550799_20260711220000_seg_00029,018_bss_13550799_20260711220000,SPEAKER_00,98.8,100.88,2.08,success,いやでもこれは正しい選択だと思う。,success,いやでもこれは正しい選択だと思う。,True,17,17,0
,018_bss_13550799_20260711220000_seg_00030,018_bss_13550799_20260711220000,SPEAKER_00,101.6,103.2,1.6,success,メイクでどうにでもなるからあっ!,success,メイクでどうにでもなるから。,False,16,14,-2
,018_bss_13550799_20260711220000_seg_00031,018_bss_13550799_20260711220000,SPEAKER_01,104.0,108.0,4.0,success,これはじゃあ眉マスカラをここに塗りつけたらいい感じになるよという。,success,これはじゃあ眉マスカラをここに塗りつけたらいい感じになるよという。,True,33,33,0
,018_bss_13550799_20260711220000_seg_00032,018_bss_13550799_20260711220000,SPEAKER_00,108.4,111.68,3.28,success,だし正直施術後一緒。,success,だし正直施術後一回。,False,10,10,0
,018_bss_13550799_20260711220000_seg_00033,018_bss_13550799_20260711220000,SPEAKER_00,111.92,115.52,3.6,success,1週間はあんまりまゆいじんないでねって言われてたんだけど。,success,1週間はあんまり真夕いじんないでねって言われてたんだけど。,False,29,29,0
,018_bss_13550799_20260711220000_seg_00034,018_bss_13550799_20260711220000,SPEAKER_00,116.0,118.32,2.32,success,どうしてもテレビに出るじゃん。,success,どうしてもテレビに出るじゃん。,True,15,15,0
,018_bss_13550799_20260711220000_seg_00035,018_bss_13550799_20260711220000,SPEAKER_00,119.12,122.88,3.76,success,そういうときはもう、しかたなく眉マスカラを眉毛たちにばれないように。,success,そういう時はもうしかたなく眉マスカラを眉毛たちにバレないように。,False,34,32,-2
,018_bss_13550799_20260711220000_seg_00036,018_bss_13550799_20260711220000,SPEAKER_00,123.6,125.2,1.6,success,失礼いたします。,success,失礼いたします。,True,8,8,0
,018_bss_13550799_20260711220000_seg_00037,018_bss_13550799_20260711220000,SPEAKER_00,125.84,129.2,3.36,success,サスッサッて塗ってた起きてないあっ起きてないよ起きてない。,success,サスッサッて塗ってた起きてないあっ起きてないよ起きてない。,True,29,29,0
,018_bss_13550799_20260711220000_seg_00038,018_bss_13550799_20260711220000,SPEAKER_00,130.56,132.24,1.68,success,ちょっと掛け布団かけさせていただきます。,success,では掛け布団かけさせていただきます。,False,20,18,-2
