segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,007_obc_13593053_20260713230000_seg_00000,007_obc_13593053_20260713230000,SPEAKER_00,3.04,14.56,11.52,success,好奇心が開花するエンターテインメントの懸け橋桜橋919、この時間はおめくり芸人しんいちが東京の三 ?? スタジオから生放送でお送りしていきます。,success,こんばんは、おめくり芸人しんいちです好奇心が開花するエンターテインメントの懸け橋、桜橋919、この時間はおめくり芸人しんいちが東京の三 ?? スタジオから生放送でお送りしていきます。,False,72,91,19
,007_obc_13593053_20260713230000_seg_00001,007_obc_13593053_20260713230000,SPEAKER_00,16.4,17.76,1.36,success,ワールドカップが。,success,ワールドカップが。,True,9,9,0
,007_obc_13593053_20260713230000_seg_00002,007_obc_13593053_20260713230000,SPEAKER_00,18.08,20.96,2.88,success,さらに3か国増えるらしい。,success,更に3か国増えるらしい。,False,13,12,-1
,007_obc_13593053_20260713230000_seg_00003,007_obc_13593053_20260713230000,SPEAKER_00,21.2,25.68,4.48,success,らしい、まあ、あくまでうわさなんですけど、まあ、そうらしいっすね。,success,らしいまああくまでうわさなんですけどまあそうらしいっすね。,False,33,29,-4
,007_obc_13593053_20260713230000_seg_00004,007_obc_13593053_20260713230000,SPEAKER_00,27.04,29.84,2.8,success,っていうかさ、フランス強ない?,success,ていうかさフランス強ない?,False,15,13,-2
,007_obc_13593053_20260713230000_seg_00005,007_obc_13593053_20260713230000,SPEAKER_00,31.28,46.72,15.44,success,みんな見てます、ワールドカップ、チェックしてますか、ベスト4がそろいましたね、フランス、スペイン、イングランド、アルゼンチンということで、フランスとスペインが戦います、15日に。,success,みんな見てます、ワールドカップ、チェックしてますか、ベストフォーがそろいましたね、フランス、スペイン、イングランド、アルゼンチンということで、フランスとスペインが戦います、15日に。,False,89,91,2
,007_obc_13593053_20260713230000_seg_00006,007_obc_13593053_20260713230000,SPEAKER_00,47.2,57.6,10.4,success,そしてイングランドとアルゼンチンが16日に戦います、準決勝ですね、これはなんかもう、結局、ここが上がってきたかという。,success,そしてイングランドとアルゼンチンが16日に戦います、準決勝ですね、これはなんかもう、結局、ここが上がってきたかという。,True,59,59,0
,007_obc_13593053_20260713230000_seg_00007,007_obc_13593053_20260713230000,SPEAKER_00,58.08,60.32,2.24,success,4国ですね。,success,四国ですね。,False,6,6,0
,007_obc_13593053_20260713230000_seg_00008,007_obc_13593053_20260713230000,SPEAKER_00,60.72,62.88,2.16,success,すごいなめっちゃ。,success,すごいなめっちゃ。,True,9,9,0
,007_obc_13593053_20260713230000_seg_00009,007_obc_13593053_20260713230000,SPEAKER_00,63.12,73.04,9.92,success,優勝予想、選手とかもやってたんですけども、そうですね、フランスが私、優勝予想してます。,success,優勝予想、選手とかもやってたんですけども、そうですね、フランスが私、優勝予想してます。,True,43,43,0
,007_obc_13593053_20260713230000_seg_00010,007_obc_13593053_20260713230000,SPEAKER_00,73.92,76.16,2.24,success,そして、あっ。,success,そして、あっ。,True,7,7,0
,007_obc_13593053_20260713230000_seg_00011,007_obc_13593053_20260713230000,SPEAKER_00,77.12,78.4,1.28,success,フランス、イングランドね。,success,フランスイングランドで。,False,13,12,-1
,007_obc_13593053_20260713230000_seg_00012,007_obc_13593053_20260713230000,SPEAKER_01,78.64,82.96,4.32,success,プラス2点ぐらいの1点、エムバペ2ゴールがそうってことですね。,success,プラス2点イングランド1点エムバペ2ゴールがそうってことですよね。,False,31,33,2
,007_obc_13593053_20260713230000_seg_00013,007_obc_13593053_20260713230000,SPEAKER_01,84.56,85.44,0.88,success,先週言ってた。,success,先週言ってた。,True,7,7,0
,007_obc_13593053_20260713230000_seg_00014,007_obc_13593053_20260713230000,SPEAKER_00,85.68,87.36,1.68,success,出てたやつね、はいはいはいはいはい。,success,言ってたやつねはいはいはいはいはい。,False,18,18,0
,007_obc_13593053_20260713230000_seg_00015,007_obc_13593053_20260713230000,SPEAKER_00,87.68,102.56,14.88,success,外したら?? 々苑弁当、そうそうそう、そうやそうや、フランス、イングランドね、決勝って言っててんけども、2対1で、エムバペが2ゴールということで、外したら?? 々苑弁当って言ってるねんけども、え。,success,はい、外したら?? 々苑弁当、そうそうそう、そうやそうや、フランス、イングランドね、決勝って言っててんけども、2対1で、エムバペが2ゴールということで、外したら?? 々苑弁当って言ってるねんけども、え。,False,98,101,3
,007_obc_13593053_20260713230000_seg_00016,007_obc_13593053_20260713230000,SPEAKER_00,103.6,115.84,12.24,success,まだあるよ、だって、イングランド残ってるし、アルゼンチン、だから次、だから、あっち側の島で、イングランド、アルゼンチンで、あのメッシ様がいるアルゼンチンにイングランド。,success,まだあるよ、だって、イングランド残ってるし、アルゼンチン、だから次、だから、あっち側の島で、イングランド、アルゼンチンで、あのメッシ様がいるアルゼンチンにイングランド。,True,84,84,0
