segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,013_fmaichi_13597414_20260714082000_seg_00000,013_fmaichi_13597414_20260714082000,SPEAKER_00,2.8,4.94,2.14,success,オーマイウェイウェイ。,success,ハローウェイボー。,False,11,9,-2
,013_fmaichi_13597414_20260714082000_seg_00001,013_fmaichi_13597414_20260714082000,SPEAKER_00,48.4,50.059998,1.66,success,花火がまだ開く前なのかな。,success,花火がまだ開く前なのかな。,True,13,13,0
,013_fmaichi_13597414_20260714082000_seg_00002,013_fmaichi_13597414_20260714082000,SPEAKER_00,80.020002,80.780001,0.76,success,来ましたね。,success,来ましたね。,True,6,6,0
,013_fmaichi_13597414_20260714082000_seg_00003,013_fmaichi_13597414_20260714082000,SPEAKER_00,83.380003,84.620001,1.24,success,誕生日の写真を収めようと。,success,みんな写真を収めようと。,False,13,12,-1
,013_fmaichi_13597414_20260714082000_seg_00004,013_fmaichi_13597414_20260714082000,SPEAKER_00,95.380003,96.620001,1.24,success,死のセンスがないのかもしれない。,success,受診のセンスがないのかもしれない。,False,16,17,1
,013_fmaichi_13597414_20260714082000_seg_00005,013_fmaichi_13597414_20260714082000,SPEAKER_00,104.980001,105.74,0.76,success,なるべく手ぶれを知らせて。,success,なるべく手ぶれ推し。,False,13,10,-3
,013_fmaichi_13597414_20260714082000_seg_00006,013_fmaichi_13597414_20260714082000,SPEAKER_00,109.300001,111.500002,2.2,success,手でスマホを固定して取るという。,success,手でスマホを固定して撮るということですね。,False,16,21,5
,013_fmaichi_13597414_20260714082000_seg_00007,013_fmaichi_13597414_20260714082000,SPEAKER_00,128.500002,129.259993,0.76,success,バスがないかも。,success,パスがないかも。,False,8,8,0
,013_fmaichi_13597414_20260714082000_seg_00008,013_fmaichi_13597414_20260714082000,SPEAKER_00,142.899995,143.659995,0.76,success,いう方もいます。,success,いう方もいます。,True,8,8,0
,013_fmaichi_13597414_20260714082000_seg_00009,013_fmaichi_13597414_20260714082000,SPEAKER_00,147.219987,147.979994,0.76,success,がなんとなく。,success,ですがなんと。,False,7,7,0
,013_fmaichi_13597414_20260714082000_seg_00010,013_fmaichi_13597414_20260714082000,SPEAKER_00,153.939989,154.699995,0.76,success,もしかしたらいるかも。,success,もしかしたらいるかもしれない。,False,11,15,4
,013_fmaichi_13597414_20260714082000_seg_00011,013_fmaichi_13597414_20260714082000,SPEAKER_00,159.699991,160.939993,1.24,success,カモ!なんていうね。,success,カモ!なんていうね。,True,10,10,0
,013_fmaichi_13597414_20260714082000_seg_00012,013_fmaichi_13597414_20260714082000,SPEAKER_01,166.0,166.699995,0.7,success,モーニンググリーン。,success,僕のモーニングウィーク。,False,10,12,2
,013_fmaichi_13597414_20260714082000_seg_00013,013_fmaichi_13597414_20260714082000,SPEAKER_01,170.739992,173.419997,2.68,success,リクエストはxから#ブリーズ80。,success,リクエストはxから#breas80。,False,17,18,1
,013_fmaichi_13597414_20260714082000_seg_00014,013_fmaichi_13597414_20260714082000,SPEAKER_01,176.08,178.219992,2.14,success,ウェブサイトのメッセージ&リクエスト。,success,ウェブサイトのメッセージ&リクエスト。,True,19,19,0
,013_fmaichi_13597414_20260714082000_seg_00015,013_fmaichi_13597414_20260714082000,SPEAKER_01,207.219987,207.979994,0.76,success,いっぱいの一日です。,success,いっぱいの一日です。,True,10,10,0
