segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,026_rcc_13581541_20260711220000_seg_00000,026_rcc_13581541_20260711220000,SPEAKER_00,7.76,18.38,10.62,success,何をかくなにをおもうふではしるわれらがスター横山裕二おもいつくままきのむくままに。,success,何をかくなにを思う筆走る我らがスター横山裕二思いつくまま気の向くままにします。,False,41,39,-2
,026_rcc_13581541_20260711220000_seg_00001,026_rcc_13581541_20260711220000,SPEAKER_00,19.539999,25.099999,5.56,success,ではやっぱり違うかつむいで磨いて研いでそいでできない。,success,ママに私はやっぱり違うか紡いで磨いて研いでそいでできない。,False,27,29,2
,026_rcc_13581541_20260711220000_seg_00002,026_rcc_13581541_20260711220000,SPEAKER_00,26.32,36.619999,10.3,success,最後は思いの結晶さあ頭の中身を見せてる人たちの心のトーク今始まります!,success,おいでるのは思いの結晶さあ頭の中身を見せてる人たちの心のトーク今始まります。,False,35,38,3
,026_rcc_13581541_20260711220000_seg_00003,026_rcc_13581541_20260711220000,SPEAKER_01,52.24,52.939999,0.7,success,スチール西。,success,スチールにして。,False,6,8,2
,026_rcc_13581541_20260711220000_seg_00004,026_rcc_13581541_20260711220000,SPEAKER_01,58.96,60.619999,1.66,success,パネットタカタ創業者。,success,ガーネットタカタ創業者。,False,11,12,1
,026_rcc_13581541_20260711220000_seg_00005,026_rcc_13581541_20260711220000,SPEAKER_01,61.84,62.539997,0.7,success,アキラは。,success,創業者。,False,5,4,-1
,026_rcc_13581541_20260711220000_seg_00006,026_rcc_13581541_20260711220000,SPEAKER_01,65.68,66.380003,0.7,success,一生懸命。,success,一生懸命。,True,5,5,0
,026_rcc_13581541_20260711220000_seg_00007,026_rcc_13581541_20260711220000,SPEAKER_01,67.76,69.6,1.84,success,ことが失敗。,success,懸命だったことが失敗。,False,6,11,5
,026_rcc_13581541_20260711220000_seg_00008,026_rcc_13581541_20260711220000,SPEAKER_01,70.24,71.660002,1.42,success,やってダメだったこと。,success,やってダメだったこと。,True,11,11,0
,026_rcc_13581541_20260711220000_seg_00009,026_rcc_13581541_20260711220000,SPEAKER_01,77.62,80.300002,2.68,success,リスナーの皆さんの会社もそうでしょう。,success,リスナーの皆さんの会社もそうでしょう。,True,19,19,0
,026_rcc_13581541_20260711220000_seg_00010,026_rcc_13581541_20260711220000,SPEAKER_01,81.52,82.700003,1.18,success,なんのチャレンジもしない。,success,もそうでしょう何のチャレンジもしない。,False,13,19,6
,026_rcc_13581541_20260711220000_seg_00011,026_rcc_13581541_20260711220000,SPEAKER_01,84.340002,85.100001,0.76,success,しなかった。,success,しなかった。,True,6,6,0
,026_rcc_13581541_20260711220000_seg_00012,026_rcc_13581541_20260711220000,SPEAKER_01,86.32,87.020003,0.7,success,立っている人間。,success,しなかったに立っている日本。,False,8,14,6
,026_rcc_13581541_20260711220000_seg_00013,026_rcc_13581541_20260711220000,SPEAKER_01,88.72,90.38,1.66,success,でしょうがありません私。,success,エールにしてしょうがありません。,False,12,16,4
,026_rcc_13581541_20260711220000_seg_00014,026_rcc_13581541_20260711220000,SPEAKER_01,93.52,101.42,7.9,success,この番組は59歳になっています私天才横山裕次が広島の大人元気をお伝えします。,success,でございますこの番組は59歳になっています私天才横山裕次が広島の大人へ元気を出します。,False,38,43,5
,026_rcc_13581541_20260711220000_seg_00015,026_rcc_13581541_20260711220000,SPEAKER_01,103.6,111.84,8.24,success,会えるということですけども今週ね私は今日は多分三好。,success,iveということですけども今週ね私は今日は多分三好。,False,26,26,0
,026_rcc_13581541_20260711220000_seg_00016,026_rcc_13581541_20260711220000,SPEAKER_01,112.56,114.72,2.16,success,に行って、う回。,success,三次に行って、う回。,False,8,10,2
,026_rcc_13581541_20260711220000_seg_00017,026_rcc_13581541_20260711220000,SPEAKER_01,115.52,126.24,10.72,success,の船に乗って、歴史を堪能しているんじゃないかなっていう気がするんですよ。で、あした、乃木坂のコンサート行くっていう、もう。,success,鵜飼いの船に乗って、歴史を堪能しているんじゃないかなっていう気がするんですよ。で、あした、乃木坂のコンサート行くっていう、もう。,False,61,64,3
,026_rcc_13581541_20260711220000_seg_00018,026_rcc_13581541_20260711220000,SPEAKER_01,126.96,147.04,20.08,success,新旧取り交ぜみたいな、清濁合わせのみみたいな感じがすごくするのよ、そうすると、人間のさ、楽しむことって、今の最新のことばっかりじゃなくて、もう昔っからある、これ、なんなん?みたいなのも経験していくと、振り幅が広がっていくし、うれしいとか。,success,もう新旧取り交ぜみたいな清濁併せのみみたいな感じがすごくするのよそうすると人間のさ楽しむことって今の最新のことばっかりじゃなくてもう昔っからあるこれ何なん?みたいなのも経験していくと振り幅が広がっていくしうれしいとか。,False,119,109,-10
,026_rcc_13581541_20260711220000_seg_00019,026_rcc_13581541_20260711220000,SPEAKER_01,147.52,148.4,0.88,success,悲しいとか。,success,行くし、うれしいとか、悲しいとか。,False,6,17,11
,026_rcc_13581541_20260711220000_seg_00020,026_rcc_13581541_20260711220000,SPEAKER_01,149.2,163.84,14.64,success,腹が立つとかみたいなこともぐわーっとこう振り幅が広がると感情が豊かになるよなとかって思うのでいい週末をきっと過ごせるんだろうなとかってそんな気がするんですけどその振り幅がでかいって言うとさ。,success,悲しいとか腹が立つとかみたいなこともぐわーっとこう振り幅が広がると感情が豊かになるよなとかって思うのでいい週末をきっと過ごせるんだろうなとかってそんな気がするんですけどその振り幅がでかいっていうとさ。,False,95,100,5
,026_rcc_13581541_20260711220000_seg_00021,026_rcc_13581541_20260711220000,SPEAKER_01,164.4,165.36,0.96,success,今週私は。,success,振り幅がでかいって言ってた、今週、私は。,False,5,20,15
,026_rcc_13581541_20260711220000_seg_00022,026_rcc_13581541_20260711220000,SPEAKER_01,166.48,177.28,10.8,success,人間っていうnext今話題のドラマ全8話ですけど1日で見たんですよ。,success,今週、私はガス人間っていうnetflix、今話題のドラマ全8話ですけど1日で見たんですよ。,False,34,45,11
,026_rcc_13581541_20260711220000_seg_00023,026_rcc_13581541_20260711220000,SPEAKER_01,178.96,189.2,10.24,success,もうね、椅子に座ってるのがちょっとしんどくって、俺のお尻がちょっとガス人間みたいな状態になりつつある中さ。,success,ハハハハもうね椅子に座ってるのがちょっとしんどくって俺のお尻がちょっとガス人間みたいな状態になりつつある中さ。,False,53,55,2
,026_rcc_13581541_20260711220000_seg_00024,026_rcc_13581541_20260711220000,SPEAKER_01,189.44,215.36,25.92,success,なんか、テレビなんかでもさ、考えたらさ、地上波でよ、例えばrccでさ、ネットフリックスのcmとかやってるじゃん、それ、敵だからねって思うじゃん、アマゾンプライムとかさ、ああいうの、平気でcmしてるけど、いやいやいや、だったら、rccでtssとか、ホームテレビとか、ひろテレとかのcmを打ってもいいんですよねみたいな気がするけど、ワウワウとかさ。,success,なりつつある中さなんか、テレビなんかでもさ、考えたらさ、地上波でよ、例えばrccでさ、ネットフリックスのcmとかやってるじゃん、それ、敵だからねって思うじゃん、アマゾンプライムとかさ、ああいうの、平気でcmしてるけど、いやいやいや、だったら、rccでtssとか、ホームテレビとか、ひろテレとかのcmを打ってもいいんですよねみたいな気がするけど、ワウワウとかさ。,False,172,180,8
,026_rcc_13581541_20260711220000_seg_00025,026_rcc_13581541_20260711220000,SPEAKER_01,216.64,217.92,1.28,success,ドドン!,success,アフとかさ何かドドーン。,False,4,12,8
,026_rcc_13581541_20260711220000_seg_00026,026_rcc_13581541_20260711220000,SPEAKER_01,218.4,252.8,34.4,success,netflixとかさあああいうのは全然どうぞどうぞみたいな気がするけど俺この間さたまたまさそのガス人間を1日で全話見たのさで見てる最中に途中でビール飲んだりとかスナック菓子食ったりとかビール飲みすぎてもあれだからなとか言って何かお茶をさ飲むのにマグカップに氷ガーッて入れてそこにヘルシー緑茶ガッガガッて入れたりとかして飲みながら見てたのであっお茶なくなったと思ってリビングに取りに行ったのさそしたらガス人間って主役がね小栗旬さんと蒼井優さんなの。,success,ドドゥーンnetflixとかさああいうのは全然どうぞどうぞみたいな気がするけど俺この間さたまたまさそのガス人間を1日で全話見たのさで見てる最中に途中でビール飲んだりとかスナック菓子食ったりとかビール飲みすぎてもあれだからなとか言って何かお茶をさ飲むのにマグカップに氷ガーッて入れてそこにヘルシー緑茶ガッガガッて入れたりとかして飲みながら見てたのであっお茶なくなったと思ってリビングに取りに行ったのさそしたらガス人間って主役がね小栗旬さんと蒼井優さんなの。,False,223,227,4
,026_rcc_13581541_20260711220000_seg_00027,026_rcc_13581541_20260711220000,SPEAKER_01,253.28,258.4,5.12,success,ほんで、今まさに俺の部屋でガス人間を見てますと、ネットフリックスで。,success,蒼井優さんなので、で、今まさに俺の部屋でガス人間を見てますと、ネットフリックスで。,False,34,41,7
,026_rcc_13581541_20260711220000_seg_00028,026_rcc_13581541_20260711220000,SPEAKER_01,258.72,267.04,8.32,success,マグカップを持って氷を入れにリビング行ったらさちょうどちょうど豊臣兄弟。,success,見てますと、ネットフリックスで、で、マグカップを持って、氷を入れに、リビング行ったらさ、ちょうど、ちょうど豊臣兄弟。,False,36,58,22
,026_rcc_13581541_20260711220000_seg_00029,026_rcc_13581541_20260711220000,SPEAKER_01,267.68,270.32,2.64,success,テレビでやってて、小栗旬が出てたの。,success,豊臣兄弟をテレビでやってて小栗旬が出てたの。,False,18,22,4
,026_rcc_13581541_20260711220000_seg_00030,026_rcc_13581541_20260711220000,SPEAKER_01,271.04,279.6,8.56,success,netflixとかアマゾンプライムとかu−nextとかに自分の作品が転がってるってことはいつでも裏かぶりってことなんだよね。,success,小栗旬が出てたのnetflixとかアマゾンプライムとかu−nextとかに自分の作品が転がってるってことはいつでも裏かぶりってことなんだよね。,False,62,70,8
,026_rcc_13581541_20260711220000_seg_00031,026_rcc_13581541_20260711220000,SPEAKER_01,280.24,283.6,3.36,success,すごいびっくりしてあれ小栗旬今あれ?,success,すごいびっくりしてあれ小栗旬今あれ?,True,18,18,0
,026_rcc_13581541_20260711220000_seg_00032,026_rcc_13581541_20260711220000,SPEAKER_01,283.92,302.64,18.72,success,これまずくてああそうかネットフリックスだからいいのかいいのかこっちがその時間に見てるからたまたまかぶっただけでこれはよそはかぶってないのかとかって思ったりしてもあっそうかそうかと思ったけどさこのガス人間もさ今まさに話題だよっていうcmをやってたわけさ。,success,小栗旬、今、あれっ、これ、まず、あっ、そうか、ネットフリックスだからいいのか、いいのか、こっちがその時間に見てるから、たまたまかぶっただけで、これはよそはかぶってないのかとかって思ったりしても、あっ、そうか、そうかと思ったけどさ、このガス人間もさ、今、まさに話題だよっていうcmをやってたわけさ。,False,126,148,22
,026_rcc_13581541_20260711220000_seg_00033,026_rcc_13581541_20260711220000,SPEAKER_01,303.04,304.96,1.92,success,でガス人間。,success,cmやってたわけさでガス人間。,False,6,15,9
,026_rcc_13581541_20260711220000_seg_00034,026_rcc_13581541_20260711220000,SPEAKER_01,306.08,324.0,17.92,success,ってちょっと思ったのよ、これさ、1960年、今から64年前に、ちょうど円谷プロが作ってんのよ、東宝がね、ガス人間第1号っていうのなんだけど、これがまあ、一応、名作といわれてるのよ。,success,ガス人間今?ってちょっと思ったのよでこれさ1960年今から64年前にちょうど円谷プロが作ってんのよ東宝がねでガス人間第1号っていうのなんだけどこれがまあ一応名作といわれてるのよ。,False,90,89,-1
,026_rcc_13581541_20260711220000_seg_00035,026_rcc_13581541_20260711220000,SPEAKER_01,324.64,349.68,25.04,success,で、その名作だけど、今はなかなか警察の話、警察がガス人間を追っかけてます、なぜならば銀行強盗が頻発してます、どうやっても入れないところに、人間が入ってお金を盗んでます、最近、羽振りのいい踊りの先生がいます、これ、たぶんつながってるよって、その踊りの先生が、これ、八千草薫さんなんで、むっちゃ。,success,名作といわれてるのよ、で、その名作だけど、今はなかなか警察の話、警察がガス人間を追っかけてます、なぜならば銀行強盗が頻発してます、どうやっても入れないところに、人間が入ってお金盗んでます、最近、羽振りのいい踊りの先生がいます、これ、たぶんつながってるよって、その踊りの先生が、これ、八千草薫さんなんで、むっちゃ。,False,146,156,10
,026_rcc_13581541_20260711220000_seg_00036,026_rcc_13581541_20260711220000,SPEAKER_01,350.08,351.2,1.12,success,めっちゃきれいなの!,success,薫さんなんてむっちゃきれいなの。,False,10,16,6
,026_rcc_13581541_20260711220000_seg_00037,026_rcc_13581541_20260711220000,SPEAKER_01,351.6,353.84,2.24,success,むっちゃくちゃきれいなのもう。,success,むっちゃきれいなの、むっちゃくちゃきれいなの、もう。,False,15,26,11
,026_rcc_13581541_20260711220000_seg_00038,026_rcc_13581541_20260711220000,SPEAKER_01,354.56,394.8,40.24,success,もうねお人形さんの頂点みたいな感じの八千草薫さんが踊りの先生みたいなのをやっててその女に入れ込んだ男がガス人間で銀行強盗をしてそのお金をつぎ込んでますとなぜじゃあつぎ込むのかみたいなのが人間ドラマとして描かれていくからガス人間のそのいわゆる奇怪さぶりというかさキーぶりみたいなのが際立たずに人間ドラマとして描かれてたから64年前の作品だけどまあ名作として残ってるけど今見るとわあよくこんな作品があの時代に作られたよねって思うし。,success,めちゃくちゃきれいなのももうねお人形さんの頂点みたいな感じの八千草薫さんが踊りの先生みたいなのをやっててその女に入れ込んだ男がガス人間で銀行強盗をしてそのお金をつぎ込んでますとなぜじゃあつぎ込むのかみたいなのが人間ドラマとして描かれていくからガス人間のそのいわゆる奇怪さぶりというかさキーぶりみたいなのが際立たずに人間ドラマとして描かれてたから64年前の作品だけどまあ名作として残ってるけど今見るとわあよくこんな作品があの時代に作られたよねって思うし。,False,214,226,12
