segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,026_rcc_13581541_20260711220000_seg_00000,026_rcc_13581541_20260711220000,SPEAKER_00,7.76,18.38,10.62,success,何をかくなにをおもうふではしるわれらがスター横山裕二おもいつくままきのむくままに。,success,なにをかくなにをおもうふではしるわれらがスター横山裕二おもいつくままきのむくままにおなじみのおすすめ。,False,41,51,10
,026_rcc_13581541_20260711220000_seg_00001,026_rcc_13581541_20260711220000,SPEAKER_00,19.539999,25.099999,5.56,success,ではやっぱり違うかつむいで磨いて研いでそいでできない。,success,はやっぱりちがうかつむいで磨いて研いでそいでで。,False,27,24,-3
,026_rcc_13581541_20260711220000_seg_00002,026_rcc_13581541_20260711220000,SPEAKER_00,26.32,36.619999,10.3,success,最後は思いの結晶さあ頭の中身を見せてる人たちの心のトーク今始まります!,success,今日は思いの結晶さあ頭の中身を見せてる人たちの心のトーク今始まります。,False,35,35,0
,026_rcc_13581541_20260711220000_seg_00003,026_rcc_13581541_20260711220000,SPEAKER_01,52.24,52.939999,0.7,success,スチール西。,success,スチール西。,True,6,6,0
,026_rcc_13581541_20260711220000_seg_00004,026_rcc_13581541_20260711220000,SPEAKER_01,58.96,60.619999,1.66,success,パネットタカタ創業者。,success,ガネットタカタ創業者。,False,11,11,0
,026_rcc_13581541_20260711220000_seg_00005,026_rcc_13581541_20260711220000,SPEAKER_01,61.84,62.539997,0.7,success,アキラは。,success,さあアキラは?,False,5,7,2
,026_rcc_13581541_20260711220000_seg_00006,026_rcc_13581541_20260711220000,SPEAKER_01,65.68,66.380003,0.7,success,一生懸命。,success,一生懸命。,True,5,5,0
,026_rcc_13581541_20260711220000_seg_00007,026_rcc_13581541_20260711220000,SPEAKER_01,67.76,69.6,1.84,success,ことが失敗。,success,事が失敗。,False,6,5,-1
,026_rcc_13581541_20260711220000_seg_00008,026_rcc_13581541_20260711220000,SPEAKER_01,70.24,71.660002,1.42,success,やってダメだったこと。,success,やってダメだったこと。,True,11,11,0
,026_rcc_13581541_20260711220000_seg_00009,026_rcc_13581541_20260711220000,SPEAKER_01,77.62,80.300002,2.68,success,リスナーの皆さんの会社もそうでしょう。,success,リスナーの皆さんの会社もそうでしょう。,True,19,19,0
,026_rcc_13581541_20260711220000_seg_00010,026_rcc_13581541_20260711220000,SPEAKER_01,81.52,82.700003,1.18,success,なんのチャレンジもしない。,success,何のチャレンジもしない。,False,13,12,-1
,026_rcc_13581541_20260711220000_seg_00011,026_rcc_13581541_20260711220000,SPEAKER_01,84.340002,85.100001,0.76,success,しなかった。,success,つらかった。,False,6,6,0
,026_rcc_13581541_20260711220000_seg_00012,026_rcc_13581541_20260711220000,SPEAKER_01,86.32,87.020003,0.7,success,立っている人間。,success,立っている人間。,True,8,8,0
,026_rcc_13581541_20260711220000_seg_00013,026_rcc_13581541_20260711220000,SPEAKER_01,88.72,90.38,1.66,success,でしょうがありません私。,success,しょうがありません私。,False,12,11,-1
,026_rcc_13581541_20260711220000_seg_00014,026_rcc_13581541_20260711220000,SPEAKER_01,93.52,101.42,7.9,success,この番組は59歳になっています私天才横山裕次が広島の大人元気をお伝えします。,success,でございますこの番組は59歳になっています私天才横山裕次が広島の大人へ元気を出します。,False,38,43,5
,026_rcc_13581541_20260711220000_seg_00015,026_rcc_13581541_20260711220000,SPEAKER_01,103.6,111.84,8.24,success,会えるということですけども今週ね私は今日は多分三好。,success,iveということですけども今週ね私は今日は多分三好。,False,26,26,0
,026_rcc_13581541_20260711220000_seg_00016,026_rcc_13581541_20260711220000,SPEAKER_01,112.56,114.72,2.16,success,に行って、う回。,success,に行って鵜飼。,False,8,7,-1
,026_rcc_13581541_20260711220000_seg_00017,026_rcc_13581541_20260711220000,SPEAKER_01,115.52,126.24,10.72,success,の船に乗って、歴史を堪能しているんじゃないかなっていう気がするんですよ。で、あした、乃木坂のコンサート行くっていう、もう。,success,の船に乗って歴史を堪能しているんじゃないかなっていう気がするんですよ。で明日乃木坂のコンサート行くっていうもう。,False,61,56,-5
,026_rcc_13581541_20260711220000_seg_00018,026_rcc_13581541_20260711220000,SPEAKER_01,126.96,147.04,20.08,success,新旧取り交ぜみたいな、清濁合わせのみみたいな感じがすごくするのよ、そうすると、人間のさ、楽しむことって、今の最新のことばっかりじゃなくて、もう昔っからある、これ、なんなん?みたいなのも経験していくと、振り幅が広がっていくし、うれしいとか。,success,新旧取り交ぜみたいな清濁併せのみみたいな感じがすごくするのよそうすると人間のさ楽しむことって今の最新のことばっかりじゃなくてもう昔っからあるこれ何なん?みたいなのも経験していくと振り幅が広がっていくしうれしいとか。,False,119,107,-12
,026_rcc_13581541_20260711220000_seg_00019,026_rcc_13581541_20260711220000,SPEAKER_01,147.52,148.4,0.88,success,悲しいとか。,success,悲しいとか。,True,6,6,0
