segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,006_ybs_13584046_20260711190000_seg_00000,006_ybs_13584046_20260711190000,SPEAKER_00,2.16,3.28,1.12,success,中川姫夏の。,success,坂川冬香の。,False,6,6,0
,006_ybs_13584046_20260711190000_seg_00001,006_ybs_13584046_20260711190000,SPEAKER_00,19.12,23.659998,4.54,success,こんばんはakb48の坂川陽香です。,success,どうもakb48の坂川瞳夏です。,False,18,16,-2
,006_ybs_13584046_20260711190000_seg_00002,006_ybs_13584046_20260711190000,SPEAKER_00,24.339999,25.579998,1.24,success,7月に入りました。,success,さあ7月に入りました。,False,9,11,2
,006_ybs_13584046_20260711190000_seg_00003,006_ybs_13584046_20260711190000,SPEAKER_00,26.739999,31.819999,5.08,success,いかがお過ごしでしょうか、イエーイどうかな。,success,いかがお過ごしでしょうかイエーイどうかな人?,False,22,22,0
,006_ybs_13584046_20260711190000_seg_00004,006_ybs_13584046_20260711190000,SPEAKER_00,33.04,37.099999,4.06,success,なんかまだちょっと、梅雨真っただ中という感じがします。,success,なんかまだちょっと、梅雨真っただ中という感じがします。,True,27,27,0
,006_ybs_13584046_20260711190000_seg_00005,006_ybs_13584046_20260711190000,SPEAKER_00,38.8,40.459999,1.66,success,ケズ皆さん7月も。,success,皆さん7月も。,False,9,7,-2
,006_ybs_13584046_20260711190000_seg_00006,006_ybs_13584046_20260711190000,SPEAKER_00,42.16,42.859997,0.7,success,おいえ。,success,おいえ。,True,4,4,0
,006_ybs_13584046_20260711190000_seg_00007,006_ybs_13584046_20260711190000,SPEAKER_00,44.02,44.779999,0.76,success,ミキを何か私は。,success,おいえ。,False,8,4,-4
,006_ybs_13584046_20260711190000_seg_00008,006_ybs_13584046_20260711190000,SPEAKER_00,52.18,52.939999,0.76,success,ラメが入ってる。,success,何かラメが入ってる。,False,8,10,2
,006_ybs_13584046_20260711190000_seg_00009,006_ybs_13584046_20260711190000,SPEAKER_00,60.819999,68.300002,7.48,success,キラな服を着てテンション上げておりますなので皆さんもこのラジオを聴いてテンション上がったらいいな上げます。,success,キラな服を着てテンション上げておりますなので皆さんもこのラジオを聴いてテンション上がったらいいな上げてます。,False,53,54,1
,006_ybs_13584046_20260711190000_seg_00010,006_ybs_13584046_20260711190000,SPEAKER_00,77.68,82.220004,4.54,success,皆さんと一緒に探してシェアする輝きトークラジオ番組です。,success,皆さんと一緒に探してシェアする輝きトークラジオ番組です!,False,28,28,0
,006_ybs_13584046_20260711190000_seg_00011,006_ybs_13584046_20260711190000,SPEAKER_00,83.92,87.28,3.36,success,今回の私の輝きエピソードは。,success,今回の私の輝きエピソードは。,True,14,14,0
,006_ybs_13584046_20260711190000_seg_00012,006_ybs_13584046_20260711190000,SPEAKER_00,88.32,94.22,5.9,success,なんと7月2日に発表させていただきます。,success,エピソードはドルルスパンなんと7月2日に発表させていただきます。,False,20,32,12
,006_ybs_13584046_20260711190000_seg_00013,006_ybs_13584046_20260711190000,SPEAKER_00,95.380003,99.980002,4.6,success,会社オールウェイズに所属させていただくことになりましたイエーイ!,success,被害者オールウェイズに所属させていただくことになりましたイエーイ!,False,32,33,1
,006_ybs_13584046_20260711190000_seg_00014,006_ybs_13584046_20260711190000,SPEAKER_00,101.68,107.660002,5.98,success,実はこの収録日の本日ですねがなんと。,success,ありがとうございます実はですねこの収録日の本日ですねがなんと。,False,18,31,13
,006_ybs_13584046_20260711190000_seg_00015,006_ybs_13584046_20260711190000,SPEAKER_00,109.300001,112.460001,3.16,success,なんですけれども、ちょっとみんながどんな反応をしてくれるのか。,success,がなになんですけれどもちょっとみんながどんな反応をしてくれるのか。,False,31,33,2
,006_ybs_13584046_20260711190000_seg_00016,006_ybs_13584046_20260711190000,SPEAKER_00,116.500002,124.0,7.5,success,ちょっと今後、うれしいお知らせあるかもよみたいなにおわせはしてたんですけれども、意外となんか事務所所属の予想が少なくて。,success,ちょっと今後、うれしいお知らせあるかもよみたいなにおわせはしてたんですけれども、意外となんか事務所所属の予想が少なくて。,True,60,60,0
,006_ybs_13584046_20260711190000_seg_00017,006_ybs_13584046_20260711190000,SPEAKER_00,124.56,125.42,0.86,success,多分みんな。,success,想が少なくて、たぶんみんな。,False,6,14,8
,006_ybs_13584046_20260711190000_seg_00018,006_ybs_13584046_20260711190000,SPEAKER_00,132.819994,133.76,0.94,success,なりまして。,success,鳴りまして!,False,6,6,0
,006_ybs_13584046_20260711190000_seg_00019,006_ybs_13584046_20260711190000,SPEAKER_00,134.4,136.939993,2.54,success,どんどんね活動の幅をもっと広げていきたいなと。,success,なりましてどんどんね活動の幅をもっと広げていきたいなと。,False,23,28,5
,006_ybs_13584046_20260711190000_seg_00020,006_ybs_13584046_20260711190000,SPEAKER_00,139.539995,140.779997,1.24,success,私の坂上。,success,私の坂上ヒーロー。,False,5,9,4
,006_ybs_13584046_20260711190000_seg_00021,006_ybs_13584046_20260711190000,SPEAKER_00,146.739992,148.939993,2.2,success,ますしいつも応援してくださるファンの皆さん。,success,もすしいつも応援して下さるファンの皆さんです。,False,22,23,1
,006_ybs_13584046_20260711190000_seg_00022,006_ybs_13584046_20260711190000,SPEAKER_00,150.099992,150.859991,0.76,success,うれしいお知らせ。,success,うれしいお知らせ。,True,9,9,0
,006_ybs_13584046_20260711190000_seg_00023,006_ybs_13584046_20260711190000,SPEAKER_00,157.36,159.979994,2.62,success,頑張っていこうと思いますので、皆さん、温かく。,success,頑張っていこうと思いますので皆さん温かく。,False,23,21,-2
,006_ybs_13584046_20260711190000_seg_00024,006_ybs_13584046_20260711190000,SPEAKER_00,168.4,172.45999,4.06,success,久々ってわけじゃないですけど、ちゃんとしたお知らせをさせていただきました。,success,久々ってわけじゃないですけどちゃんとしたお知らせをさせていただきました。,False,37,36,-1
