segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,017_bss_13550796_20260711203000_seg_00000,017_bss_13550796_20260711203000,SPEAKER_00,22.899999,23.659998,0.76,success,ツアーの皆さんに。,success,皆さんにはよろしくお願いします。,False,9,16,7
,017_bss_13550796_20260711203000_seg_00001,017_bss_13550796_20260711203000,SPEAKER_00,24.819999,26.059999,1.24,success,もう太鼓がどんな人間か。,success,ツアーの皆さんにお願いいたします、本田英孝がどんな人間か。,False,12,29,17
,017_bss_13550796_20260711203000_seg_00002,017_bss_13550796_20260711203000,SPEAKER_00,28.659999,31.339999,2.68,success,けどね、例えばもう本当に人に影響する。,success,けどね例えばもう本当に人に影響する。,False,19,18,-1
,017_bss_13550796_20260711203000_seg_00003,017_bss_13550796_20260711203000,SPEAKER_00,35.86,38.059998,2.2,success,フラフラフラフラしたりとかっていう。,success,あのふらふらふらふらしたりとかっていう。,False,18,20,2
,017_bss_13550796_20260711203000_seg_00004,017_bss_13550796_20260711203000,SPEAKER_00,41.139999,41.899998,0.76,success,お涙もろ。,success,お涙もの。,False,5,5,0
,017_bss_13550796_20260711203000_seg_00005,017_bss_13550796_20260711203000,SPEAKER_00,44.979999,45.739998,0.76,success,会に1回。,success,世界に1回分!,False,5,7,2
,017_bss_13550796_20260711203000_seg_00006,017_bss_13550796_20260711203000,SPEAKER_00,48.819999,55.819998,7.0,success,前回泣いたさえちゃんのほうもね、無事に引っ越されて、前日に一応、今までのお礼も兼ねて、息子と一緒に。,success,前回泣いたさえちゃんのほうもね無事に引っ越されて前日に一応今までのお礼も兼ねて息子と一緒に。,False,50,46,-4
,017_bss_13550796_20260711203000_seg_00007,017_bss_13550796_20260711203000,SPEAKER_00,56.979999,58.699997,1.72,success,うちのマンションに行ってで。,success,息子と一緒に住んでいる人たちのマンションに行ってで。,False,14,26,12
,017_bss_13550796_20260711203000_seg_00008,017_bss_13550796_20260711203000,SPEAKER_00,60.34,62.539997,2.2,success,もうぱぱっと本当、10分ぐらいのあいさつにしようと。,success,でもうぱぱっと本当、10分ぐらいのあいさつにしようと思って。,False,26,30,4
,017_bss_13550796_20260711203000_seg_00009,017_bss_13550796_20260711203000,SPEAKER_00,63.699997,71.660002,7.96,success,その時にさえちゃんもいれば久美さんというお母さんもいらっしゃるんですけどやっぱりしゃべってても泣きそうになっちゃうの。,success,でまあその時になんかこうなんていうんだろうなさえちゃんもいれば久美さんっていうお母さんもいらっしゃるんですけどやっぱりねしゃべってても泣きそうになっちゃうの私。,False,59,80,21
