segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,019_crk_13570008_20260711063000_seg_00000,019_crk_13570008_20260711063000,SPEAKER_00,6.24,7.34,1.1,success,殿送り自慢。,success,リゾのお国自慢。,False,6,8,2
,019_crk_13570008_20260711063000_seg_00001,019_crk_13570008_20260711063000,SPEAKER_00,15.699999,16.459999,0.76,success,ご紹介しましょう。,success,ご紹介しましょう。,True,9,9,0
,019_crk_13570008_20260711063000_seg_00002,019_crk_13570008_20260711063000,SPEAKER_00,17.619999,18.859999,1.24,success,ラジオネームリン。,success,ご紹介しましょう。,False,9,9,0
,019_crk_13570008_20260711063000_seg_00003,019_crk_13570008_20260711063000,SPEAKER_00,26.739999,28.459999,1.72,success,感じることがあります、12月。,success,感じることがあります、12月。,True,15,15,0
,019_crk_13570008_20260711063000_seg_00004,019_crk_13570008_20260711063000,SPEAKER_00,51.28,52.939999,1.66,success,おめえもう念ずれば花が開く。,success,おめえもう念ずれば花が開き。,False,14,14,0
,019_crk_13570008_20260711063000_seg_00005,019_crk_13570008_20260711063000,SPEAKER_00,59.44,60.14,0.7,success,ええもう。,success,えもう。,False,5,4,-1
,019_crk_13570008_20260711063000_seg_00006,019_crk_13570008_20260711063000,SPEAKER_00,68.980001,70.220004,1.24,success,ですよね、富山県。,success,ですよね富山県。,False,9,8,-1
,019_crk_13570008_20260711063000_seg_00007,019_crk_13570008_20260711063000,SPEAKER_00,80.020002,81.6,1.58,success,お世話になったときも。,success,でお世話になった時も。,False,11,11,0
,019_crk_13570008_20260711063000_seg_00008,019_crk_13570008_20260711063000,SPEAKER_00,90.16,90.88,0.72,success,ハロー。,success,あの。,False,4,3,-1
,019_crk_13570008_20260711063000_seg_00009,019_crk_13570008_20260711063000,SPEAKER_00,96.4,97.100001,0.7,success,ねえお願いします。,success,ねぇお願いし。,False,9,7,-2
