segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,003_bsn_13585850_20260712160000_seg_00000,003_bsn_13585850_20260712160000,SPEAKER_00,3.12,6.38,3.26,success,中丸宏恵の痛快楽勝ライブ!,success,中 ?? 宏恵の痛快楽勝ライフ。,False,13,16,3
,003_bsn_13585850_20260712160000_seg_00001,003_bsn_13585850_20260712160000,SPEAKER_00,31.059999,31.68,0.62,success,ヒロイです。,success,ひろえです。,False,6,6,0
,003_bsn_13585850_20260712160000_seg_00002,003_bsn_13585850_20260712160000,SPEAKER_01,31.76,32.48,0.72,success,はいよろしくおねがいします。,success,はいよろしくお願いします。,False,14,13,-1
,003_bsn_13585850_20260712160000_seg_00003,003_bsn_13585850_20260712160000,SPEAKER_02,35.92,36.619999,0.7,success,中丸さん。,success,高村さん。,False,5,5,0
,003_bsn_13585850_20260712160000_seg_00004,003_bsn_13585850_20260712160000,SPEAKER_02,38.8,39.499998,0.7,success,また年を取ります。,success,また年を取りましょう。,False,9,11,2
,003_bsn_13585850_20260712160000_seg_00005,003_bsn_13585850_20260712160000,SPEAKER_02,44.08,46.16,2.08,success,あの生きていれば。,success,あの生きていれば。,True,9,9,0
,003_bsn_13585850_20260712160000_seg_00006,003_bsn_13585850_20260712160000,SPEAKER_02,46.48,48.14,1.66,success,365日。,success,365日。,True,5,5,0
,003_bsn_13585850_20260712160000_seg_00007,003_bsn_13585850_20260712160000,SPEAKER_02,56.8,57.6,0.8,success,事前に。,success,自然に。,False,4,4,0
,003_bsn_13585850_20260712160000_seg_00008,003_bsn_13585850_20260712160000,SPEAKER_01,72.56,73.100001,0.54,success,まだまだ。,success,まだまだまだ。,False,5,7,2
,003_bsn_13585850_20260712160000_seg_00009,003_bsn_13585850_20260712160000,SPEAKER_02,74.32,75.76,1.44,success,まあまあ、高室さんに比べれば。,success,まあまあ高村さんに比べればね。,False,15,15,0
,003_bsn_13585850_20260712160000_seg_00010,003_bsn_13585850_20260712160000,SPEAKER_01,76.08,77.76,1.68,success,クラエビはまた赤子みたいなもんだ。,success,クレープはまた赤ん坊みたいなもんだ。,False,17,18,1
,003_bsn_13585850_20260712160000_seg_00011,003_bsn_13585850_20260712160000,SPEAKER_02,79.76,81.260001,1.5,success,岡村さんが54。,success,中村さんが54。,False,8,8,0
,003_bsn_13585850_20260712160000_seg_00012,003_bsn_13585850_20260712160000,SPEAKER_02,82.96,83.660002,0.7,success,どんなふうに過ごしてるんですか?,success,どんなふうに過ごしてるんですか?,True,16,16,0
,003_bsn_13585850_20260712160000_seg_00013,003_bsn_13585850_20260712160000,SPEAKER_02,96.4,97.58,1.18,success,だからそういうのは考えること。,success,だからそういうのは考えることができない。,False,15,20,5
