segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,002_knb_13590385_20260713213000_seg_00000,002_knb_13590385_20260713213000,SPEAKER_00,4.24,6.86,2.62,success,ご機嫌はまっすぐでございましょうか、田舎。,success,ご機嫌はまっすぐでございましょうか田舎。,False,21,20,-1
,002_knb_13590385_20260713213000_seg_00001,002_knb_13590385_20260713213000,SPEAKER_00,9.939999,12.619999,2.68,success,うぶめた言葉の裏に何が見えるか見えないか。,success,君めいた言葉の裏に何が見えるか見えないか。,False,21,21,0
,002_knb_13590385_20260713213000_seg_00002,002_knb_13590385_20260713213000,SPEAKER_00,14.32,15.019999,0.7,success,何も見えない。,success,何も見えない。,True,7,7,0
,002_knb_13590385_20260713213000_seg_00003,002_knb_13590385_20260713213000,SPEAKER_00,17.2,17.899999,0.7,success,しんどいでしょ。,success,しんどいでしょ。,True,8,8,0
,002_knb_13590385_20260713213000_seg_00004,002_knb_13590385_20260713213000,SPEAKER_00,19.12,21.259999,2.14,success,そばで遊びましょただそれだけではございません。,success,そばで遊びましょただそれだけではない。,False,23,19,-4
,002_knb_13590385_20260713213000_seg_00005,002_knb_13590385_20260713213000,SPEAKER_01,23.92,25.28,1.36,success,そう、辻野裕子です。,success,放送辻野裕子です。,False,10,9,-1
,002_knb_13590385_20260713213000_seg_00006,002_knb_13590385_20260713213000,SPEAKER_00,26.8,28.08,1.28,success,技の技。,success,ことわざの技。,False,4,7,3
,002_knb_13590385_20260713213000_seg_00007,002_knb_13590385_20260713213000,SPEAKER_01,28.16,29.419999,1.26,success,第531。,success,第532。,False,5,5,0
,002_knb_13590385_20260713213000_seg_00008,002_knb_13590385_20260713213000,SPEAKER_00,136.4,174.08,37.68,success,何かを語ったり、文章に書いたりするときの基本として、よく言われることばが、序波丘とか、起承転結というね、起承転結、まずもとになることがあって、そのもとになることばを受けて書いて、けががあって起きて、それがまた話、途中で話が変わって、最後、きちんと結ぶぞというね、序波丘というのもそうですね、これで始まって、なんかそれを受けて、最後、結論はこうするんだぞと、私、考えてみたら、序波給も起承転結もなんにもないんですよね、話に。,success,何かを語ったり文章に書いたりする時の基本としてよく言われる言葉が序波及び起承転結という起承転結、まずもとになることがあってもとになる言葉を受けて書いてけががあって起きてそれがまた話の途中で話が変わって最後、きちんと結ぶぞという序波丘というのもそうですね、これで始まってそれを受けて最後、結論はこうするんだぞと私、考えてみたら序波及も起承転結も何もないんですよね、話に。,False,211,184,-27
,002_knb_13590385_20260713213000_seg_00009,002_knb_13590385_20260713213000,SPEAKER_00,175.76,187.36,11.6,success,自分で、はあ、これは珍しい話だし、文章を書いても似たようなもんなんですね、自分でね、だから除給とか起承転結に一切、なんだろうな、お世話になってない。,success,自分で、はあ、これは珍しい話だし、文章を書いても似たようなもんなんですね、自分でね、だから除給とか起承転結に一切、なんだろうな、お世話になってない。,True,74,74,0
,002_knb_13590385_20260713213000_seg_00010,002_knb_13590385_20260713213000,SPEAKER_00,188.8,193.52,4.72,success,読んだり聞いたりする人は大変だろうなと思ってね、こんな話をね。,success,ってことは読んだり聞いたりする人は大変だろうなと思ってねこんな話をね。,False,31,35,4
,002_knb_13590385_20260713213000_seg_00011,002_knb_13590385_20260713213000,SPEAKER_00,194.64,207.2,12.56,success,ただ、自分ではこういう質問を作って、自分で答えるということはわりと嫌いじゃないんですね、話がまた突然飛びますけども、川が流れてますよね。,success,ただ、自分ではこういう質問を作って自分で答えるということはわりと嫌いじゃないんですね、話がまた突然飛びますけども、川が流れてますよね。,False,68,67,-1
,002_knb_13590385_20260713213000_seg_00012,002_knb_13590385_20260713213000,SPEAKER_00,207.52,209.52,2.0,success,上流から下流に。,success,川が流れてますよね、上流から下流に。,False,8,18,10
