segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,010_sbc_13587149_20260712180500_seg_00000,010_sbc_13587149_20260712180500,SPEAKER_00,0.72,2.24,1.52,success,見るべきポイントは。,success,見るべきポイントは。,True,10,10,0
,010_sbc_13587149_20260712180500_seg_00001,010_sbc_13587149_20260712180500,SPEAKER_00,3.04,4.0,0.96,success,おしり。,success,おしり。,True,4,4,0
,010_sbc_13587149_20260712180500_seg_00002,010_sbc_13587149_20260712180500,SPEAKER_00,5.04,7.34,2.3,success,中澤敬子のウッピーステーション。,success,中澤恵子のウッピーステーション。,False,16,16,0
,010_sbc_13587149_20260712180500_seg_00003,010_sbc_13587149_20260712180500,SPEAKER_00,44.02,44.779999,0.76,success,中美容にも。,success,何か美容にも。,False,6,7,1
,010_sbc_13587149_20260712180500_seg_00004,010_sbc_13587149_20260712180500,SPEAKER_00,77.140001,78.38,1.24,success,もっと広がってるものがあります。,success,パッと広がってるものがあります。,False,16,16,0
,010_sbc_13587149_20260712180500_seg_00005,010_sbc_13587149_20260712180500,SPEAKER_00,86.740003,87.500002,0.76,success,テールものほど。,success,ているもの欲しい。,False,8,9,1
,010_sbc_13587149_20260712180500_seg_00006,010_sbc_13587149_20260712180500,SPEAKER_00,143.44,144.619994,1.18,success,ご提供でオープン!,success,オープン!,False,9,5,-4
,010_sbc_13587149_20260712180500_seg_00007,010_sbc_13587149_20260712180500,SPEAKER_00,155.76,157.68,1.92,success,ユーグループインフォメーション。,success,ニューグループインフォメーション。,False,16,17,1
,010_sbc_13587149_20260712180500_seg_00008,010_sbc_13587149_20260712180500,SPEAKER_00,176.08,176.779997,0.7,success,いいなトヨタの船。,success,ひなトヨタの2人。,False,9,9,0
,010_sbc_13587149_20260712180500_seg_00009,010_sbc_13587149_20260712180500,SPEAKER_00,230.8,231.979994,1.18,success,ピックアップヒューマン。,success,ピックアップヒューマン。,True,12,12,0
,010_sbc_13587149_20260712180500_seg_00010,010_sbc_13587149_20260712180500,SPEAKER_00,243.219987,246.859991,3.64,success,お仕事の話プライベートの話さまざまな角度から。,success,お仕事の話プライベートの話さまざまな角度からご覧になっております。,False,23,33,10
,010_sbc_13587149_20260712180500_seg_00011,010_sbc_13587149_20260712180500,SPEAKER_00,252.4,253.099989,0.7,success,きました。,success,来ました。,False,5,5,0
,010_sbc_13587149_20260712180500_seg_00012,010_sbc_13587149_20260712180500,SPEAKER_00,255.219987,262.220007,7.0,success,どういうふうにご紹介したらいいのかしら芸人であり俳優でありmcやリポーターなどであり。,success,どういうふうにご紹介したらいいのかしら芸人であり俳優でありmcやリポーターなどであり。,True,43,43,0
,010_sbc_13587149_20260712180500_seg_00013,010_sbc_13587149_20260712180500,SPEAKER_00,266.32,267.500006,1.18,success,よろしくお願いします。,success,よろしくお願いします。,True,11,11,0
