target_id,title,file,utterances,texts_match,differ
001_ybc_13584130_20260711181000,博也とまどかの歌謡ロード,001_ybc_13584130_20260711181000__博也とまどかの歌謡ロード.csv,229,82,147
002_knb_13590385_20260713213000,伊奈かっぺい ことわざのわざ,002_knb_13590385_20260713213000__伊奈かっぺい_ことわざのわざ.csv,215,66,149
003_bsn_13585850_20260712160000,たかまろ＆ひろえの痛快！楽笑ラジオ,003_bsn_13585850_20260712160000__たかまろ&ひろえの痛快!楽笑ラジオ.csv,710,295,415
004_rfc_13550957_20260711175000,詩の礫～和合亮一のアクションポエジィー,004_rfc_13550957_20260711175000__詩の礫~和合亮一のアクションポエジィー.csv,62,37,25
005_qrr_13583011_20260711180000,川合俊一と大桃美代子の「土曜日はトレンド・カフェへ」,005_qrr_13583011_20260711180000__川合俊一と大桃美代子の「土曜日はトレンド・カフェへ」.csv,140,53,87
006_ybs_13584046_20260711190000,坂川陽香のかがやきラジオ,006_ybs_13584046_20260711190000__坂川陽香のかがやきラジオ.csv,250,107,143
007_obc_13593053_20260713230000,サクラバシ919,007_obc_13593053_20260713230000__サクラバシ919.csv,1133,487,646
008_kbs_13584331_20260711150000,#もとからりょうば,008_kbs_13584331_20260711150000__#もとからりょうば.csv,683,317,366
009_kbs_13593443_20260712130000,ミキの兄弟でんぱ！,009_kbs_13593443_20260712130000__ミキの兄弟でんぱ!.csv,858,278,580
010_sbc_13587149_20260712180500,中澤佳子のうっぴぃステーション,010_sbc_13587149_20260712180500__中澤佳子のうっぴぃステーション.csv,310,123,187
011_gbs_13556817_20260712100000,流れ星☆のキッズスクール,011_gbs_13556817_20260712100000__流れ星☆のキッズスクール.csv,449,184,265
012_gbs_13556827_20260712151500,ラジオ岐阜弁まるけ,012_gbs_13556827_20260712151500__ラジオ岐阜弁まるけ.csv,457,220,237
013_fmaichi_13597414_20260714082000,MORNING BREEZE,013_fmaichi_13597414_20260714082000__MORNING_BREEZE.csv,551,204,347
014_fmmie_13587080_20260712110000,菊池風磨 hoursz,014_fmmie_13587080_20260712110000__菊池風磨_hoursz.csv,243,92,151
015_tbc_13598003_20260713232000,宮川賢のまつぼっくり王国,015_tbc_13598003_20260713232000__宮川賢のまつぼっくり王国.csv,101,42,59
016_ibs_13555969_20260713220000,今夜はLuckyNight～赤プルマンデー～,016_ibs_13555969_20260713220000__今夜はLuckyNight~赤プルマンデー~.csv,750,251,499
017_bss_13550796_20260711203000,イモトアヤコのすっぴんしゃん,017_bss_13550796_20260711203000__イモトアヤコのすっぴんしゃん.csv,158,49,109
018_bss_13550799_20260711220000,#となりのさやかなさん,018_bss_13550799_20260711220000__#となりのさやかなさん.csv,423,164,259
019_crk_13570008_20260711063000,松村邦洋のOH－！邦自慢,019_crk_13570008_20260711063000__松村邦洋のOH-!邦自慢.csv,278,97,181
020_rcc_13595880_20260714230000,シンラジラ,020_rcc_13595880_20260714230000__シンラジラ.csv,385,143,242
021_ibc_13611554_20260714112500,レディス・ハンドブック,021_ibc_13611554_20260714112500__レディス・ハンドブック.csv,50,25,25
022_rsk_13603905_20260712200000,かが屋の鶴の間,022_rsk_13603905_20260712200000__かが屋の鶴の間.csv,427,190,237
023_rnb_13611676_20260714100000,夏井いつきの一句一遊,023_rnb_13611676_20260714100000__夏井いつきの一句一遊.csv,112,39,73
024_rkc_13596248_20260714163000,とさこちイブニング,024_rkc_13596248_20260714163000__とさこちイブニング.csv,98,35,63
025_obc_13556294_20260712203000,江木俊夫の聞いてんの？,025_obc_13556294_20260712203000__江木俊夫の聞いてんの.csv,295,130,165
026_rcc_13581541_20260711220000,ザ★横山雄二ショー,026_rcc_13581541_20260711220000__ザ★横山雄二ショー.csv,525,232,293
027_rcc_13595865_20260714090000,平成ラヂオバラエティ ごぜん様さま,027_rcc_13595865_20260714090000__平成ラヂオバラエティ_ごぜん様さま.csv,2138,1050,1088
028_fmfukuoka_13586880_20260712180000,ピザクック presents 悠未先生のロングホームルーム,028_fmfukuoka_13586880_20260712180000__ピザクック_presents_悠未先生のロングホームルーム.csv,113,45,68
029_kbc_13615767_20260714175500,МＡＮＤＡＮ,029_kbc_13615767_20260714175500__МANDAN.csv,1961,687,1274
030_mbc_13598238_20260711133000,青だよ！たくちゃん！,030_mbc_13598238_20260711133000__青だよ!たくちゃん!.csv,252,97,155
031_mbc_13598281_20260712100000,さつまお笑い劇場,031_mbc_13598281_20260712100000__さつまお笑い劇場.csv,340,113,227
032_ybs_13584061_20260712053000,島津悦子のあなたと１８００秒,032_ybs_13584061_20260712053000__島津悦子のあなたと1800秒.csv,184,70,114
033_rbc_13598140_20260712190000,モクパチ～HAPPY SUNDAY～,033_rbc_13598140_20260712190000__モクパチ~HAPPY_SUNDAY~.csv,768,227,541
