segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,001_ybc_13584130_20260711181000_seg_00000,001_ybc_13584130_20260711181000,SPEAKER_01,24.56,25.2,0.64,success,ハハハ!,success,ハハハッ!,False,4,5,1
,001_ybc_13584130_20260711181000_seg_00001,001_ybc_13584130_20260711181000,SPEAKER_00,27.44,28.459999,1.02,success,そん時にね。,success,その時にね。,False,6,6,0
,001_ybc_13584130_20260711181000_seg_00002,001_ybc_13584130_20260711181000,SPEAKER_00,31.6,34.699997,3.1,success,出るけど、全然出ないんだけど、ずいぶん長引いてるねっていう。,success,だけど全然出ないんだけど随分長引いてんねっていう。,False,30,25,-5
,001_ybc_13584130_20260711181000_seg_00003,001_ybc_13584130_20260711181000,SPEAKER_00,38.8,40.939999,2.14,success,あっだからあの今は元気で。,success,あっだからあの今は元気で。,True,13,13,0
,001_ybc_13584130_20260711181000_seg_00004,001_ybc_13584130_20260711181000,SPEAKER_00,43.84,45.52,1.68,success,ずいぶんでもあれでしたね、大変。,success,ずいぶんでもあれでしたね大変だった。,False,16,18,2
,001_ybc_13584130_20260711181000_seg_00005,001_ybc_13584130_20260711181000,SPEAKER_01,46.0,47.179997,1.18,success,いや何なん?,success,いや何なん?,True,6,6,0
,001_ybc_13584130_20260711181000_seg_00006,001_ybc_13584130_20260711181000,SPEAKER_00,56.56,57.76,1.2,success,もう電話くれたじゃない。,success,もう電話くれたじゃない。,True,12,12,0
,001_ybc_13584130_20260711181000_seg_00007,001_ybc_13584130_20260711181000,SPEAKER_01,78.64,79.340002,0.7,success,敏感じゃん。,success,やっぱり敏感じゃん。,False,6,10,4
,001_ybc_13584130_20260711181000_seg_00008,001_ybc_13584130_20260711181000,SPEAKER_00,89.52,91.340002,1.82,success,いやいやいやいや、全然。,success,いやいやいやいやあの全然。,False,12,13,1
,001_ybc_13584130_20260711181000_seg_00009,001_ybc_13584130_20260711181000,SPEAKER_01,98.8,99.500002,0.7,success,ハハハハ。,success,ハハハハ!,False,5,5,0
,001_ybc_13584130_20260711181000_seg_00010,001_ybc_13584130_20260711181000,SPEAKER_00,102.24,102.860003,0.62,success,そんな話?,success,どんな話?,False,5,5,0
,001_ybc_13584130_20260711181000_seg_00011,001_ybc_13584130_20260711181000,SPEAKER_00,115.6,116.300002,0.7,success,珍獣。,success,人獣。,False,3,3,0
,001_ybc_13584130_20260711181000_seg_00012,001_ybc_13584130_20260711181000,SPEAKER_01,312.72,316.08,3.36,success,さあ今週も素敵なゲストの方をお迎え致しました。,success,さあ今週もすてきなゲストの方をお迎えいたしましょう。,False,23,26,3
,001_ybc_13584130_20260711181000_seg_00013,001_ybc_13584130_20260711181000,SPEAKER_00,316.16,319.04,2.88,success,よろしくお願いします。,success,はい秋山良子です。,False,11,9,-2
,001_ybc_13584130_20260711181000_seg_00014,001_ybc_13584130_20260711181000,SPEAKER_00,321.52,324.140005,2.62,success,秋山さんはですね2023年。,success,秋山さんはですね2023年。,True,14,14,0
,001_ybc_13584130_20260711181000_seg_00015,001_ybc_13584130_20260711181000,SPEAKER_00,328.24,330.24,2.0,success,そんなたっちゃいましたかね。,success,そんなたっちゃいましたかね。,True,14,14,0
,001_ybc_13584130_20260711181000_seg_00016,001_ybc_13584130_20260711181000,SPEAKER_00,331.6,332.4,0.8,success,フフフフ。,success,フフフフ。,True,5,5,0
,001_ybc_13584130_20260711181000_seg_00017,001_ybc_13584130_20260711181000,SPEAKER_00,343.6,346.88,3.28,success,車に替えたら書いてないですよあのラッピー。,success,車に替えたら入ってないですよあのラッピー。,False,21,21,0
,001_ybc_13584130_20260711181000_seg_00018,001_ybc_13584130_20260711181000,SPEAKER_00,353.2,357.92,4.72,success,いやちょっと最近は疲れるようになってきました。,success,いやちょっと最近は疲れるようになってきました。,True,23,23,0
,001_ybc_13584130_20260711181000_seg_00019,001_ybc_13584130_20260711181000,SPEAKER_00,358.4,361.04,2.64,success,この間もそうそう、愛知県で終わって。,success,この間もそうそう愛知県で終わって。,False,18,17,-1
,001_ybc_13584130_20260711181000_seg_00020,001_ybc_13584130_20260711181000,SPEAKER_00,364.24,364.939993,0.7,success,君もだから仕事。,success,今日だから仕事。,False,8,8,0
,001_ybc_13584130_20260711181000_seg_00021,001_ybc_13584130_20260711181000,SPEAKER_00,368.16,370.220007,2.06,success,ちょっと走って、もう眠くなったら、ちょっと。,success,ちょっと走ってもう眠くなったらちょっと。,False,22,20,-2
,001_ybc_13584130_20260711181000_seg_00022,001_ybc_13584130_20260711181000,SPEAKER_00,380.8,381.84,1.04,success,島とか言ってない?,success,島とか言ってない?,True,9,9,0
,001_ybc_13584130_20260711181000_seg_00023,001_ybc_13584130_20260711181000,SPEAKER_00,394.56,395.28,0.72,success,そうですね。,success,そうですね。,True,6,6,0
,001_ybc_13584130_20260711181000_seg_00024,001_ybc_13584130_20260711181000,SPEAKER_00,399.28,400.939993,1.66,success,なんでもうすぐお盆。,success,何でもうすぐ覚えちゃうの?,False,10,13,3
,001_ybc_13584130_20260711181000_seg_00025,001_ybc_13584130_20260711181000,SPEAKER_00,403.04,406.700003,3.66,success,いやいやいや、ちっともめたくないんですけど、ただ長くやってただけ。,success,いやいやいやちっともめたくないんですけどただ長くやってただけ。,False,33,31,-2
,001_ybc_13584130_20260711181000_seg_00026,001_ybc_13584130_20260711181000,SPEAKER_01,408.16,408.96,0.8,success,パソコン。,success,いつもだ。,False,5,5,0
,001_ybc_13584130_20260711181000_seg_00027,001_ybc_13584130_20260711181000,SPEAKER_01,409.92,410.96,1.04,success,ただ長くやってるだけです。,success,ただ長くやってるだけです。,True,13,13,0
,001_ybc_13584130_20260711181000_seg_00028,001_ybc_13584130_20260711181000,SPEAKER_00,411.2,411.980002,0.78,success,いえいえそんな。,success,いやいやいやそんなことない。,False,8,14,6
,001_ybc_13584130_20260711181000_seg_00029,001_ybc_13584130_20260711181000,SPEAKER_00,416.88,421.099997,4.22,success,いやいや何かね今まではね。,success,いやいや何かね今まではね。,True,13,13,0
,001_ybc_13584130_20260711181000_seg_00030,001_ybc_13584130_20260711181000,SPEAKER_00,423.700006,424.459998,0.76,success,だった時期もあった。,success,だった時期もあった。,True,10,10,0
,001_ybc_13584130_20260711181000_seg_00031,001_ybc_13584130_20260711181000,SPEAKER_00,432.88,434.32,1.44,success,だなと思いました。,success,だなと思いました。,True,9,9,0
,001_ybc_13584130_20260711181000_seg_00032,001_ybc_13584130_20260711181000,SPEAKER_01,435.68,437.2,1.52,success,歌える場所があるのか。,success,歌える場所がある。,False,11,9,-2
,001_ybc_13584130_20260711181000_seg_00033,001_ybc_13584130_20260711181000,SPEAKER_00,448.32,448.939993,0.62,success,ではね。,success,よね。,False,4,3,-1
,001_ybc_13584130_20260711181000_seg_00034,001_ybc_13584130_20260711181000,SPEAKER_01,450.64,451.28,0.64,success,感謝じゃない?,success,感謝のね。,False,7,5,-2
,001_ybc_13584130_20260711181000_seg_00035,001_ybc_13584130_20260711181000,SPEAKER_01,457.52,458.16,0.64,success,ほら。,success,おや無理。,False,3,5,2
,001_ybc_13584130_20260711181000_seg_00036,001_ybc_13584130_20260711181000,SPEAKER_00,462.16,462.88,0.72,success,あっやった。,success,あっやった!,False,6,6,0
,001_ybc_13584130_20260711181000_seg_00037,001_ybc_13584130_20260711181000,SPEAKER_00,463.84,468.140005,4.3,success,やめてくださいよ本当でもない。,success,やめてくださいよ本当でも何も。,False,15,15,0
,001_ybc_13584130_20260711181000_seg_00038,001_ybc_13584130_20260711181000,SPEAKER_00,480.88,483.980002,3.1,success,転職転職って何か当たり前の時代。,success,ねえ転職転職ってなんか当たり前の時代ですよね。,False,16,23,7
