segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,021_ibc_13611554_20260714112500_seg_00000,021_ibc_13611554_20260714112500,SPEAKER_00,0.16,1.1,0.94,success,レディースハンドブラック。,success,レディースハンドブラック。,True,13,13,0
,021_ibc_13611554_20260714112500_seg_00001,021_ibc_13611554_20260714112500,SPEAKER_01,17.76,19.339999,1.58,success,三陸海ライブフェス。,success,三陸海ライブフェス。,True,10,10,0
,021_ibc_13611554_20260714112500_seg_00002,021_ibc_13611554_20260714112500,SPEAKER_01,21.12,23.179999,2.06,success,7月19日日曜午前10時。,success,7月19日日曜午前10時。,True,13,13,0
,021_ibc_13611554_20260714112500_seg_00003,021_ibc_13611554_20260714112500,SPEAKER_02,38.32,39.019997,0.7,success,80周年!,success,20周年!,False,5,5,0
,021_ibc_13611554_20260714112500_seg_00004,021_ibc_13611554_20260714112500,SPEAKER_02,53.2,53.899998,0.7,success,ぜひお越しください。,success,ぜひお越しください。,True,10,10,0
,021_ibc_13611554_20260714112500_seg_00005,021_ibc_13611554_20260714112500,SPEAKER_03,61.84,62.96,1.12,success,札幌の地ネタを。,success,プロの時ネタを。,False,8,8,0
,021_ibc_13611554_20260714112500_seg_00006,021_ibc_13611554_20260714112500,SPEAKER_03,65.2,66.380003,1.18,success,ジャンルをまたいで深い。,success,ジャンルをまたいで深く。,False,12,12,0
,021_ibc_13611554_20260714112500_seg_00007,021_ibc_13611554_20260714112500,SPEAKER_00,83.04,85.12,2.08,success,お元気ですか末田智子です。,success,お元気ですか末田智子です。,True,13,13,0
,021_ibc_13611554_20260714112500_seg_00008,021_ibc_13611554_20260714112500,SPEAKER_00,85.68,383.179999,297.5,success,先日ウェブで流れてきたニュースを見ていてあれ?って思ったことがありました公共の場での授乳をどう思うかっていうものだったんですけれどこれ何のことだろうと思いましたらカフェでケープを授乳用のケープを使用しながら授乳していたところカフェの人からここでしないでほしいというふうに注意を受けたんだけれどもこれは本当にいけないことなのかというそういう投稿があって賛否両論が起きているということなんですよねはい皆さんいかがでしょうかね授乳街中で授乳をしているお母さんを見かける機会というのはあんまりないといいましょうか日本では1990年代の終わりぐらいでしょうかねあるいは2000年代になってからかもしれませんけど各地で特にデパートなどを中心として授乳室っていうのが作られるようになりましたよね子どもを連れてお出かけした時におっぱいをあげたいと思ってもあげられる場所が少ないのでなんとかしてほしいというようなそういう空気がありました実際に訴えもあってそれでパッと手をつけたのは最初は私はデパートだったんじゃないかと思いますけれどもね交通機関なんかでも新幹線ですとかちょっと長距離乗るようなそういう列車の中では授乳室というのが設けられるようになってあっ随分便利になったなというふうに思いましたね私は1993年にドイツで子どもを産んで子どもが3カ月の時に日本に連れて帰ったんですけどその時にはあまり授乳室なんていうのがなかなかなかったもんですから授乳をしたりする時間を避けて外出をするとかねそういう個室があるようなところで食事をするなんていうことをしていましたけれどものちにね日本もどんどんよくなっているなお母さんが子どもを連れてお出かけができるようになっているななんて思っていたんですですが今またこういうふうな話があってまあ授乳室などを探せばあるだろうになぜカフェでというところが問題点だったのかもしれないんですがその方はケープを使用して直接胸が見えるような状況ではなくってしていたのだから大丈夫だと思っていたんですよね胸を見せびらかしたわけでも何でもなくてねでそれでさっとできるんなら女性同士なんかだったらあんまり気にしないと思うんですけれど中にはやはり胸というのを性的なものというような感じで見る人がいて目のやり場に困るとか公の場公的な場ですることではないというふうに言う人がいるということなんですよねで今世界のあちこちを見てみるとこれ授乳の権利というのがあるんだそうです日本では法制法律ではそういうのがないですけれどもアメリカイギリスオーストラリアカナダニュージーランドイタリアなどではこの授乳の権利というのは赤ちゃんが食事をする権利でありかつお母さんがおっぱいを与えることで健康を保つというかねあれずっと置いときますとカンカンに張って痛くなりますよねですからそういう心地悪さ不健康でないというそれを保つための権利というふうになっているらしいんですよねで日本でもそういうことをきちんと認められるようにした方がいいのではないかという話が浮上してきているということなんですけれどもねまああえて法律にしなくてもという方もいらっしゃるかもしれませんがそうすることでもっと堂々とというかね整備場所が整備されたりあるいはしやすい雰囲気になるのではないかということなんですね皆さんいかがでしょう授乳についての思い出ってありますか私がこの授乳で鮮烈にイメージ残っているのは今から40年ぐらい前だったかと思うんですけど女子ソフトボールママさんソフトボールの取材に行った時に出産後復帰したばかりのチームのエースピッチャーが回が変わった時にサーッと走っていってご主人から渡された赤ちゃんを抱いて木陰でパーッて授乳して戻ってきたっていう場面だったんですねもちろんご主人がこう目隠しのような状況でねどこからも見えないような。,success,先日ウェブで流れてきたニュースを見ていてあれ?って思ったことがありました公共の場での授乳をどう思うかっていうものだったんですけれどこれ何のことだろうと思いましたらカフェでケープを授乳用のケープを使用しながら授乳していたところカフェの人からここでしないでほしいというふうに注意を受けたんだけれどもこれは本当にいけないことなのかというそういう投稿があって賛否両論が起きているということなんですよねはい皆さんいかがでしょうかね授乳街中で授乳をしているお母さんを見かける機会というのはあんまりないといいましょうか日本では1990年代の終わりぐらいでしょうかねあるいは2000年代になってからかもしれませんけど各地で特にデパートなどを中心として授乳室っていうのが作られるようになりましたよね子どもを連れてお出かけした時におっぱいをあげたいと思ってもあげられる場所が少ないのでなんとかしてほしいというようなそういう空気がありました実際に訴えもあってそれでパッと手をつけたのは最初は私はデパートだったんじゃないかと思いますけれどもね交通機関なんかでも新幹線ですとかちょっと長距離乗るようなそういう列車の中では授乳室というのが設けられるようになってあっ随分便利になったなというふうに思いましたね私は1993年にドイツで子どもを産んで子どもが3カ月の時に日本に連れて帰ったんですけどその時にはあまり授乳室なんていうのがなかなかなかったもんですから授乳をしたりする時間を避けて外出をするとかねそういう個室があるようなところで食事をするなんていうことをしていましたけれどものちにね日本もどんどんよくなっているなお母さんが子どもを連れてお出かけができるようになっているななんて思っていたんですですが今またこういうふうな話があってまあ授乳室などを探せばあるだろうになぜカフェでというところが問題点だったのかもしれないんですがその方はケープを使用して直接胸が見えるような状況ではなくってしていたのだから大丈夫だと思っていたんですよね胸を見せびらかしたわけでも何でもなくてねでそれでさっとできるんなら女性同士なんかだったらあんまり気にしないと思うんですけれど中にはやはり胸というのを性的なものというような感じで見る人がいて目のやり場に困るとか公の場公的な場ですることではないというふうに言う人がいるということなんですよねで今世界のあちこちを見てみるとこれ授乳の権利というのがあるんだそうですで日本では法律ではそういうのがないですけれどもアメリカイギリスオーストラリアカナダニュージーランドイタリアなどではこの授乳の権利というのは赤ちゃんが食事をする権利でありかつお母さんがおっぱいを与えることで健康を保つというかねあれずっと置いときますとカンカンに張って痛くなりますよねですからそういう心地悪さ不健康でないというそれを保つための権利というふうになっているらしいんですよねで日本でもそういうことをきちんと認められるようにした方がいいのではないかという話が浮上してきているということなんですけれどもねまああえて法律にしなくてもという方もいらっしゃるかもしれませんがそうすることでもっと堂々とというかね場所が整備されたりあるいはしやすい雰囲気になるのではないかということなんですね皆さんいかがでしょう授乳についての思い出ってありますか私がこの授乳で鮮烈にイメージ残っているのは今から40年ぐらい前だったかと思うんですけど女子ソフトボールママさんソフトボールの取材に行った時に出産後復帰したばかりのチームのエースピッチャーが回が変わった時にサーッと走っていってご主人から渡された赤ちゃんを抱いて木陰でパーッて授乳して戻ってきたっていう場面だったんですねもちろんご主人がこう目隠しのような状況でねどこからも見えないような。,False,1594,1591,-3
,021_ibc_13611554_20260714112500_seg_00009,021_ibc_13611554_20260714112500,SPEAKER_00,384.340005,407.04,22.7,success,環境をつくってのことだったんですがこうやっていくつになってもお母さんになっても自分が好きなことが続けられるっていうそういうワンシーンとして私はとてもいいななんて思ったことがあるんですけれどもね授乳という非常に自然なものについての考え方皆さんの中ではいかがでしょうか?,success,環境をつくってのことだったんですがこうやっていくつになってもお母さんになっても自分が好きなことが続けられるっていうそういうワンシーンとして私はとてもいいななんて思ったことがあるんですけれどもね授乳という非常に自然なものについての考え方皆さんの中ではいかがでしょうか?,True,133,133,0
