segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,018_bss_13550799_20260711220000_seg_00000,018_bss_13550799_20260711220000,SPEAKER_00,2.32,3.6,1.28,success,こんばんは。,success,こんばんは。,True,6,6,0
,018_bss_13550799_20260711220000_seg_00001,018_bss_13550799_20260711220000,SPEAKER_01,3.68,5.92,2.24,success,うわ、うわっ、裏切られた。,success,こんばんは、うわ、裏切られて。,False,13,15,2
,018_bss_13550799_20260711220000_seg_00002,018_bss_13550799_20260711220000,SPEAKER_00,5.92,7.36,1.44,success,もう一度、お願いします。,success,うわ、うわ、裏切られた、すみません、もう一度お願いします。,False,12,29,17
,018_bss_13550799_20260711220000_seg_00003,018_bss_13550799_20260711220000,SPEAKER_00,7.84,8.88,1.04,success,ちょっと時間切れちゃった。,success,ちょっと時間切れしちゃった。,False,13,14,1
,018_bss_13550799_20260711220000_seg_00004,018_bss_13550799_20260711220000,SPEAKER_00,11.76,16.8,5.04,success,2人合わせてさやかなです。,success,2人合わせて、さや香です。,False,13,13,0
,018_bss_13550799_20260711220000_seg_00005,018_bss_13550799_20260711220000,SPEAKER_01,19.28,21.52,2.24,success,1人で私こんばんはってさっき言っちゃった。,success,1人で私こんばんはってさっき言っちゃった。,True,21,21,0
,018_bss_13550799_20260711220000_seg_00006,018_bss_13550799_20260711220000,SPEAKER_00,23.12,24.56,1.44,success,ちょっと今日ねこのあと。,success,ちょっと今日ねこのあと。,True,12,12,0
,018_bss_13550799_20260711220000_seg_00007,018_bss_13550799_20260711220000,SPEAKER_00,25.12,26.24,1.12,success,大事な仕事が1本。,success,ちょっと今日ねこのあと大事な仕事が1本。,False,9,20,11
,018_bss_13550799_20260711220000_seg_00008,018_bss_13550799_20260711220000,SPEAKER_01,26.24,27.44,1.2,success,ああはいきっと。,success,大事な仕事が1本。,False,8,9,1
,018_bss_13550799_20260711220000_seg_00009,018_bss_13550799_20260711220000,SPEAKER_01,27.92,28.56,0.64,success,だよねそうそう。,success,着替えないといけないよね早速。,False,8,15,7
,018_bss_13550799_20260711220000_seg_00010,018_bss_13550799_20260711220000,SPEAKER_01,31.68,32.48,0.8,success,えっうそ?,success,そうだよね、メークもしてないし。,False,5,16,11
,018_bss_13550799_20260711220000_seg_00011,018_bss_13550799_20260711220000,SPEAKER_01,33.2,34.72,1.52,success,やっぱ色めっちゃいいね。,success,やっぱ色めっちゃいいね。,True,12,12,0
,018_bss_13550799_20260711220000_seg_00012,018_bss_13550799_20260711220000,SPEAKER_01,35.44,37.12,1.68,success,あ口整ってるよ。,success,色めっちゃいいねああ口ととのってるよ。,False,8,19,11
,018_bss_13550799_20260711220000_seg_00013,018_bss_13550799_20260711220000,SPEAKER_00,37.2,40.8,3.6,success,なんか眉毛されたそうじゃないですか。,success,ああ、口整ってるよ、リパート、はい、なんか眉毛されたそうじゃないですか。,False,18,36,18
,018_bss_13550799_20260711220000_seg_00014,018_bss_13550799_20260711220000,SPEAKER_01,40.8,42.96,2.16,success,はい、眉毛を施しまして。,success,眉毛されたそうじゃないではい、眉毛を施しまして。,False,12,24,12
,018_bss_13550799_20260711220000_seg_00015,018_bss_13550799_20260711220000,SPEAKER_00,42.96,43.84,0.88,success,きれいですね。,success,眉毛を施しまして、きれいですね。,False,7,16,9
,018_bss_13550799_20260711220000_seg_00016,018_bss_13550799_20260711220000,SPEAKER_01,43.92,52.8,8.88,success,先週に施しましてすごくナチュラルありがとうございますえっ聞きたい何ですか先週だからさまだまだ眉マスカラとか塗っちゃダメだよね。,success,施しましてキレイですねええ先週に施しましてすごくナチュラルありがとうございますえっ聞きたい何ですか先週だからさまだまだ眉マスカラとか塗っちゃダメだよね。,False,63,76,13
,018_bss_13550799_20260711220000_seg_00017,018_bss_13550799_20260711220000,SPEAKER_00,53.68,56.4,2.72,success,なんか眉染めていいのは1か月後からです。,success,眉染めていいのは1か月後からです。,False,20,17,-3
