segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,020_rcc_13595880_20260714230000_seg_00000,020_rcc_13595880_20260714230000,SPEAKER_00,13.92,15.499999,1.58,success,銀ラズラ。,success,インラジラ。,False,5,6,1
,020_rcc_13595880_20260714230000_seg_00001,020_rcc_13595880_20260714230000,SPEAKER_00,19.6,20.3,0.7,success,夜11時。,success,夜11時。,True,5,5,0
,020_rcc_13595880_20260714230000_seg_00002,020_rcc_13595880_20260714230000,SPEAKER_00,22.42,26.059999,3.64,success,お過ごしですか広島の吉永小百合松本さん。,success,いかがお過ごしですか広島の吉永小百合松本由紀さん。,False,20,25,5
,020_rcc_13595880_20260714230000_seg_00003,020_rcc_13595880_20260714230000,SPEAKER_01,27.699998,30.96,3.26,success,広島の小栗旬こと大政進司です。,success,広島の小栗旬こと大松真嗣です。,False,15,15,0
,020_rcc_13595880_20260714230000_seg_00004,020_rcc_13595880_20260714230000,SPEAKER_01,32.5,36.72,4.22,success,僕は何々世代だからみたいな話することないですか?,success,よくねあの僕は何々世代だからみたいな話することないですか?,False,24,29,5
,020_rcc_13595880_20260714230000_seg_00005,020_rcc_13595880_20260714230000,SPEAKER_01,38.0,40.16,2.16,success,何年生まれはこれ世代みたいなね。,success,何年生まれはこれ世代みたいなね。,True,16,16,0
,020_rcc_13595880_20260714230000_seg_00006,020_rcc_13595880_20260714230000,SPEAKER_01,41.12,45.36,4.24,success,結局松本さんとか俺は何世代に属してるんですかね?,success,結局松本さんとか俺は何世代に属してるんですかね?,True,24,24,0
,020_rcc_13595880_20260714230000_seg_00007,020_rcc_13595880_20260714230000,SPEAKER_00,45.6,47.12,1.52,success,ちょっと調べましたところ。,success,何世代に属してるんですかね、これね、ちょっと調べましたところ。,False,13,31,18
,020_rcc_13595880_20260714230000_seg_00008,020_rcc_13595880_20260714230000,SPEAKER_00,47.52,53.76,6.24,success,私はもともと一番日本独自の呼び方古いのは団塊の世代っていうのがありましたよね。,success,ちょっと調べましたところ私はもともと一番日本独自の呼び方古いのは団塊の世代っていうのありましたよね。,False,39,50,11
,020_rcc_13595880_20260714230000_seg_00009,020_rcc_13595880_20260714230000,SPEAKER_01,53.92,54.56,0.64,success,カイの巣だ。,success,団塊の世代っていうのありましたよね。,False,6,18,12
,020_rcc_13595880_20260714230000_seg_00010,020_rcc_13595880_20260714230000,SPEAKER_00,55.92,58.48,2.56,success,47年ぐらいからの世代を言うんですけど。,success,団塊の世代1947年ぐらいからの世代をいうんですけど。,False,20,27,7
,020_rcc_13595880_20260714230000_seg_00011,020_rcc_13595880_20260714230000,SPEAKER_01,58.96,59.52,0.56,success,ヤクライム。,success,うちの親ぐらいの世代。,False,6,11,5
,020_rcc_13595880_20260714230000_seg_00012,020_rcc_13595880_20260714230000,SPEAKER_00,60.08,63.12,3.04,success,そうそう、で、1960年ぐらいからは新人類。,success,で1960年ぐらいからは新人類。,False,22,16,-6
,020_rcc_13595880_20260714230000_seg_00013,020_rcc_13595880_20260714230000,SPEAKER_01,63.28,64.24,0.96,success,聞いたことある!,success,60年ぐらいからは新人類あっ聞いたことある!,False,8,22,14
,020_rcc_13595880_20260714230000_seg_00014,020_rcc_13595880_20260714230000,SPEAKER_00,65.12,67.6,2.48,success,1965年ぐらいからバブル世代。,success,ええ1965年ぐらいからバブル世代。,False,16,18,2
,020_rcc_13595880_20260714230000_seg_00015,020_rcc_13595880_20260714230000,SPEAKER_00,68.4,69.44,1.04,success,チバブル世代。,success,それからバブル世代私バブル世代。,False,7,16,9
,020_rcc_13595880_20260714230000_seg_00016,020_rcc_13595880_20260714230000,SPEAKER_01,69.52,70.88,1.36,success,ぽいぽいぽい!,success,私バブル世代ぽいぽいぽい!,False,7,13,6
,020_rcc_13595880_20260714230000_seg_00017,020_rcc_13595880_20260714230000,SPEAKER_01,72.72,75.04,2.32,success,ジュリアナ東京ジャッジ。,success,トゥービューデテテジュリアナ東京デート。,False,12,20,8
,020_rcc_13595880_20260714230000_seg_00018,020_rcc_13595880_20260714230000,SPEAKER_00,75.28,76.08,0.8,success,愛ちゃんは。,success,大ちゃんは。,False,6,6,0
,020_rcc_13595880_20260714230000_seg_00019,020_rcc_13595880_20260714230000,SPEAKER_00,76.48,80.48,4.0,success,1971年ぐらいからは団塊ジュニア世代。,success,大ちゃんは1971年ぐらいからは団塊ジュニア世代。,False,20,25,5
,020_rcc_13595880_20260714230000_seg_00020,020_rcc_13595880_20260714230000,SPEAKER_01,80.72,81.44,0.72,success,聞いたことある!,success,あぁ聞いたことある!,False,8,10,2
,020_rcc_13595880_20260714230000_seg_00021,020_rcc_13595880_20260714230000,SPEAKER_01,81.92,84.24,2.32,success,だから団塊の世代が一番人口が多かった。,success,だから団塊の世代が一番人口が多かった。,True,19,19,0
,020_rcc_13595880_20260714230000_seg_00022,020_rcc_13595880_20260714230000,SPEAKER_00,84.88,85.52,0.64,success,このジュニアの。,success,世界が一番人口が多かったんですね。,False,8,17,9
,020_rcc_13595880_20260714230000_seg_00023,020_rcc_13595880_20260714230000,SPEAKER_01,87.52,88.72,1.2,success,1クラスぐらいありましたか?,success,そのジュニアの世代で確か11クラスぐらいありましたから。,False,14,28,14
,020_rcc_13595880_20260714230000_seg_00024,020_rcc_13595880_20260714230000,SPEAKER_01,89.2,89.76,0.56,success,これね。,success,11クラスぐらいありましたからね1学年ね。,False,4,21,17
