segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,020_rcc_13595880_20260714230000_seg_00000,020_rcc_13595880_20260714230000,SPEAKER_00,13.92,15.499999,1.58,success,銀ラズラ。,success,インラキラ。,False,5,6,1
,020_rcc_13595880_20260714230000_seg_00001,020_rcc_13595880_20260714230000,SPEAKER_00,19.6,20.3,0.7,success,夜11時。,success,夜11時。,True,5,5,0
,020_rcc_13595880_20260714230000_seg_00002,020_rcc_13595880_20260714230000,SPEAKER_00,22.42,26.059999,3.64,success,お過ごしですか広島の吉永小百合松本さん。,success,いかがお過ごしですか広島の吉永小百合松本由紀さん。,False,20,25,5
,020_rcc_13595880_20260714230000_seg_00003,020_rcc_13595880_20260714230000,SPEAKER_01,27.699998,30.96,3.26,success,広島の小栗旬こと大政進司です。,success,広島の小栗旬こと大松真嗣です。,False,15,15,0
,020_rcc_13595880_20260714230000_seg_00004,020_rcc_13595880_20260714230000,SPEAKER_01,32.5,36.72,4.22,success,僕は何々世代だからみたいな話することないですか?,success,僕ねあの僕は何々世代だからみたいな話することないですか?,False,24,28,4
,020_rcc_13595880_20260714230000_seg_00005,020_rcc_13595880_20260714230000,SPEAKER_01,38.0,40.16,2.16,success,何年生まれはこれ世代みたいなね。,success,ああ何年生まれはこれ世代みたいなね。,False,16,18,2
,020_rcc_13595880_20260714230000_seg_00006,020_rcc_13595880_20260714230000,SPEAKER_01,41.12,45.36,4.24,success,結局松本さんとか俺は何世代に属してるんですかね?,success,結局松本さんとか俺は何世代に属してるんですかね?,True,24,24,0
,020_rcc_13595880_20260714230000_seg_00007,020_rcc_13595880_20260714230000,SPEAKER_00,45.6,47.12,1.52,success,ちょっと調べましたところ。,success,ちょっと調べましたところ。,True,13,13,0
,020_rcc_13595880_20260714230000_seg_00008,020_rcc_13595880_20260714230000,SPEAKER_00,47.52,53.76,6.24,success,私はもともと一番日本独自の呼び方古いのは団塊の世代っていうのがありましたよね。,success,私はもともと一番日本独自の呼び方古いのは団塊の世代っていうのがありましたよね。,True,39,39,0
,020_rcc_13595880_20260714230000_seg_00009,020_rcc_13595880_20260714230000,SPEAKER_01,53.92,54.56,0.64,success,カイの巣だ。,success,飼い主だ!,False,6,5,-1
,020_rcc_13595880_20260714230000_seg_00010,020_rcc_13595880_20260714230000,SPEAKER_00,55.92,58.48,2.56,success,47年ぐらいからの世代を言うんですけど。,success,47年ぐらいからの世代を言うんですけど。,True,20,20,0
,020_rcc_13595880_20260714230000_seg_00011,020_rcc_13595880_20260714230000,SPEAKER_01,58.96,59.52,0.56,success,ヤクライム。,success,100年のスタート。,False,6,10,4
,020_rcc_13595880_20260714230000_seg_00012,020_rcc_13595880_20260714230000,SPEAKER_00,60.08,63.12,3.04,success,そうそう、で、1960年ぐらいからは新人類。,success,そうそうそうで1960年ぐらいからは新人類。,False,22,22,0
,020_rcc_13595880_20260714230000_seg_00013,020_rcc_13595880_20260714230000,SPEAKER_01,63.28,64.24,0.96,success,聞いたことある!,success,聞いたことある!,True,8,8,0
,020_rcc_13595880_20260714230000_seg_00014,020_rcc_13595880_20260714230000,SPEAKER_00,65.12,67.6,2.48,success,1965年ぐらいからバブル世代。,success,1965年ぐらいからバブル世代。,True,16,16,0
,020_rcc_13595880_20260714230000_seg_00015,020_rcc_13595880_20260714230000,SPEAKER_00,68.4,69.44,1.04,success,チバブル世代。,success,チバブル世代。,True,7,7,0
,020_rcc_13595880_20260714230000_seg_00016,020_rcc_13595880_20260714230000,SPEAKER_01,69.52,70.88,1.36,success,ぽいぽいぽい!,success,来い来い来い!,False,7,7,0
,020_rcc_13595880_20260714230000_seg_00017,020_rcc_13595880_20260714230000,SPEAKER_01,72.72,75.04,2.32,success,ジュリアナ東京ジャッジ。,success,ジュリアナ東京。,False,12,8,-4
,020_rcc_13595880_20260714230000_seg_00018,020_rcc_13595880_20260714230000,SPEAKER_00,75.28,76.08,0.8,success,愛ちゃんは。,success,愛ちゃんは。,True,6,6,0
,020_rcc_13595880_20260714230000_seg_00019,020_rcc_13595880_20260714230000,SPEAKER_00,76.48,80.48,4.0,success,1971年ぐらいからは団塊ジュニア世代。,success,1971年ぐらいからは団塊ジュニア世代。,True,20,20,0
,020_rcc_13595880_20260714230000_seg_00020,020_rcc_13595880_20260714230000,SPEAKER_01,80.72,81.44,0.72,success,聞いたことある!,success,聞いたことある!,True,8,8,0
,020_rcc_13595880_20260714230000_seg_00021,020_rcc_13595880_20260714230000,SPEAKER_01,81.92,84.24,2.32,success,だから団塊の世代が一番人口が多かった。,success,だから団塊の世代が一番人口が多かった。,True,19,19,0
,020_rcc_13595880_20260714230000_seg_00022,020_rcc_13595880_20260714230000,SPEAKER_00,84.88,85.52,0.64,success,このジュニアの。,success,このジュニアの。,True,8,8,0
,020_rcc_13595880_20260714230000_seg_00023,020_rcc_13595880_20260714230000,SPEAKER_01,87.52,88.72,1.2,success,1クラスぐらいありましたか?,success,1クラスぐらいありましたか。,False,14,14,0
,020_rcc_13595880_20260714230000_seg_00024,020_rcc_13595880_20260714230000,SPEAKER_01,89.2,89.76,0.56,success,これね。,success,これね。,True,4,4,0
,020_rcc_13595880_20260714230000_seg_00025,020_rcc_13595880_20260714230000,SPEAKER_00,89.84,92.08,2.24,success,そのあと就職氷河期世代。,success,そのあと就職氷河期世代。,True,12,12,0
,020_rcc_13595880_20260714230000_seg_00026,020_rcc_13595880_20260714230000,SPEAKER_00,92.96,95.52,2.56,success,そのあと1987年からゆとり制。,success,そのあと1987年からゆとり制。,True,16,16,0
,020_rcc_13595880_20260714230000_seg_00027,020_rcc_13595880_20260714230000,SPEAKER_01,95.84,96.64,0.8,success,世代。,success,世代。,True,3,3,0
,020_rcc_13595880_20260714230000_seg_00028,020_rcc_13595880_20260714230000,SPEAKER_00,96.64,98.16,1.52,success,その後悟り世代。,success,その後悟り世代。,True,8,8,0
,020_rcc_13595880_20260714230000_seg_00029,020_rcc_13595880_20260714230000,SPEAKER_01,98.48,99.2,0.72,success,理世代。,success,立世代。,False,4,4,0
,020_rcc_13595880_20260714230000_seg_00030,020_rcc_13595880_20260714230000,SPEAKER_00,99.28,101.2,1.92,success,デジタルネイティブ世代。,success,デジタルネイティブ世代!,False,12,12,0
,020_rcc_13595880_20260714230000_seg_00031,020_rcc_13595880_20260714230000,SPEAKER_01,101.44,102.64,1.2,success,どうですか、デジタルネイティブ。,success,どうですかデジタルネイティブ。,False,16,15,-1
,020_rcc_13595880_20260714230000_seg_00032,020_rcc_13595880_20260714230000,SPEAKER_00,103.12,106.64,3.52,success,生まれたときから、もうインターネットが身近にあった世代っていうような。,success,行った時からもうインターネットが身近にあった世代っていうような。,False,35,32,-3
,020_rcc_13595880_20260714230000_seg_00033,020_rcc_13595880_20260714230000,SPEAKER_01,106.88,107.84,0.96,success,デジタルのネイティブ。,success,デジタルのネイティブ。,True,11,11,0
,020_rcc_13595880_20260714230000_seg_00034,020_rcc_13595880_20260714230000,SPEAKER_00,108.32,110.64,2.32,success,そうそうそうそういうふうな言い方するんだって。,success,そうそうそうそういうふうな言い方するんだって。,True,23,23,0
,020_rcc_13595880_20260714230000_seg_00035,020_rcc_13595880_20260714230000,SPEAKER_01,110.8,112.64,1.84,success,あなるほどね。,success,あなるほどね。,True,7,7,0
,020_rcc_13595880_20260714230000_seg_00036,020_rcc_13595880_20260714230000,SPEAKER_01,112.96,120.72,7.76,success,このなんとか世代なんとか世代とかいってねよく聞きますけど世代間交流ってなかなか難しい時代ではありますよね。,success,このなんとか世代なんとか世代とかってねよく聞きますけど世代間交流ってなかなか難しい時代ではありますよね。,False,53,52,-1
,020_rcc_13595880_20260714230000_seg_00037,020_rcc_13595880_20260714230000,SPEAKER_01,121.6,126.4,4.8,success,年代の違う人と、例えばわれわれの松本さん、バブル世代じゃないですか。,success,年代の違う人と例えば我々の松本さんバブル世代じゃないですか。,False,34,30,-4
,020_rcc_13595880_20260714230000_seg_00038,020_rcc_13595880_20260714230000,SPEAKER_01,126.8,131.68,4.88,success,バブル世代とゆとりさとり世代共通点なんか一つもないですもんね。,success,バブル世代とゆとりさとり世代共通点なんか一つもないですもんね。,True,31,31,0
,020_rcc_13595880_20260714230000_seg_00039,020_rcc_13595880_20260714230000,SPEAKER_00,131.92,136.16,4.24,success,まあそうよねちょっと親子ほど年が違う場合もあるもんね。,success,まあそうよねちょっと親子ほど年が違う場合もあるわね。,False,27,26,-1
,020_rcc_13595880_20260714230000_seg_00040,020_rcc_13595880_20260714230000,SPEAKER_01,140.019991,140.96,0.94,success,ジョーネー。,success,今日ね。,False,6,4,-2
