segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_context2_status,parakeet_context2_text,texts_match,exact_chars,context2_chars,char_diff
,025_obc_13556294_20260712203000_seg_00000,025_obc_13556294_20260712203000,SPEAKER_01,7.12,8.24,1.12,success,小池かなです。,success,あっ小池佳奈です。,False,7,9,2
,025_obc_13556294_20260712203000_seg_00001,025_obc_13556294_20260712203000,SPEAKER_00,8.24,10.4,2.16,success,江木俊夫のキー展の始まりました。,success,江木俊夫の聞いてんの始まりました。,False,16,17,1
,025_obc_13556294_20260712203000_seg_00002,025_obc_13556294_20260712203000,SPEAKER_01,10.48,23.2,12.72,success,この番組は頑張る中高年をますます元気にするトークと音楽をお届けする番組です今日は早速ゲストの方にご登場いただきます先週に引き続きお迎えしましたのは鳥羽一郎さんです。,success,この番組は頑張る中高年をますます元気にするトークと音楽をお届けする番組です今日は早速ゲストの方にご登場いただきます先週に引き続きお迎えしましたのは鳥羽一郎さんです。,True,82,82,0
,025_obc_13556294_20260712203000_seg_00003,025_obc_13556294_20260712203000,SPEAKER_01,24.96,25.68,0.72,success,よろしくお願いします。,success,よろしくお願いします。,True,11,11,0
,025_obc_13556294_20260712203000_seg_00004,025_obc_13556294_20260712203000,SPEAKER_01,27.6,31.52,3.92,success,先週、なんかすごく熱い放送になりましたよね。,success,先週、なんかすごく熱い放送になりましたよね。,True,22,22,0
,025_obc_13556294_20260712203000_seg_00005,025_obc_13556294_20260712203000,SPEAKER_01,31.84,38.72,6.88,success,いろんなことを伺えて江木さんは鳥羽さんとそういえば会ったことがあるとかないとか。,success,いろんなことを伺えて江木さんは鳥羽さんとそういえば会ったことがあるとかないとか。,True,40,40,0
,025_obc_13556294_20260712203000_seg_00006,025_obc_13556294_20260712203000,SPEAKER_00,39.6,41.36,1.76,success,申し訳ないです、僕はすっかり忘れて。,success,あるとかないとかで、いえいえ、申し訳ないです、僕はすっかり忘れて。,False,18,33,15
,025_obc_13556294_20260712203000_seg_00007,025_obc_13556294_20260712203000,SPEAKER_02,41.44,42.8,1.36,success,そうです、忘れてました。,success,申し訳ないです、僕はすっかり忘れてた。,False,12,19,7
,025_obc_13556294_20260712203000_seg_00008,025_obc_13556294_20260712203000,SPEAKER_00,43.52,44.96,1.44,success,きょう初めて会ったよ。,success,今日初めて会ったよ。,False,11,10,-1
,025_obc_13556294_20260712203000_seg_00009,025_obc_13556294_20260712203000,SPEAKER_02,46.56,48.64,2.08,success,もう番組でもいっぱい会ってるし、なんか。,success,もう番組でもいっぱい会ってるし何か。,False,20,18,-2
,025_obc_13556294_20260712203000_seg_00010,025_obc_13556294_20260712203000,SPEAKER_00,50.4,52.4,2.0,success,演歌の歌手の方とあんまりお会いしない。,success,ただ僕ほら演歌の歌手の方とあんまりお会いしない。,False,19,24,5
,025_obc_13556294_20260712203000_seg_00011,025_obc_13556294_20260712203000,SPEAKER_02,54.96,55.76,0.8,success,アイシー。,success,そうですよねチャンスがないんですよ。,False,5,18,13
,025_obc_13556294_20260712203000_seg_00012,025_obc_13556294_20260712203000,SPEAKER_02,56.48,57.739998,1.26,success,でやっぱりもう大スター。,success,ないし、やっぱりもう、大スター。,False,12,16,4
