segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,008_kbs_13584331_20260711150000_seg_00000,008_kbs_13584331_20260711150000,SPEAKER_00,9.459999,10.219999,0.76,success,元から!,success,元カレ!,False,4,4,0
,008_kbs_13584331_20260711150000_seg_00001,008_kbs_13584331_20260711150000,SPEAKER_00,16.179999,20.3,4.12,success,活時にお届けする元から龍馬落語家の桂龍馬です。,success,夏時にお届けする元から龍馬落語家の桂龍馬です。,False,23,23,0
,008_kbs_13584331_20260711150000_seg_00002,008_kbs_13584331_20260711150000,SPEAKER_01,25.36,26.059999,0.7,success,隔週だよ。,success,学習で言うと。,False,5,7,2
,008_kbs_13584331_20260711150000_seg_00003,008_kbs_13584331_20260711150000,SPEAKER_01,28.179999,30.859999,2.68,success,そのメッセージも紹介しながら進めていく番組。,success,そのメッセージも紹介しながら進めていく番組。,True,22,22,0
,008_kbs_13584331_20260711150000_seg_00004,008_kbs_13584331_20260711150000,SPEAKER_00,44.02,45.259999,1.24,success,今まで持ってらっしゃらなかった。,success,今まで持ってらっしゃらなかったものを。,False,16,19,3
,008_kbs_13584331_20260711150000_seg_00005,008_kbs_13584331_20260711150000,SPEAKER_01,51.219997,51.76,0.54,success,プル。,success,プル。,True,3,3,0
,008_kbs_13584331_20260711150000_seg_00006,008_kbs_13584331_20260711150000,SPEAKER_01,61.36,62.059998,0.7,success,あるいは。,success,である家。,False,5,5,0
,008_kbs_13584331_20260711150000_seg_00007,008_kbs_13584331_20260711150000,SPEAKER_00,75.76,77.76,2.0,success,サックス自体はそんなによくない。,success,はいはいサックス自体はそんなによくない。,False,16,20,4
,008_kbs_13584331_20260711150000_seg_00008,008_kbs_13584331_20260711150000,SPEAKER_01,80.08,81.260001,1.18,success,だから箱が結構だから。,success,だから箱が結構だから。,True,11,11,0
,008_kbs_13584331_20260711150000_seg_00009,008_kbs_13584331_20260711150000,SPEAKER_01,84.56,87.020003,2.46,success,で、重いなと、帰りにちょっと。,success,で重いなとで帰りにちょっと。,False,15,14,-1
,008_kbs_13584331_20260711150000_seg_00010,008_kbs_13584331_20260711150000,SPEAKER_01,89.68,90.56,0.88,success,買って帰るとか。,success,買って帰るとか。,True,8,8,0
,008_kbs_13584331_20260711150000_seg_00011,008_kbs_13584331_20260711150000,SPEAKER_01,90.96,92.300002,1.34,success,もうちょっとしんどいって。,success,もうちょっとしんどいって。,True,13,13,0
,008_kbs_13584331_20260711150000_seg_00012,008_kbs_13584331_20260711150000,SPEAKER_01,100.72,101.44,0.72,success,関しまして。,success,関しまして。,True,6,6,0
,008_kbs_13584331_20260711150000_seg_00013,008_kbs_13584331_20260711150000,SPEAKER_01,101.84,102.72,0.88,success,買いました。,success,買いました。,True,6,6,0
,008_kbs_13584331_20260711150000_seg_00014,008_kbs_13584331_20260711150000,SPEAKER_00,102.72,103.68,0.96,success,ああ。,success,ああ!,False,3,3,0
,008_kbs_13584331_20260711150000_seg_00015,008_kbs_13584331_20260711150000,SPEAKER_01,103.76,106.08,2.32,success,体感2キロぐらい軽くなった。,success,体感2キロぐらい軽くなったんですよ。,False,14,18,4
,008_kbs_13584331_20260711150000_seg_00016,008_kbs_13584331_20260711150000,SPEAKER_01,108.4,110.48,2.08,success,よかったけばよかったと思って。,success,買っとけばよかったと思って。,False,15,14,-1
,008_kbs_13584331_20260711150000_seg_00017,008_kbs_13584331_20260711150000,SPEAKER_00,110.72,112.32,1.6,success,これは楽器屋さんで買ったんですか?,success,これは楽器屋さんで買ったんですか?,True,17,17,0
,008_kbs_13584331_20260711150000_seg_00018,008_kbs_13584331_20260711150000,SPEAKER_01,112.32,113.9,1.58,success,いえ、ネットで買ったんですけど。,success,いええっとネットで買ったんですけど。,False,16,18,2
,008_kbs_13584331_20260711150000_seg_00019,008_kbs_13584331_20260711150000,SPEAKER_01,135.76,136.45999,0.7,success,まだ価格で買って。,success,ほな価格で買って。,False,9,9,0
,008_kbs_13584331_20260711150000_seg_00020,008_kbs_13584331_20260711150000,SPEAKER_00,140.08,140.88,0.8,success,そうですよね。,success,そうですよね。,True,7,7,0
