segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,033_rbc_13598140_20260712190000_seg_00000,033_rbc_13598140_20260712190000,SPEAKER_00,3.12,7.82,4.7,success,rbcアイラジオ日曜7時はモクパチハッピー!,success,rbcアイラジオ日曜7時はモクパチハッピー!,True,22,22,0
,033_rbc_13598140_20260712190000_seg_00001,033_rbc_13598140_20260712190000,SPEAKER_01,17.68,22.4,4.72,success,はいはい南城市のしんちゃん津羽慎一と首里のしゅりのすけですしゅりぽん!,success,はい南條氏のしんちゃん津羽慎一と首里野しゅりのすけですしゅりぽん!,False,35,33,-2
,033_rbc_13598140_20260712190000_seg_00002,033_rbc_13598140_20260712190000,SPEAKER_01,23.04,25.579998,2.54,success,ということでね、7月も第2回目です。,success,ということでね7月も第2回目ということですね。,False,18,23,5
,033_rbc_13598140_20260712190000_seg_00003,033_rbc_13598140_20260712190000,SPEAKER_01,32.56,34.16,1.6,success,しゃくしてる、なんか、もう。,success,作詞してる何かもう。,False,14,10,-4
,033_rbc_13598140_20260712190000_seg_00004,033_rbc_13598140_20260712190000,SPEAKER_02,34.24,35.66,1.42,success,暑さ対策ですか。,success,暑さ対策っすか?,False,8,8,0
,033_rbc_13598140_20260712190000_seg_00005,033_rbc_13598140_20260712190000,SPEAKER_01,40.72,42.16,1.44,success,調子がうつらねえクーラーだろ?,success,調子がうつらないクーラーだろ?,False,15,15,0
,033_rbc_13598140_20260712190000_seg_00006,033_rbc_13598140_20260712190000,SPEAKER_02,42.24,45.44,3.2,success,そう、そう、そうそう、今、なんとかが分からないっていう。,success,そうそうそう今何度かが分からないっていう。,False,28,21,-7
,033_rbc_13598140_20260712190000_seg_00007,033_rbc_13598140_20260712190000,SPEAKER_02,45.76,48.32,2.56,success,肌感覚で何か寒いなと思ったら上げるっていう。,success,肌感覚でなんか寒いなと思ったら上げるっていう。,False,22,23,1
,033_rbc_13598140_20260712190000_seg_00008,033_rbc_13598140_20260712190000,SPEAKER_01,49.28,51.68,2.4,success,ダルビッシュ入ってきたら、ああ、24度だなとか分かる?,success,ダルビッシュ入ってきたら24度だなとか分かる?,False,27,23,-4
,033_rbc_13598140_20260712190000_seg_00009,033_rbc_13598140_20260712190000,SPEAKER_02,52.32,52.939999,0.62,success,果て感なく。,success,肌感覚で。,False,6,5,-1
,033_rbc_13598140_20260712190000_seg_00010,033_rbc_13598140_20260712190000,SPEAKER_02,54.16,56.48,2.32,success,シャリのこれ70グラムって分かるみたいな。,success,シャリのこれ70グラムって分かるみたいな。,True,21,21,0
,033_rbc_13598140_20260712190000_seg_00011,033_rbc_13598140_20260712190000,SPEAKER_01,59.44,60.14,0.7,success,タクシー乗っておじさん。,success,タクシー乗っておいしさ。,False,12,12,0
,033_rbc_13598140_20260712190000_seg_00012,033_rbc_13598140_20260712190000,SPEAKER_01,63.52,66.24,2.72,success,通だねとか言われて、何がつうこと、全然。,success,通だねとか言われて何がつうことだよ。,False,20,18,-2
,033_rbc_13598140_20260712190000_seg_00013,033_rbc_13598140_20260712190000,SPEAKER_01,66.72,67.28,0.56,success,分からないよ。,success,分からないよ。,True,7,7,0
,033_rbc_13598140_20260712190000_seg_00014,033_rbc_13598140_20260712190000,SPEAKER_01,68.08,75.92,7.84,success,このままだとさ、毎年、温暖化、温暖化っていって、とけんかな、きょう、南城市で通行人が2人とけましたとか、見えたら。,success,このままだとさ、毎年、温暖化、温暖化っていってるけど、解けんかな、きょう、南城市で通行人が2人とけましたとか、言いづらい。,False,57,61,4
,033_rbc_13598140_20260712190000_seg_00015,033_rbc_13598140_20260712190000,SPEAKER_01,77.44,81.6,4.16,success,もう末期ですね、末期だな、もう世も末ですよ。,success,日本末期ですね末期だなもう世も末ですよいやも末だよなでもいい。,False,22,31,9
,033_rbc_13598140_20260712190000_seg_00016,033_rbc_13598140_20260712190000,SPEAKER_02,81.6,82.16,0.56,success,意外と。,success,ピカイッと!,False,4,6,2
,033_rbc_13598140_20260712190000_seg_00017,033_rbc_13598140_20260712190000,SPEAKER_02,82.64,85.100001,2.46,success,沖縄だけ見ると、温度って。,success,沖縄だけ見ると温度って。,False,13,12,-1
,033_rbc_13598140_20260712190000_seg_00018,033_rbc_13598140_20260712190000,SPEAKER_02,86.32,91.52,5.2,success,3度とかがマックスなんでなんかあんまりそこまで変わってない気はするんですよ。,success,サンドとかがマックスなんでなんかあんまりそこまで変わってない気はするんですよ。,False,38,39,1
,033_rbc_13598140_20260712190000_seg_00019,033_rbc_13598140_20260712190000,SPEAKER_01,91.52,94.4,2.88,success,沖縄内がまた復帰特別措置法みたいなのがあるのかな。,success,沖縄はあれだけど、まだ復帰特別措置法みたいなのがあるのかな。,False,25,30,5
,033_rbc_13598140_20260712190000_seg_00020,033_rbc_13598140_20260712190000,SPEAKER_01,98.0,99.44,1.44,success,ちょっと待っとこうかみたいな。,success,もうちょっと待っとこうかみたいな。,False,15,17,2
,033_rbc_13598140_20260712190000_seg_00021,033_rbc_13598140_20260712190000,SPEAKER_02,100.24,102.32,2.08,success,みんな政府が設定してるの?,success,みんな政府が設定してるの?,True,13,13,0
,033_rbc_13598140_20260712190000_seg_00022,033_rbc_13598140_20260712190000,SPEAKER_01,106.24,107.28,1.04,success,人が多すぎる。,success,人が多すぎる。,True,7,7,0
,033_rbc_13598140_20260712190000_seg_00023,033_rbc_13598140_20260712190000,SPEAKER_01,117.76,118.8,1.04,success,通訳させるか!,success,通訳させるか!,True,7,7,0
,033_rbc_13598140_20260712190000_seg_00024,033_rbc_13598140_20260712190000,SPEAKER_01,123.04,124.940001,1.9,success,本当、なんか、年々、年々。,success,本当何か年々年々。,False,13,9,-4
,033_rbc_13598140_20260712190000_seg_00025,033_rbc_13598140_20260712190000,SPEAKER_02,128.64,133.579993,4.94,success,そういうのもあるんすかねそう打たれるようなっていうかさ昔までだからコロナ禍で。,success,そういうのもあるんすかねそう打たれようなっていうかさ昔までだからコロナ禍で。,False,39,38,-1
,033_rbc_13598140_20260712190000_seg_00026,033_rbc_13598140_20260712190000,SPEAKER_02,135.28,138.08,2.8,success,考えたら不思議な気分になりますね。,success,考えたらお客さん不思議な気分になりますね不思議や。,False,17,25,8
,033_rbc_13598140_20260712190000_seg_00027,033_rbc_13598140_20260712190000,SPEAKER_01,138.48,140.299994,1.82,success,今、サッカーとかでもさ、ワールドカップ前。,success,今サッカーとかでもさワールドカップ見るじゃないですか。,False,21,27,6
,033_rbc_13598140_20260712190000_seg_00028,033_rbc_13598140_20260712190000,SPEAKER_02,142.4,146.88,4.48,success,水の休憩とかあるさああんなの今までなかったからなこれ考えたら新鮮だな。,success,水の休憩とかあるさあありますねあんなの今までなかったからなうんこれ考えたら新鮮だな。,False,35,42,7
,033_rbc_13598140_20260712190000_seg_00029,033_rbc_13598140_20260712190000,SPEAKER_01,146.96,147.76,0.8,success,福井高校野球。,success,北京高校野球。,False,7,7,0
,033_rbc_13598140_20260712190000_seg_00030,033_rbc_13598140_20260712190000,SPEAKER_02,147.76,149.899992,2.14,success,雪のときとかのさ、水飲むなとかっていうの、全部。,success,火の時とかのさ水飲むなあとかっていうのを全部。,False,24,23,-1
