segment_index,segment_id,target_id,speaker,start_sec,end_sec,duration_sec,parakeet_exact_status,parakeet_exact_text,parakeet_silence2_status,parakeet_silence2_text,texts_match,exact_chars,silence2_chars,char_diff
,032_ybs_13584061_20260712053000_seg_00000,032_ybs_13584061_20260712053000,SPEAKER_00,15.699999,24.619999,8.92,success,皆さんは私嶋悦子にお付き合いくださいねいやもうすぐ夏休みですね夏に行きたい。,success,こんばんは私島津悦子にお付き合いくださいねいやもうすぐ夏休みですね夏に行きたい。,False,38,40,2
,032_ybs_13584061_20260712053000_seg_00001,032_ybs_13584061_20260712053000,SPEAKER_00,26.739999,27.979999,1.24,success,プロならここがいいアイドル。,success,人ならここがいいアイデア。,False,14,13,-1
,032_ybs_13584061_20260712053000_seg_00002,032_ybs_13584061_20260712053000,SPEAKER_00,29.619999,30.859999,1.24,success,本当ねあの。,success,ちょうどねあの。,False,6,8,2
,032_ybs_13584061_20260712053000_seg_00003,032_ybs_13584061_20260712053000,SPEAKER_00,36.819999,38.539997,1.72,success,てらっしゃる、もうあと夏休み。,success,てらっしゃるもうあと夏休み。,False,15,14,-1
,032_ybs_13584061_20260712053000_seg_00004,032_ybs_13584061_20260712053000,SPEAKER_00,39.699998,42.859997,3.16,success,ばかりっていう方も多いと思うんですけれども、最近は。,success,ばかりっていう方も多いと思うんですけれども最近は。,False,26,25,-1
,032_ybs_13584061_20260712053000_seg_00005,032_ybs_13584061_20260712053000,SPEAKER_00,44.02,46.699997,2.68,success,ことば、よく使いますよね、なんか安い。,success,言葉よく使いますよね。,False,19,11,-8
,032_ybs_13584061_20260712053000_seg_00006,032_ybs_13584061_20260712053000,SPEAKER_00,48.34,61.579998,13.24,success,短い、安近丹っていうらしいんですけれどもね、今、海外に行かれる方も多いんですかね、どうなんでしょうか、なんかいろいろ値上がりしてるからね、ちょっと心配ですよね、なんかお金がかかる。,success,い、短い、安近短っていうらしいんですけれどもね、今、海外行かれる方も多いんですかね、どうなんでしょうか、なんかいろいろ値上がりしてるからね、ちょっと心配ですよね、なんかお金がかかる。,False,90,91,1
,032_ybs_13584061_20260712053000_seg_00007,032_ybs_13584061_20260712053000,SPEAKER_00,64.179998,67.340002,3.16,success,自分が行きたい場所といいますとね、もう。,success,自分が行きたい場所といいますとねもう。,False,20,19,-1
,032_ybs_13584061_20260712053000_seg_00008,032_ybs_13584061_20260712053000,SPEAKER_00,70.0,70.700003,0.7,success,ってこう思う。,success,ってこう思うの。,False,7,8,1
,032_ybs_13584061_20260712053000_seg_00009,032_ybs_13584061_20260712053000,SPEAKER_00,73.300001,81.12,7.82,success,だけど、北海道も30度超えって、もう最近、結構そういうところもありますしね、もうえーい、もうこうなったら暑いところ!ってね。,success,だけど、北海道も30度超えって最近、結構そういうところもありますしねえい、こうなったら暑いとこ!ってね。,False,62,52,-10
,032_ybs_13584061_20260712053000_seg_00010,032_ybs_13584061_20260712053000,SPEAKER_00,82.48,83.180003,0.7,success,セブイ!,success,セブイ!,True,4,4,0
,032_ybs_13584061_20260712053000_seg_00011,032_ybs_13584061_20260712053000,SPEAKER_00,87.700002,89.9,2.2,success,ではあるんですがなかなか行けない。,success,ではあるんですがなかなか行けない。,True,17,17,0
,032_ybs_13584061_20260712053000_seg_00012,032_ybs_13584061_20260712053000,SPEAKER_00,96.340002,97.100001,0.76,success,罪があってないよね。,success,罪があってないよね。,True,10,10,0
,032_ybs_13584061_20260712053000_seg_00013,032_ybs_13584061_20260712053000,SPEAKER_00,98.740003,99.500002,0.76,success,皆様はぜひ。,success,皆様おあぜひ。,False,6,7,1
,032_ybs_13584061_20260712053000_seg_00014,032_ybs_13584061_20260712053000,SPEAKER_00,105.460001,107.180003,1.72,success,好きっていう方もいらっしゃいますので。,success,好きって方もいらっしゃいますので。,False,19,17,-2
,032_ybs_13584061_20260712053000_seg_00015,032_ybs_13584061_20260712053000,SPEAKER_00,110.8,114.38,3.58,success,今週もですね先週に引き続きましてすてきな方。,success,今週もですね先週に引き続きまして素敵な歌唱。,False,22,22,0
,032_ybs_13584061_20260712053000_seg_00016,032_ybs_13584061_20260712053000,SPEAKER_00,117.52,118.22,0.7,success,先日。,success,先日。,True,3,3,0
,032_ybs_13584061_20260712053000_seg_00017,032_ybs_13584061_20260712053000,SPEAKER_00,124.180002,125.42,1.24,success,いやもう本当に。,success,いやもうほんとに。,False,8,9,1
,032_ybs_13584061_20260712053000_seg_00018,032_ybs_13584061_20260712053000,SPEAKER_00,126.58,127.339999,0.76,success,なあ大先輩。,success,大先輩!,False,6,4,-2
,032_ybs_13584061_20260712053000_seg_00019,032_ybs_13584061_20260712053000,SPEAKER_00,128.979997,131.179991,2.2,success,大川栄策さんにお越しいただいております。,success,大川栄策さんにお越し頂いております。,False,20,18,-2
,032_ybs_13584061_20260712053000_seg_00020,032_ybs_13584061_20260712053000,SPEAKER_00,136.24,137.419997,1.18,success,私島津悦子と。,success,私島津悦子。,False,7,6,-1
